delay,send_time,receive_time
-0.025,1716464922.058,1716464922.033
-0.025,1716464923.059,1716464923.034
-0.025,1716464924.060,1716464924.035
-0.025,1716464925.061,1716464925.036
-0.025,1716464926.062,1716464926.036
-0.025,1716464927.063,1716464927.038
-0.025,1716464928.064,1716464928.039
-0.025,1716464929.065,1716464929.040
-0.025,1716464930.067,1716464930.041
-0.026,1716464931.068,1716464931.042
-0.026,1716464932.069,1716464932.043
-0.026,1716464933.070,1716464933.045
-0.026,1716464934.072,1716464934.046
-0.026,1716464935.073,1716464935.047
-0.026,1716464936.074,1716464936.048
-0.026,1716464937.075,1716464937.049
-0.026,1716464938.077,1716464938.050
-0.026,1716464939.078,1716464939.051
-0.027,1716464940.079,1716464940.052
-0.027,1716464941.080,1716464941.053
-0.027,1716464942.081,1716464942.055
-0.027,1716464943.083,1716464943.056
-0.027,1716464944.084,1716464944.057
-0.027,1716464945.085,1716464945.058
-0.027,1716464946.086,1716464946.059
-0.027,1716464947.088,1716464947.060
-0.028,1716464948.089,1716464948.061
-0.028,1716464949.090,1716464949.062
-0.028,1716464950.091,1716464950.064
-0.028,1716464951.092,1716464951.065
-0.028,1716464952.094,1716464952.066
-0.028,1716464953.095,1716464953.067
-0.028,1716464954.096,1716464954.068
-0.028,1716464955.097,1716464955.069
-0.028,1716464956.098,1716464956.070
-0.028,1716464957.100,1716464957.071
-0.028,1716464958.101,1716464958.072
-0.029,1716464959.102,1716464959.074
-0.029,1716464960.104,1716464960.075
-0.029,1716464961.105,1716464961.076
-0.029,1716464962.106,1716464962.077
-0.029,1716464963.107,1716464963.078
-0.029,1716464964.108,1716464964.079
-0.029,1716464965.109,1716464965.080
-0.029,1716464966.111,1716464966.081
-0.030,1716464967.112,1716464967.082
-0.030,1716464968.113,1716464968.083
-0.030,1716464969.114,1716464969.084
-0.030,1716464970.115,1716464970.085
-0.030,1716464971.116,1716464971.086
-0.030,1716464972.118,1716464972.088
-0.030,1716464973.119,1716464973.089
-0.030,1716464974.120,1716464974.089
-0.030,1716464975.121,1716464975.091
-0.030,1716464976.122,1716464976.092
-0.031,1716464977.123,1716464977.093
-0.031,1716464978.125,1716464978.094
-0.031,1716464979.126,1716464979.095
-0.031,1716464980.127,1716464980.096
-0.031,1716464981.128,1716464981.097
-0.031,1716464982.129,1716464982.098
-0.031,1716464983.130,1716464983.099
-0.032,1716464984.132,1716464984.100
-0.032,1716464985.133,1716464985.101
-0.032,1716464986.134,1716464986.102
-0.032,1716464987.135,1716464987.104
-0.032,1716464988.136,1716464988.105
-0.032,1716464989.138,1716464989.106
-0.032,1716464990.139,1716464990.107
-0.032,1716464991.140,1716464991.108
-0.032,1716464992.141,1716464992.109
-0.032,1716464993.142,1716464993.110
-0.033,1716464994.144,1716464994.111
-0.033,1716464995.145,1716464995.112
-0.033,1716464996.146,1716464996.113
-0.033,1716464997.147,1716464997.114
-0.033,1716464998.149,1716464998.115
-0.033,1716464999.150,1716464999.117
-0.033,1716465000.151,1716465000.118
-0.033,1716465001.152,1716465001.119
-0.034,1716465002.153,1716465002.120
-0.034,1716465003.155,1716465003.120
-0.034,1716465004.156,1716465004.122
-0.034,1716465005.157,1716465005.123
-0.034,1716465006.158,1716465006.124
-0.034,1716465007.160,1716465007.126
-0.035,1716465008.161,1716465008.127
-0.034,1716465009.163,1716465009.128
-0.035,1716465010.164,1716465010.129
-0.034,1716465011.165,1716465011.131
-0.035,1716465012.167,1716465012.132
-0.035,1716465013.168,1716465013.133
-0.035,1716465014.169,1716465014.134
-0.035,1716465015.170,1716465015.135
-0.035,1716465016.172,1716465016.136
-0.035,1716465017.173,1716465017.137
-0.035,1716465018.174,1716465018.138
-0.036,1716465019.175,1716465019.139
-0.036,1716465020.176,1716465020.140
-0.036,1716465021.177,1716465021.141
-0.036,1716465022.178,1716465022.143
-0.036,1716465023.180,1716465023.144
-0.036,1716465024.181,1716465024.145
-0.036,1716465025.182,1716465025.146
-0.036,1716465026.183,1716465026.147
-0.037,1716465027.184,1716465027.148
-0.037,1716465028.186,1716465028.149
-0.037,1716465029.187,1716465029.150
-0.037,1716465030.188,1716465030.151
-0.037,1716465031.189,1716465031.152
-0.037,1716465032.190,1716465032.153
-0.037,1716465033.192,1716465033.154
-0.037,1716465034.193,1716465034.155
-0.037,1716465035.194,1716465035.156
-0.038,1716465036.195,1716465036.157
-0.038,1716465037.197,1716465037.159
-0.038,1716465038.198,1716465038.160
-0.038,1716465039.199,1716465039.161
-0.038,1716465040.200,1716465040.162
-0.038,1716465041.201,1716465041.163
-0.038,1716465042.203,1716465042.164
-0.038,1716465043.204,1716465043.165
-0.039,1716465044.205,1716465044.167
-0.039,1716465045.206,1716465045.168
-0.039,1716465046.208,1716465046.169
-0.039,1716465047.209,1716465047.170
-0.039,1716465048.210,1716465048.171
-0.039,1716465049.211,1716465049.172
-0.039,1716465050.213,1716465050.173
-0.039,1716465051.214,1716465051.174
-0.040,1716465052.215,1716465052.175
-0.040,1716465053.216,1716465053.176
-0.040,1716465054.217,1716465054.178
-0.040,1716465055.219,1716465055.179
-0.041,1716465056.220,1716465056.179
-0.040,1716465057.221,1716465057.181
-0.041,1716465058.223,1716465058.182
-0.040,1716465059.224,1716465059.184
-0.040,1716465060.225,1716465060.185
-0.041,1716465061.226,1716465061.186
-0.041,1716465062.228,1716465062.187
-0.041,1716465063.229,1716465063.188
-0.041,1716465064.230,1716465064.189
-0.041,1716465065.231,1716465065.190
-0.041,1716465066.232,1716465066.191
-0.041,1716465067.234,1716465067.192
-0.042,1716465068.235,1716465068.193
-0.042,1716465069.236,1716465069.194
-0.042,1716465070.237,1716465070.196
-0.042,1716465071.239,1716465071.197
-0.043,1716465072.240,1716465072.197
-0.042,1716465073.241,1716465073.199
-0.043,1716465074.243,1716465074.200
-0.042,1716465075.244,1716465075.202
-0.043,1716465076.245,1716465076.203
-0.043,1716465077.246,1716465077.204
-0.043,1716465078.248,1716465078.205
-0.043,1716465079.249,1716465079.206
-0.043,1716465080.250,1716465080.207
-0.043,1716465081.251,1716465081.208
-0.043,1716465082.252,1716465082.209
-0.043,1716465083.254,1716465083.210
-0.043,1716465084.255,1716465084.211
-0.044,1716465085.256,1716465085.212
-0.044,1716465086.257,1716465086.213
-0.044,1716465087.258,1716465087.214
-0.044,1716465088.260,1716465088.216
