sequence,ack_time
0,1716468977.468
1,1716468978.468
2,1716468979.477
3,1716468980.478
4,1716468981.479
5,1716468982.481
6,1716468983.482
7,1716468984.483
8,1716468985.484
9,1716468986.485
10,1716468987.487
11,1716468988.488
12,1716468989.490
13,1716468990.492
14,1716468991.492
15,1716468992.493
16,1716468993.494
17,1716468994.497
18,1716468995.498
19,1716468996.500
20,1716468997.501
21,1716468998.502
22,1716468999.504
23,1716469000.505
24,1716469001.506
25,1716469002.508
26,1716469003.509
27,1716469004.510
28,1716469005.512
29,1716469006.513
30,1716469007.513
31,1716469008.515
32,1716469009.516
33,1716469010.518
34,1716469011.519
35,1716469012.520
36,1716469013.521
37,1716469014.522
38,1716469015.524
39,1716469016.524
40,1716469017.526
41,1716469018.527
42,1716469019.532
43,1716469020.534
44,1716469021.535
45,1716469022.536
46,1716469023.537
47,1716469024.539
48,1716469025.540
49,1716469026.541
50,1716469027.542
51,1716469028.544
52,1716469029.545
53,1716469030.546
54,1716469031.547
55,1716469032.549
56,1716469033.550
57,1716469034.551
58,1716469035.553
59,1716469036.554
60,1716469037.555
61,1716469038.557
62,1716469039.558
63,1716469040.558
64,1716469041.560
65,1716469042.561
66,1716469043.563
67,1716469044.563
68,1716469045.565
69,1716469046.566
70,1716469047.568
71,1716469048.569
72,1716469049.570
73,1716469050.571
74,1716469051.573
75,1716469052.574
76,1716469053.575
77,1716469054.576
78,1716469055.578
79,1716469056.579
80,1716469057.580
81,1716469058.581
82,1716469059.582
83,1716469060.583
84,1716469061.585
85,1716469062.586
86,1716469063.587
87,1716469064.589
88,1716469065.590
89,1716469066.591
90,1716469067.592
91,1716469068.593
92,1716469069.595
93,1716469070.596
94,1716469071.597
95,1716469072.599
96,1716469073.600
97,1716469074.601
98,1716469075.603
99,1716469076.604
100,1716469077.606
101,1716469078.607
102,1716469079.608
103,1716469080.609
104,1716469081.611
105,1716469082.611
106,1716469083.613
107,1716469084.621
108,1716469085.621
109,1716469086.622
110,1716469087.624
111,1716469088.626
112,1716469089.627
113,1716469090.628
114,1716469091.629
115,1716469092.630
116,1716469093.632
117,1716469094.638
118,1716469095.639
119,1716469096.640
120,1716469097.641
121,1716469098.642
122,1716469099.643
123,1716469100.645
124,1716469101.647
125,1716469102.648
126,1716469103.649
127,1716469104.650
128,1716469105.652
129,1716469106.653
130,1716469107.654
131,1716469108.655
132,1716469109.656
133,1716469110.658
134,1716469111.659
135,1716469112.661
136,1716469113.662
137,1716469114.663
138,1716469115.664
139,1716469116.665
140,1716469117.667
141,1716469118.668
142,1716469119.669
143,1716469120.671
144,1716469121.672
145,1716469122.673
146,1716469123.675
147,1716469124.676
148,1716469125.678
149,1716469126.679
150,1716469127.680
151,1716469128.682
152,1716469129.683
153,1716469130.683
154,1716469131.685
155,1716469132.687
156,1716469133.687
157,1716469134.689
158,1716469135.690
159,1716469136.691
160,1716469137.693
161,1716469138.694
162,1716469139.696
163,1716469140.697
164,1716469141.698
165,1716469142.699
166,1716469143.699
167,1716469144.701
168,1716469145.702
169,1716469146.704
170,1716469147.706
171,1716469148.707
172,1716469149.713
173,1716469150.715
174,1716469151.716
175,1716469152.717
176,1716469153.718
177,1716469154.720
178,1716469155.721
179,1716469156.722
180,1716469157.723
181,1716469158.725
182,1716469159.732
183,1716469160.733
184,1716469161.735
185,1716469162.736
186,1716469163.737
187,1716469164.743
188,1716469165.745
189,1716469166.746
190,1716469167.747
191,1716469168.748
192,1716469169.749
