sequence,ack_time
1,1716471412.162
2,1716471413.163
3,1716471414.164
4,1716471415.165
5,1716471416.166
6,1716471417.167
8,1716471419.171
9,1716471420.172
11,1716471422.173
12,1716471423.175
13,1716471424.176
14,1716471425.177
16,1716471427.179
17,1716471428.180
18,1716471429.182
19,1716471430.182
20,1716471431.185
21,1716471432.186
22,1716471433.187
23,1716471434.187
24,1716471435.189
25,1716471436.189
26,1716471437.192
27,1716471438.193
28,1716471439.193
29,1716471440.195
30,1716471441.196
31,1716471442.196
32,1716471443.199
33,1716471444.200
34,1716471445.201
35,1716471446.202
36,1716471447.203
37,1716471448.203
38,1716471449.206
39,1716471450.207
40,1716471451.209
41,1716471452.209
42,1716471453.210
43,1716471454.211
44,1716471455.213
45,1716471456.215
46,1716471457.216
47,1716471458.216
48,1716471459.219
49,1716471460.219
50,1716471461.221
51,1716471462.222
52,1716471463.224
53,1716471464.224
54,1716471465.226
55,1716471466.227
56,1716471467.228
57,1716471468.230
58,1716471469.231
59,1716471470.232
60,1716471471.233
61,1716471472.234
62,1716471473.236
63,1716471474.237
64,1716471475.239
65,1716471476.239
66,1716471477.241
67,1716471478.241
68,1716471479.242
69,1716471480.244
70,1716471481.244
71,1716471482.245
72,1716471483.247
73,1716471484.253
75,1716471486.255
76,1716471487.256
77,1716471488.257
78,1716471489.259
79,1716471490.261
80,1716471491.262
81,1716471492.263
82,1716471493.264
84,1716471495.267
85,1716471496.268
86,1716471497.269
87,1716471498.271
88,1716471499.272
89,1716471500.272
90,1716471501.273
91,1716471502.274
92,1716471503.276
93,1716471504.277
95,1716471506.279
96,1716471507.281
97,1716471508.283
98,1716471509.285
99,1716471510.286
101,1716471512.288
102,1716471513.290
103,1716471514.292
104,1716471515.293
105,1716471516.295
106,1716471517.296
107,1716471518.299
108,1716471519.300
109,1716471520.302
110,1716471521.303
111,1716471522.303
112,1716471523.304
113,1716471524.306
114,1716471525.307
115,1716471526.308
116,1716471527.310
117,1716471528.310
119,1716471530.313
120,1716471531.314
121,1716471532.315
122,1716471533.316
123,1716471534.317
124,1716471535.318
125,1716471536.320
126,1716471537.321
127,1716471538.322
128,1716471539.324
129,1716471540.324
130,1716471541.325
131,1716471542.327
132,1716471543.328
133,1716471544.329
134,1716471545.331
135,1716471546.331
136,1716471547.332
137,1716471548.334
138,1716471549.335
139,1716471550.336
140,1716471551.338
141,1716471552.339
142,1716471553.340
143,1716471554.342
144,1716471555.343
145,1716471556.344
146,1716471557.345
147,1716471558.346
148,1716471559.347
149,1716471560.348
150,1716471561.349
151,1716471562.350
152,1716471563.351
