"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.110.183","192.168.110.71","TCP","74","43744  >  8000 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=559222648 TSecr=0 WS=128"
"2","0.014269413","192.168.110.71","192.168.110.183","TCP","74","8000  >  43744 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=4161925729 TSecr=559222648 WS=128"
"3","0.014424965","192.168.110.183","192.168.110.71","TCP","66","43744  >  8000 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=559222662 TSecr=4161925729"
"4","0.014696544","192.168.110.183","192.168.110.71","TCP","264","43744  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=32128 Len=198 TSval=559222663 TSecr=4161925729 [TCP segment of a reassembled PDU]"
"5","0.014814393","192.168.110.183","192.168.110.71","HTTP","1033","POST / HTTP/1.1  (text/plain)"
"6","0.029622223","192.168.110.71","192.168.110.183","TCP","66","8000  >  43744 [ACK] Seq=1 Ack=1166 Win=31872 Len=0 TSval=4161925739 TSecr=559222663"
"7","0.029859588","192.168.110.71","192.168.110.183","TCP","158","8000  >  43744 [PSH, ACK] Seq=1 Ack=1166 Win=31872 Len=92 TSval=4161925742 TSecr=559222663 [TCP segment of a reassembled PDU]"
"8","0.029910154","192.168.110.183","192.168.110.71","TCP","66","43744  >  8000 [ACK] Seq=1166 Ack=93 Win=32128 Len=0 TSval=559222678 TSecr=4161925742"
"9","0.030025035","192.168.110.71","192.168.110.183","HTTP","68","HTTP/1.0 200 OK "
"10","0.033443957","192.168.110.183","192.168.110.71","TCP","66","43744  >  8000 [FIN, ACK] Seq=1166 Ack=96 Win=32128 Len=0 TSval=559222681 TSecr=4161925742"
"11","0.043143818","192.168.110.71","192.168.110.183","TCP","66","8000  >  43744 [ACK] Seq=96 Ack=1167 Win=31872 Len=0 TSval=4161925758 TSecr=559222681"
"12","1.046186783","192.168.110.183","192.168.110.71","TCP","74","43746  >  8000 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=559223694 TSecr=0 WS=128"
"13","1.060110975","192.168.110.71","192.168.110.183","TCP","74","8000  >  43746 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=4161926775 TSecr=559223694 WS=128"
"14","1.060228928","192.168.110.183","192.168.110.71","TCP","66","43746  >  8000 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=559223708 TSecr=4161926775"
"15","1.060393698","192.168.110.183","192.168.110.71","TCP","264","43746  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=32128 Len=198 TSval=559223708 TSecr=4161926775 [TCP segment of a reassembled PDU]"
"16","1.060508682","192.168.110.183","192.168.110.71","HTTP","1033","POST / HTTP/1.1  (text/plain)"
"17","1.070237182","192.168.110.71","192.168.110.183","TCP","66","8000  >  43746 [ACK] Seq=1 Ack=199 Win=31872 Len=0 TSval=4161926781 TSecr=559223708"
"18","1.070482462","192.168.110.71","192.168.110.183","TCP","66","8000  >  43746 [ACK] Seq=1 Ack=1166 Win=31872 Len=0 TSval=4161926784 TSecr=559223708"
"19","1.070613070","192.168.110.71","192.168.110.183","TCP","158","8000  >  43746 [PSH, ACK] Seq=1 Ack=1166 Win=31872 Len=92 TSval=4161926785 TSecr=559223708 [TCP segment of a reassembled PDU]"
"20","1.070659053","192.168.110.183","192.168.110.71","TCP","66","43746  >  8000 [ACK] Seq=1166 Ack=93 Win=32128 Len=0 TSval=559223719 TSecr=4161926785"
"21","1.070780912","192.168.110.71","192.168.110.183","HTTP","68","HTTP/1.0 200 OK "
"22","1.073888676","192.168.110.183","192.168.110.71","TCP","66","43746  >  8000 [FIN, ACK] Seq=1166 Ack=96 Win=32128 Len=0 TSval=559223722 TSecr=4161926786"
"23","1.084685419","192.168.110.71","192.168.110.183","TCP","66","8000  >  43746 [ACK] Seq=96 Ack=1167 Win=31872 Len=0 TSval=4161926794 TSecr=559223722"
"24","2.086265006","192.168.110.183","192.168.110.71","TCP","74","43762  >  8000 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=559224734 TSecr=0 WS=128"
"25","2.099723422","192.168.110.71","192.168.110.183","TCP","74","8000  >  43762 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=4161927815 TSecr=559224734 WS=128"
"26","2.099849343","192.168.110.183","192.168.110.71","TCP","66","43762  >  8000 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=559224748 TSecr=4161927815"
"27","2.099999219","192.168.110.183","192.168.110.71","TCP","264","43762  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=32128 Len=198 TSval=559224748 TSecr=4161927815 [TCP segment of a reassembled PDU]"
"28","2.100099726","192.168.110.183","192.168.110.71","HTTP","1033","POST / HTTP/1.1  (text/plain)"
"29","2.115259217","192.168.110.71","192.168.110.183","TCP","66","8000  >  43762 [ACK] Seq=1 Ack=1166 Win=31872 Len=0 TSval=4161927828 TSecr=559224748"
"30","2.116643877","192.168.110.71","192.168.110.183","TCP","158","8000  >  43762 [PSH, ACK] Seq=1 Ack=1166 Win=31872 Len=92 TSval=4161927832 TSecr=559224748 [TCP segment of a reassembled PDU]"
"31","2.116714909","192.168.110.183","192.168.110.71","TCP","66","43762  >  8000 [ACK] Seq=1166 Ack=93 Win=32128 Len=0 TSval=559224765 TSecr=4161927832"
"32","2.119626500","192.168.110.71","192.168.110.183","HTTP","68","HTTP/1.0 200 OK "
"33","2.120259333","192.168.110.183","192.168.110.71","TCP","66","43762  >  8000 [FIN, ACK] Seq=1166 Ack=96 Win=32128 Len=0 TSval=559224768 TSecr=4161927832"
"34","2.127883838","192.168.110.71","192.168.110.183","TCP","66","8000  >  43762 [ACK] Seq=96 Ack=1167 Win=31872 Len=0 TSval=4161927840 TSecr=559224768"
"35","3.133459117","192.168.110.183","192.168.110.71","TCP","74","33194  >  8000 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=559225781 TSecr=0 WS=128"
"36","3.145188227","192.168.110.71","192.168.110.183","TCP","74","8000  >  33194 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=4161928860 TSecr=559225781 WS=128"
"37","3.145301545","192.168.110.183","192.168.110.71","TCP","66","33194  >  8000 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=559225793 TSecr=4161928860"
"38","3.145469596","192.168.110.183","192.168.110.71","TCP","264","33194  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=32128 Len=198 TSval=559225793 TSecr=4161928860 [TCP segment of a reassembled PDU]"
"39","3.145590257","192.168.110.183","192.168.110.71","HTTP","1033","POST / HTTP/1.1  (text/plain)"
"40","3.151532380","192.168.110.71","192.168.110.183","TCP","66","8000  >  33194 [ACK] Seq=1 Ack=199 Win=31872 Len=0 TSval=4161928866 TSecr=559225793"
