"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.105.183","192.168.105.71","TCP","74","50672  >  8000 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=610689027 TSecr=0 WS=128"
"2","0.012055158","192.168.105.71","192.168.105.183","TCP","74","8000  >  50672 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=1643009339 TSecr=610689027 WS=128"
"3","0.012139794","192.168.105.183","192.168.105.71","TCP","66","50672  >  8000 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=610689039 TSecr=1643009339"
"4","0.012264950","192.168.105.183","192.168.105.71","TCP","262","50672  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=32128 Len=196 TSval=610689039 TSecr=1643009339 [TCP segment of a reassembled PDU]"
"5","0.012346721","192.168.105.183","192.168.105.71","HTTP","71","POST / HTTP/1.1  (text/plain)"
"6","0.020582712","192.168.105.71","192.168.105.183","TCP","66","8000  >  50672 [ACK] Seq=1 Ack=202 Win=31872 Len=0 TSval=1643009345 TSecr=610689040"
"7","0.042454175","192.168.105.71","192.168.105.183","TCP","158","8000  >  50672 [PSH, ACK] Seq=1 Ack=202 Win=31872 Len=92 TSval=1643009349 TSecr=610689040 [TCP segment of a reassembled PDU]"
"8","0.042498966","192.168.105.183","192.168.105.71","TCP","66","50672  >  8000 [ACK] Seq=202 Ack=93 Win=32128 Len=0 TSval=610689070 TSecr=1643009349"
"9","0.042572456","192.168.105.71","192.168.105.183","HTTP","71","HTTP/1.0 200 OK "
"10","0.043854487","192.168.105.71","192.168.105.183","TCP","71","[TCP Retransmission] 8000  >  50672 [FIN, PSH, ACK] Seq=93 Ack=202 Win=31872 Len=5 TSval=1643009368 TSecr=610689040 [TCP segment of a reassembled PDU]"
"11","0.043922612","192.168.105.183","192.168.105.71","TCP","78","50672  >  8000 [ACK] Seq=202 Ack=99 Win=32128 Len=0 TSval=610689071 TSecr=1643009368 SLE=93 SRE=99"
"12","0.044665738","192.168.105.183","192.168.105.71","TCP","66","50672  >  8000 [FIN, ACK] Seq=202 Ack=99 Win=32128 Len=0 TSval=610689072 TSecr=1643009368"
"13","0.086198975","192.168.105.71","192.168.105.183","TCP","66","8000  >  50672 [ACK] Seq=99 Ack=203 Win=31872 Len=0 TSval=1643009399 TSecr=610689072"
"14","1.056081710","192.168.105.183","192.168.105.71","TCP","74","50684  >  8000 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=610690083 TSecr=0 WS=128"
"15","1.075596245","192.168.105.71","192.168.105.183","TCP","74","8000  >  50684 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=1643010402 TSecr=610690083 WS=128"
"16","1.075710620","192.168.105.183","192.168.105.71","TCP","66","50684  >  8000 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=610690103 TSecr=1643010402"
"17","1.075880932","192.168.105.183","192.168.105.71","TCP","262","50684  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=32128 Len=196 TSval=610690103 TSecr=1643010402 [TCP segment of a reassembled PDU]"
"18","1.076024891","192.168.105.183","192.168.105.71","HTTP","71","POST / HTTP/1.1  (text/plain)"
"19","1.122374743","192.168.105.183","192.168.105.71","TCP","71","[TCP Retransmission] 50684  >  8000 [PSH, ACK] Seq=197 Ack=1 Win=32128 Len=5 TSval=610690150 TSecr=1643010402 [TCP segment of a reassembled PDU]"
"20","1.125854015","192.168.105.71","192.168.105.183","TCP","66","8000  >  50684 [ACK] Seq=1 Ack=202 Win=31872 Len=0 TSval=1643010438 TSecr=610690103"
"21","1.126029223","192.168.105.71","192.168.105.183","TCP","158","8000  >  50684 [PSH, ACK] Seq=1 Ack=202 Win=31872 Len=92 TSval=1643010441 TSecr=610690103 [TCP segment of a reassembled PDU]"
"22","1.126077140","192.168.105.183","192.168.105.71","TCP","66","50684  >  8000 [ACK] Seq=202 Ack=93 Win=32128 Len=0 TSval=610690153 TSecr=1643010441"
"23","1.126196619","192.168.105.71","192.168.105.183","HTTP","71","HTTP/1.0 200 OK "
"24","1.129286776","192.168.105.183","192.168.105.71","TCP","66","50684  >  8000 [FIN, ACK] Seq=202 Ack=99 Win=32128 Len=0 TSval=610690156 TSecr=1643010441"
"25","1.135716517","192.168.105.71","192.168.105.183","TCP","78","[TCP Dup ACK 20#1] 8000  >  50684 [ACK] Seq=99 Ack=202 Win=31872 Len=0 TSval=1643010458 TSecr=610690150 SLE=197 SRE=202"
"26","1.150904384","192.168.105.71","192.168.105.183","TCP","66","8000  >  50684 [ACK] Seq=99 Ack=203 Win=31872 Len=0 TSval=1643010476 TSecr=610690156"
