"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.105.183","192.168.105.71","TCP","74","45298  >  8000 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=608387023 TSecr=0 WS=128"
"2","0.099809256","192.168.105.71","192.168.105.183","TCP","74","8000  >  45298 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=1640707430 TSecr=608387023 WS=128"
"3","0.099922017","192.168.105.183","192.168.105.71","TCP","66","45298  >  8000 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=608387123 TSecr=1640707430"
"4","0.100127329","192.168.105.183","192.168.105.71","TCP","262","45298  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=32128 Len=196 TSval=608387124 TSecr=1640707430 [TCP segment of a reassembled PDU]"
"5","0.100221705","192.168.105.183","192.168.105.71","HTTP","71","POST / HTTP/1.1  (text/plain)"
"6","0.107960930","192.168.105.71","192.168.105.183","TCP","66","8000  >  45298 [ACK] Seq=1 Ack=202 Win=31872 Len=0 TSval=1640707441 TSecr=608387124"
"7","0.109581609","192.168.105.71","192.168.105.183","TCP","158","8000  >  45298 [PSH, ACK] Seq=1 Ack=202 Win=31872 Len=92 TSval=1640707444 TSecr=608387124 [TCP segment of a reassembled PDU]"
"8","0.109633796","192.168.105.183","192.168.105.71","TCP","66","45298  >  8000 [ACK] Seq=202 Ack=93 Win=32128 Len=0 TSval=608387133 TSecr=1640707444"
"9","0.109714161","192.168.105.71","192.168.105.183","HTTP","71","HTTP/1.0 200 OK "
"10","0.344178901","192.168.105.71","192.168.105.183","TCP","71","[TCP Retransmission] 8000  >  45298 [FIN, PSH, ACK] Seq=93 Ack=202 Win=31872 Len=5 TSval=1640707664 TSecr=608387133 [TCP segment of a reassembled PDU]"
"11","0.344261557","192.168.105.183","192.168.105.71","TCP","78","[TCP Previous segment not captured] 45298  >  8000 [ACK] Seq=203 Ack=99 Win=32128 Len=0 TSval=608387368 TSecr=1640707664 SLE=93 SRE=99"
"12","0.410033699","192.168.105.183","192.168.105.71","TCP","66","[TCP Out-Of-Order] 45298  >  8000 [FIN, ACK] Seq=202 Ack=99 Win=32128 Len=0 TSval=608387434 TSecr=1640707664"
"13","0.421971730","192.168.105.71","192.168.105.183","TCP","66","8000  >  45298 [ACK] Seq=99 Ack=203 Win=31872 Len=0 TSval=1640707756 TSecr=608387434"
"14","1.123176468","192.168.105.183","192.168.105.71","TCP","74","45300  >  8000 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=608388147 TSecr=0 WS=128"
"15","1.140916379","192.168.105.71","192.168.105.183","TCP","74","8000  >  45300 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=1640708471 TSecr=608388147 WS=128"
"16","1.141038931","192.168.105.183","192.168.105.71","TCP","66","45300  >  8000 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=608388165 TSecr=1640708471"
"17","1.141212056","192.168.105.183","192.168.105.71","TCP","262","45300  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=32128 Len=196 TSval=608388165 TSecr=1640708471 [TCP segment of a reassembled PDU]"
"18","1.141356327","192.168.105.183","192.168.105.71","HTTP","71","POST / HTTP/1.1  (text/plain)"
"19","1.153409515","192.168.105.71","192.168.105.183","TCP","66","8000  >  45300 [ACK] Seq=1 Ack=202 Win=31872 Len=0 TSval=1640708487 TSecr=608388165"
"20","1.156169830","192.168.105.71","192.168.105.183","TCP","158","8000  >  45300 [PSH, ACK] Seq=1 Ack=202 Win=31872 Len=92 TSval=1640708490 TSecr=608388165 [TCP segment of a reassembled PDU]"
"21","1.156221445","192.168.105.183","192.168.105.71","TCP","66","45300  >  8000 [ACK] Seq=202 Ack=93 Win=32128 Len=0 TSval=608388180 TSecr=1640708490"
"22","1.156346549","192.168.105.71","192.168.105.183","HTTP","71","HTTP/1.0 200 OK "
"23","1.159380354","192.168.105.183","192.168.105.71","TCP","66","45300  >  8000 [FIN, ACK] Seq=202 Ack=99 Win=32128 Len=0 TSval=608388183 TSecr=1640708491"
"24","1.165710516","192.168.105.71","192.168.105.183","TCP","66","8000  >  45300 [ACK] Seq=99 Ack=203 Win=31872 Len=0 TSval=1640708499 TSecr=608388183"
"25","3.194054955","192.168.105.183","192.168.105.71","TCP","74","45308  >  8000 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=608390218 TSecr=0 WS=128"
"26","3.210171896","192.168.105.71","192.168.105.183","TCP","74","8000  >  45308 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=1640710544 TSecr=608390218 WS=128"
"27","3.210418146","192.168.105.183","192.168.105.71","TCP","262","45308  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=32128 Len=196 TSval=608390234 TSecr=1640710544 [TCP segment of a reassembled PDU]"
"28","3.210513407","192.168.105.183","192.168.105.71","HTTP","71","POST / HTTP/1.1  (text/plain)"
"29","3.216038099","192.168.105.71","192.168.105.183","TCP","66","8000  >  45308 [ACK] Seq=1 Ack=197 Win=31872 Len=0 TSval=1640710550 TSecr=608390234"
"30","3.216138620","192.168.105.71","192.168.105.183","TCP","66","8000  >  45308 [ACK] Seq=1 Ack=202 Win=31872 Len=0 TSval=1640710551 TSecr=608390234"
"31","3.227943109","192.168.105.71","192.168.105.183","TCP","158","8000  >  45308 [PSH, ACK] Seq=1 Ack=202 Win=31872 Len=92 TSval=1640710555 TSecr=608390234 [TCP segment of a reassembled PDU]"
"32","3.227973161","192.168.105.183","192.168.105.71","TCP","66","45308  >  8000 [ACK] Seq=202 Ack=93 Win=32128 Len=0 TSval=608390251 TSecr=1640710555"
"33","3.229486288","192.168.105.71","192.168.105.183","HTTP","71","HTTP/1.0 200 OK "
"34","3.229794986","192.168.105.183","192.168.105.71","TCP","66","45308  >  8000 [FIN, ACK] Seq=202 Ack=99 Win=32128 Len=0 TSval=608390253 TSecr=1640710556"
"35","3.235863220","192.168.105.71","192.168.105.183","TCP","66","8000  >  45308 [ACK] Seq=99 Ack=203 Win=31872 Len=0 TSval=1640710569 TSecr=608390253"
"36","4.437682025","a2:81:24:63:26:46","Broadcast","ARP","42","Who has 192.168.105.237? Tell 192.168.105.174"
"37","5.242033188","192.168.105.183","192.168.105.71","TCP","74","45320  >  8000 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=608392266 TSecr=0 WS=128"
"38","5.254048407","192.168.105.71","192.168.105.183","TCP","74","8000  >  45320 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=1640712588 TSecr=608392266 WS=128"
"39","5.254128719","192.168.105.183","192.168.105.71","TCP","66","45320  >  8000 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=608392278 TSecr=1640712588"
"40","5.286042861","192.168.105.183","192.168.105.71","TCP","71","[TCP Previous segment not captured] 45320  >  8000 [PSH, ACK] Seq=197 Ack=1 Win=32128 Len=5 TSval=608392310 TSecr=1640712588"
"41","5.295106828","192.168.105.71","192.168.105.183","TCP","78","[TCP Window Update] 8000  >  45320 [ACK] Seq=1 Ack=1 Win=31872 Len=0 TSval=1640712629 TSecr=608392278 SLE=197 SRE=202"
"42","5.457877696","a2:81:24:63:26:46","Broadcast","ARP","42","Who has 192.168.105.237? Tell 192.168.105.174"
"43","6.482647116","a2:81:24:63:26:46","Broadcast","ARP","42","Who has 192.168.105.237? Tell 192.168.105.174"
"44","6.554050250","192.168.105.183","192.168.105.71","TCP","262","[TCP Retransmission] 45320  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=32128 Len=196 TSval=608393578 TSecr=1640712629"
"45","6.569807971","192.168.105.71","192.168.105.183","TCP","66","8000  >  45320 [ACK] Seq=1 Ack=202 Win=31872 Len=0 TSval=1640713900 TSecr=608393578"
"46","6.569974742","192.168.105.71","192.168.105.183","TCP","158","8000  >  45320 [PSH, ACK] Seq=1 Ack=202 Win=31872 Len=92 TSval=1640713903 TSecr=608393578 [TCP segment of a reassembled PDU]"
"47","6.570015055","192.168.105.183","192.168.105.71","TCP","66","45320  >  8000 [ACK] Seq=202 Ack=93 Win=32128 Len=0 TSval=608393593 TSecr=1640713903"
"48","6.570110576","192.168.105.71","192.168.105.183","HTTP","71","HTTP/1.0 200 OK "
"49","6.571896254","192.168.105.183","192.168.105.71","TCP","66","45320  >  8000 [FIN, ACK] Seq=202 Ack=99 Win=32128 Len=0 TSval=608393595 TSecr=1640713903"
"50","6.579568188","192.168.105.71","192.168.105.183","TCP","66","8000  >  45320 [ACK] Seq=99 Ack=203 Win=31872 Len=0 TSval=1640713911 TSecr=608393595"
"51","7.546035364","a2:81:24:63:26:46","Broadcast","ARP","42","Who has 192.168.105.237? Tell 192.168.105.174"
"52","7.581895550","192.168.105.183","192.168.105.71","TCP","74","45330  >  8000 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=608394605 TSecr=0 WS=128"
"53","7.593850873","192.168.105.71","192.168.105.183","TCP","74","8000  >  45330 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=1640714928 TSecr=608394605 WS=128"
"54","7.593970196","192.168.105.183","192.168.105.71","TCP","66","45330  >  8000 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=608394617 TSecr=1640714928"
"55","7.594210300","192.168.105.183","192.168.105.71","TCP","71","[TCP Previous segment not captured] 45330  >  8000 [PSH, ACK] Seq=197 Ack=1 Win=32128 Len=5 TSval=608394618 TSecr=1640714928"
"56","7.600507858","192.168.105.71","192.168.105.183","TCP","78","[TCP Window Update] 8000  >  45330 [ACK] Seq=1 Ack=1 Win=31872 Len=0 TSval=1640714934 TSecr=608394617 SLE=197 SRE=202"
"57","7.606055935","192.168.105.183","192.168.105.71","TCP","262","[TCP Out-Of-Order] 45330  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=32128 Len=196 TSval=608394630 TSecr=1640714934"
"58","7.611311825","192.168.105.71","192.168.105.183","TCP","66","8000  >  45330 [ACK] Seq=1 Ack=202 Win=31872 Len=0 TSval=1640714946 TSecr=608394630"
