delay,send_time,receive_time,data_length
0.081,1716214840.571,1716214840.652,1000
0.068,1716214841.626,1716214841.694,1000
0.075,1716214842.666,1716214842.741,1000
0.066,1716214843.713,1716214843.779,1000
0.069,1716214844.751,1716214844.820,1000
0.062,1716214845.791,1716214845.853,1000
0.150,1716214846.825,1716214846.975,1000
0.069,1716214847.946,1716214848.015,1000
0.068,1716214848.985,1716214849.053,1000
0.068,1716214850.026,1716214850.094,1000
0.074,1716214851.063,1716214851.137,1000
0.067,1716214852.109,1716214852.176,1000
0.070,1716214853.144,1716214853.214,1000
0.067,1716214854.182,1716214854.249,1000
0.072,1716214855.220,1716214855.292,1000
0.072,1716214856.260,1716214856.332,1000
0.068,1716214857.301,1716214857.369,1000
0.070,1716214858.342,1716214858.412,1000
0.067,1716214859.380,1716214859.447,1000
0.069,1716214860.417,1716214860.486,1000
0.067,1716214861.454,1716214861.521,1000
0.068,1716214862.489,1716214862.557,1000
0.067,1716214863.527,1716214863.594,1000
0.069,1716214864.563,1716214864.632,1000
0.070,1716214865.600,1716214865.670,1000
0.070,1716214866.641,1716214866.711,1000
0.067,1716214867.678,1716214867.745,1000
0.072,1716214868.715,1716214868.787,1000
0.070,1716214869.756,1716214869.826,1000
0.070,1716214870.798,1716214870.868,1000
0.068,1716214871.835,1716214871.903,1000
0.074,1716214872.870,1716214872.944,1000
0.070,1716214873.911,1716214873.981,1000
0.071,1716214874.949,1716214875.020,1000
0.074,1716214875.986,1716214876.060,1000
0.072,1716214877.028,1716214877.100,1000
0.071,1716214878.067,1716214878.138,1000
0.072,1716214879.105,1716214879.177,1000
0.077,1716214880.144,1716214880.221,1000
0.072,1716214881.186,1716214881.258,1000
0.074,1716214882.223,1716214882.297,1000
0.072,1716214883.262,1716214883.334,1000
0.072,1716214884.301,1716214884.373,1000
0.078,1716214885.337,1716214885.415,1000
0.071,1716214886.378,1716214886.449,1000
0.075,1716214887.422,1716214887.497,1000
0.071,1716214888.464,1716214888.535,1000
0.077,1716214889.499,1716214889.576,1000
0.076,1716214890.540,1716214890.616,1000
0.075,1716214891.582,1716214891.657,1000
0.074,1716214892.621,1716214892.695,1000
0.079,1716214893.658,1716214893.737,1000
0.072,1716214894.702,1716214894.774,1000
0.076,1716214895.738,1716214895.814,1000
0.073,1716214896.777,1716214896.850,1000
0.076,1716214897.814,1716214897.890,1000
0.073,1716214898.854,1716214898.927,1000
0.072,1716214899.892,1716214899.964,1000
0.076,1716214900.929,1716214901.005,1000
0.074,1716214901.969,1716214902.043,1000
0.073,1716214903.005,1716214903.078,1000
0.080,1716214904.040,1716214904.120,1000
0.074,1716214905.085,1716214905.159,1000
