delay,send_time,receive_time,data_length
1.046,1715859711.601,1715859712.647,1000
0.020,1715859713.667,1715859713.687,1000
0.018,1715859714.708,1715859714.726,1000
0.019,1715859715.746,1715859715.765,1000
0.022,1715859717.224,1715859717.246,1000
0.027,1715859718.268,1715859718.295,1000
0.016,1715859719.315,1715859719.331,1000
0.019,1715859720.352,1715859720.371,1000
0.018,1715859721.391,1715859721.409,1000
0.017,1715859722.429,1715859722.446,1000
1.018,1715859723.466,1715859724.484,1000
0.017,1715859725.504,1715859725.521,1000
0.017,1715859726.539,1715859726.556,1000
0.020,1715859727.575,1715859727.595,1000
0.020,1715859728.614,1715859728.634,1000
0.031,1715859730.115,1715859730.146,1000
1.025,1715859731.171,1715859732.196,1000
0.021,1715859733.216,1715859733.237,1000
1.297,1715859734.256,1715859735.553,1000
0.038,1715859736.572,1715859736.610,1000
0.022,1715859737.629,1715859737.651,1000
0.017,1715859738.676,1715859738.693,1000
0.016,1715859739.714,1715859739.730,1000
0.019,1715859740.763,1715859740.782,1000
0.018,1715859741.803,1715859741.821,1000
0.017,1715859742.842,1715859742.859,1000
0.017,1715859744.108,1715859744.125,1000
0.019,1715859745.144,1715859745.163,1000
0.057,1715859746.183,1715859746.240,1000
1.443,1715859747.259,1715859748.702,1000
0.033,1715859749.723,1715859749.756,1000
0.017,1715859750.776,1715859750.793,1000
0.018,1715859751.812,1715859751.830,1000
0.019,1715859752.850,1715859752.869,1000
0.039,1715859754.113,1715859754.152,1000
0.018,1715859755.182,1715859755.200,1000
0.016,1715859756.221,1715859756.237,1000
0.018,1715859757.256,1715859757.274,1000
0.018,1715859758.293,1715859758.311,1000
0.019,1715859759.331,1715859759.350,1000
0.028,1715859760.371,1715859760.399,1000
0.053,1715859761.421,1715859761.474,1000
0.020,1715859762.493,1715859762.513,1000
0.023,1715859763.534,1715859763.557,1000
0.016,1715859765.255,1715859765.271,1000
1.029,1715859766.303,1715859767.332,1000
0.018,1715859768.591,1715859768.609,1000
0.020,1715859769.628,1715859769.648,1000
0.039,1715859770.891,1715859770.930,1000
0.018,1715859771.987,1715859772.005,1000
0.019,1715859773.024,1715859773.043,1000
0.019,1715859774.066,1715859774.085,1000
0.021,1715859775.105,1715859775.126,1000
0.016,1715859776.367,1715859776.383,1000
0.018,1715859777.628,1715859777.646,1000
1.287,1715859778.666,1715859779.953,1000
0.020,1715859781.217,1715859781.237,1000
0.020,1715859782.257,1715859782.277,1000
0.015,1715859783.309,1715859783.324,1000
0.019,1715859784.343,1715859784.362,1000
0.017,1715859786.264,1715859786.281,1000
1.024,1715859787.302,1715859788.326,1000
0.018,1715859789.347,1715859789.365,1000
1.044,1715859790.385,1715859791.429,1000
0.019,1715859792.449,1715859792.468,1000
0.019,1715859793.488,1715859793.507,1000
0.017,1715859794.526,1715859794.543,1000
0.020,1715859795.783,1715859795.803,1000
0.018,1715859796.850,1715859796.868,1000
1.064,1715859797.892,1715859798.956,1000
1.037,1715859799.978,1715859801.015,1000
0.017,1715859802.035,1715859802.052,1000
0.016,1715859803.507,1715859803.523,1000
2.073,1715859804.795,1715859806.868,1000
0.014,1715859807.887,1715859807.901,1000
0.017,1715859808.930,1715859808.947,1000
0.017,1715859809.967,1715859809.984,1000
0.022,1715859811.224,1715859811.246,1000
0.020,1715859812.267,1715859812.287,1000
1.074,1715859813.309,1715859814.383,1000
1.039,1715859815.414,1715859816.453,1000
2.089,1715859817.903,1715859819.992,1000
0.068,1715859821.018,1715859821.086,1000
0.018,1715859822.107,1715859822.125,1000
0.028,1715859823.146,1715859823.174,1000
0.019,1715859824.194,1715859824.213,1000
0.939,1715859825.234,1715859826.173,1000
1.034,1715859827.194,1715859828.228,1000
1.116,1715859829.247,1715859830.363,1000
0.030,1715859831.661,1715859831.691,1000
6.732,1715859832.941,1715859839.673,1000
0.020,1715859840.695,1715859840.715,1000
0.020,1715859841.735,1715859841.755,1000
0.020,1715859842.775,1715859842.795,1000
0.017,1715859843.853,1715859843.870,1000
0.019,1715859844.904,1715859844.923,1000
