sender_id,sequence,rtt,send_time,send_time,ack_time,response
1,0,0.055,1717685287.856,1717685287.911,1,0,1
1,1,0.085,1717685288.912,1717685288.997,1,1,1
1,2,0.073,1717685289.997,1717685290.070,1,2,1
1,3,0.093,1717685291.071,1717685291.164,1,3,1
1,4,0.037,1717685292.165,1717685292.201,1,4,1
1,5,0.038,1717685293.202,1717685293.240,1,5,1
1,6,0.093,1717685294.241,1717685294.334,1,6,1
1,7,0.040,1717685295.335,1717685295.375,1,7,1
1,8,0.042,1717685296.376,1717685296.418,1,8,1
1,9,0.038,1717685297.419,1717685297.457,1,9,1
1,10,0.036,1717685298.458,1717685298.494,1,10,1
1,11,0.023,1717685299.495,1717685299.518,1,11,1
1,12,0.030,1717685300.519,1717685300.549,1,12,1
1,13,0.036,1717685301.549,1717685301.585,1,13,1
1,14,0.037,1717685302.586,1717685302.623,1,14,1
1,15,0.044,1717685303.624,1717685303.669,1,15,1
1,16,0.037,1717685304.670,1717685304.707,1,16,1
1,17,0.035,1717685305.708,1717685305.743,1,17,1
1,18,0.030,1717685306.744,1717685306.774,1,18,1
1,19,0.042,1717685307.774,1717685307.816,1,19,1
1,20,0.033,1717685308.817,1717685308.850,1,20,1
1,21,0.033,1717685309.851,1717685309.884,1,21,1
1,22,0.045,1717685310.885,1717685310.930,1,22,1
1,23,0.031,1717685311.931,1717685311.961,1,23,1
1,24,0.040,1717685312.962,1717685313.002,1,24,1
1,25,0.036,1717685314.002,1717685314.039,1,25,1
1,26,0.046,1717685315.040,1717685315.086,1,26,1
1,27,0.043,1717685316.087,1717685316.130,1,27,1
1,28,0.037,1717685317.131,1717685317.168,1,28,1
1,29,0.038,1717685318.169,1717685318.206,1,29,1
1,30,0.035,1717685319.207,1717685319.242,1,30,1
1,31,0.035,1717685320.243,1717685320.277,1,31,1
1,32,0.040,1717685321.278,1717685321.318,1,32,1
1,33,0.033,1717685322.319,1717685322.352,1,33,1
1,34,0.033,1717685323.353,1717685323.386,1,34,1
1,35,0.041,1717685324.386,1717685324.427,1,35,1
1,36,0.039,1717685325.428,1717685325.467,1,36,1
1,37,0.054,1717685326.468,1717685326.521,1,37,1
1,38,0.036,1717685327.522,1717685327.558,1,38,1
1,39,0.040,1717685328.559,1717685328.599,1,39,1
1,40,0.048,1717685329.600,1717685329.648,1,40,1
1,41,0.040,1717685330.649,1717685330.689,1,41,1
1,42,0.036,1717685331.690,1717685331.726,1,42,1
1,43,0.034,1717685332.727,1717685332.761,1,43,1
1,44,0.038,1717685333.762,1717685333.799,1,44,1
1,45,0.035,1717685334.800,1717685334.836,1,45,1
1,46,0.053,1717685335.836,1717685335.890,1,46,1
1,47,0.039,1717685336.890,1717685336.929,1,47,1
1,48,0.035,1717685337.930,1717685337.965,1,48,1
1,49,0.059,1717685338.966,1717685339.025,1,49,1
1,50,0.043,1717685340.026,1717685340.069,1,50,1
1,51,0.039,1717685341.069,1717685341.109,1,51,1
1,52,0.042,1717685342.109,1717685342.151,1,52,1
1,53,0.033,1717685343.152,1717685343.185,1,53,1
1,54,0.036,1717685344.186,1717685344.222,1,54,1
1,55,0.030,1717685345.223,1717685345.253,1,55,1
1,56,0.048,1717685346.254,1717685346.302,1,56,1
1,57,0.052,1717685347.303,1717685347.355,1,57,1
1,58,0.037,1717685348.356,1717685348.393,1,58,1
1,59,0.040,1717685349.394,1717685349.434,1,59,1
1,60,0.094,1717685350.434,1717685350.528,1,60,1
1,61,0.037,1717685351.530,1717685351.567,1,61,1
1,62,0.037,1717685352.568,1717685352.605,1,62,1
1,63,0.127,1717685353.606,1717685353.733,1,63,1
1,64,0.071,1717685354.734,1717685354.805,1,64,1
1,65,0.040,1717685355.806,1717685355.846,1,65,1
1,66,0.042,1717685356.847,1717685356.889,1,66,1
1,67,0.040,1717685357.890,1717685357.930,1,67,1
1,68,0.050,1717685358.931,1717685358.981,1,68,1
1,69,0.060,1717685359.982,1717685360.042,1,69,1
1,70,0.039,1717685361.043,1717685361.082,1,70,1
1,71,0.106,1717685362.084,1717685362.189,1,71,1
1,72,0.104,1717685363.191,1717685363.295,1,72,1
1,73,0.145,1717685364.296,1717685364.442,1,73,1
1,74,0.048,1717685365.443,1717685365.491,1,74,1
1,75,0.050,1717685366.492,1717685366.542,1,75,1
1,76,0.065,1717685367.543,1717685367.608,1,76,1
1,77,0.038,1717685368.609,1717685368.647,1,77,1
1,78,0.044,1717685369.648,1717685369.692,1,78,1
1,79,0.065,1717685370.693,1717685370.758,1,79,1
1,80,0.044,1717685371.758,1717685371.802,1,80,1
1,81,0.083,1717685372.803,1717685372.885,1,81,1
1,82,0.066,1717685373.886,1717685373.952,1,82,1
1,83,0.036,1717685374.953,1717685374.989,1,83,1
1,84,0.050,1717685375.990,1717685376.040,1,84,1
1,85,0.044,1717685377.041,1717685377.085,1,85,1
1,86,0.044,1717685378.086,1717685378.130,1,86,1
1,87,0.045,1717685379.132,1717685379.177,1,87,1
1,88,0.039,1717685380.178,1717685380.217,1,88,1
1,89,0.038,1717685381.217,1717685381.255,1,89,1
1,90,0.091,1717685382.256,1717685382.347,1,90,1
1,91,0.081,1717685383.347,1717685383.429,1,91,1
1,92,0.053,1717685384.430,1717685384.482,1,92,1
1,93,0.042,1717685385.483,1717685385.525,1,93,1
1,94,0.044,1717685386.526,1717685386.570,1,94,1
1,95,0.034,1717685387.572,1717685387.605,1,95,1
1,96,0.042,1717685388.607,1717685388.649,1,96,1
1,97,0.046,1717685389.650,1717685389.697,1,97,1
1,98,0.074,1717685390.697,1717685390.771,1,98,1
1,99,0.035,1717685391.772,1717685391.808,1,99,1
1,100,0.087,1717685392.808,1717685392.895,1,100,1
1,101,0.077,1717685393.897,1717685393.974,1,101,1
1,102,0.122,1717685394.975,1717685395.097,1,102,1
1,103,0.032,1717685396.098,1717685396.130,1,103,1
1,104,0.035,1717685397.131,1717685397.166,1,104,1
1,105,0.041,1717685398.167,1717685398.208,1,105,1
1,106,0.037,1717685399.209,1717685399.246,1,106,1
1,107,0.035,1717685400.247,1717685400.282,1,107,1
1,108,0.047,1717685401.283,1717685401.330,1,108,1
1,109,0.033,1717685402.331,1717685402.364,1,109,1
1,110,0.041,1717685403.365,1717685403.407,1,110,1
1,111,0.039,1717685404.407,1717685404.447,1,111,1
1,112,0.080,1717685405.448,1717685405.527,1,112,1
1,113,0.070,1717685406.528,1717685406.598,1,113,1
1,114,0.048,1717685407.599,1717685407.648,1,114,1
1,115,0.044,1717685408.648,1717685408.692,1,115,1
1,116,0.043,1717685409.693,1717685409.736,1,116,1
1,117,0.038,1717685410.737,1717685410.775,1,117,1
1,118,0.036,1717685411.776,1717685411.812,1,118,1
1,119,0.036,1717685412.812,1717685412.849,1,119,1
1,120,0.039,1717685413.849,1717685413.888,1,120,1
1,121,0.072,1717685414.889,1717685414.961,1,121,1
1,122,0.137,1717685415.962,1717685416.099,1,122,1
1,123,0.036,1717685417.100,1717685417.136,1,123,1
1,124,0.053,1717685418.137,1717685418.190,1,124,1
1,125,0.041,1717685419.191,1717685419.232,1,125,1
1,126,0.041,1717685420.233,1717685420.274,1,126,1
1,127,0.034,1717685421.275,1717685421.309,1,127,1
1,128,0.035,1717685422.309,1717685422.345,1,128,1
1,129,0.041,1717685423.346,1717685423.387,1,129,1
1,130,0.037,1717685424.388,1717685424.426,1,130,1
1,131,0.043,1717685425.426,1717685425.469,1,131,1
1,132,0.098,1717685426.470,1717685426.569,1,132,1
1,133,0.145,1717685427.570,1717685427.714,1,133,1
1,134,0.043,1717685428.715,1717685428.759,1,134,1
1,135,0.040,1717685429.760,1717685429.800,1,135,1
