sender_id,sequence,rtt,send_time,send_time,ack_time,response
1,0,0.126,1717682985.849,1717682985.974,1,0,1
1,1,0.048,1717682986.975,1717682987.023,1,1,1
1,2,1.069,1717682988.024,1717682989.093,1,2,1
1,3,2.341,1717682990.094,1717682992.435,1,3,1
1,4,0.046,1717682993.436,1717682993.482,1,4,1
1,5,0.034,1717682994.483,1717682994.518,1,5,1
1,6,1.051,1717682995.519,1717682996.570,1,6,1
1,7,0.056,1717682997.721,1717682997.776,1,7,1
1,8,1.062,1717682998.778,1717682999.840,1,8,1
1,9,0.032,1717683000.841,1717683000.873,1,9,1
1,10,0.033,1717683001.874,1717683001.908,1,10,1
1,11,0.037,1717683002.909,1717683002.946,1,11,1
1,12,1.059,1717683003.947,1717683005.006,1,12,1
1,13,0.035,1717683006.007,1717683006.042,1,13,1
1,14,0.045,1717683007.043,1717683007.088,1,14,1
1,15,0.028,1717683008.089,1717683008.117,1,15,1
1,16,1.057,1717683009.118,1717683010.175,1,16,1
1,17,1.061,1717683012.563,1717683013.623,1,17,1
1,18,1.050,1717683014.624,1717683015.674,1,18,1
1,19,0.033,1717683016.675,1717683016.708,1,19,1
1,20,0.035,1717683017.709,1717683017.744,1,20,1
1,21,0.033,1717683018.745,1717683018.778,1,21,1
1,22,0.249,1717683019.779,1717683020.028,1,22,1
1,23,0.052,1717683021.071,1717683021.123,1,23,1
1,24,0.710,1717683022.125,1717683022.835,1,24,1
1,25,0.036,1717683023.836,1717683023.872,1,25,1
1,26,1.037,1717683024.874,1717683025.911,1,26,1
1,27,0.279,1717683026.957,1717683027.236,1,27,1
1,28,0.903,1717683028.237,1717683029.140,1,28,1
1,29,0.034,1717683030.141,1717683030.175,1,29,1
1,30,0.033,1717683031.176,1717683031.209,1,30,1
1,31,1.073,1717683032.210,1717683033.283,1,31,1
1,32,1.038,1717683034.284,1717683035.322,1,32,1
1,33,1.052,1717683036.323,1717683037.375,1,33,1
1,34,0.030,1717683038.376,1717683038.407,1,34,1
1,35,0.041,1717683039.407,1717683039.449,1,35,1
1,36,0.255,1717683040.449,1717683040.705,1,36,1
1,37,0.277,1717683041.706,1717683041.983,1,37,1
1,38,0.035,1717683042.984,1717683043.018,1,38,1
1,39,1.047,1717683044.020,1717683045.067,1,39,1
1,40,11.782,1717683046.067,1717683057.849,1,40,1
1,41,1.049,1717683058.850,1717683059.899,1,41,1
1,42,0.033,1717683060.901,1717683060.934,1,42,1
1,43,0.048,1717683061.935,1717683061.983,1,43,1
1,44,0.046,1717683062.984,1717683063.030,1,44,1
1,45,0.473,1717683064.031,1717683064.504,1,45,1
1,46,0.033,1717683065.506,1717683065.539,1,46,1
1,47,1.259,1717683066.541,1717683067.800,1,47,1
1,48,0.041,1717683068.801,1717683068.842,1,48,1
1,49,0.037,1717683069.843,1717683069.880,1,49,1
1,50,0.040,1717683070.882,1717683070.923,1,50,1
1,51,0.103,1717683071.924,1717683072.027,1,51,1
1,52,0.038,1717683073.028,1717683073.066,1,52,1
1,53,0.037,1717683074.067,1717683074.104,1,53,1
1,54,0.040,1717683075.105,1717683075.145,1,54,1
1,55,0.033,1717683076.146,1717683076.179,1,55,1
1,56,0.049,1717683077.180,1717683077.229,1,56,1
1,57,0.051,1717683078.419,1717683078.470,1,57,1
1,58,0.035,1717683079.471,1717683079.506,1,58,1
1,59,0.039,1717683080.507,1717683080.545,1,59,1
1,60,0.039,1717683081.546,1717683081.585,1,60,1
1,61,0.513,1717683082.587,1717683083.100,1,61,1
1,62,0.267,1717683084.188,1717683084.454,1,62,1
1,63,0.041,1717683085.456,1717683085.497,1,63,1
1,64,0.059,1717683086.498,1717683086.557,1,64,1
1,65,0.258,1717683087.558,1717683087.817,1,65,1
1,66,0.040,1717683088.817,1717683088.858,1,66,1
1,67,0.267,1717683089.859,1717683090.125,1,67,1
1,68,0.285,1717683091.127,1717683091.412,1,68,1
1,69,1.053,1717683092.413,1717683093.466,1,69,1
1,70,0.041,1717683094.467,1717683094.508,1,70,1
1,71,0.053,1717683095.508,1717683095.562,1,71,1
1,72,0.034,1717683096.563,1717683096.597,1,72,1
1,73,0.051,1717683097.598,1717683097.649,1,73,1
1,74,0.036,1717683098.650,1717683098.685,1,74,1
1,75,0.049,1717683099.686,1717683099.735,1,75,1
1,76,0.062,1717683100.736,1717683100.798,1,76,1
1,77,0.069,1717683101.799,1717683101.868,1,77,1
1,78,0.036,1717683102.868,1717683102.905,1,78,1
1,79,1.054,1717683103.906,1717683104.961,1,79,1
1,80,0.076,1717683105.962,1717683106.038,1,80,1
1,81,0.104,1717683107.040,1717683107.144,1,81,1
1,82,1.035,1717683108.145,1717683109.180,1,82,1
1,83,0.039,1717683110.181,1717683110.220,1,83,1
1,84,0.034,1717683111.222,1717683111.255,1,84,1
1,85,0.033,1717683112.257,1717683112.289,1,85,1
1,86,0.075,1717683113.291,1717683113.366,1,86,1
1,87,1.116,1717683114.367,1717683115.484,1,87,1
1,88,0.082,1717683116.484,1717683116.566,1,88,1
