"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.105.174","224.0.0.251","MDNS","82","Standard query 0x0101 PTR _quickshare._tcp.local, ""QM"" question"
"2","0.204900281","fe80::a081:24ff:fe63:2646","ff02::fb","MDNS","102","Standard query 0x0101 PTR _quickshare._tcp.local, ""QM"" question"
"3","2.077328545","192.168.105.71","192.168.105.117","TCP","74","49487  >  1883 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=58233710 TSecr=0 WS=128"
"4","2.077594498","192.168.105.117","192.168.105.71","TCP","74","1883  >  49487 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=3419895901 TSecr=58233710 WS=128"
"5","2.082726263","192.168.105.71","192.168.105.117","TCP","66","49487  >  1883 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=58233722 TSecr=3419895901"
"6","2.082888355","192.168.105.71","192.168.105.117","MQTT","80","Connect Command"
"7","2.082964975","192.168.105.117","192.168.105.71","TCP","66","1883  >  49487 [ACK] Seq=1 Ack=15 Win=31872 Len=0 TSval=3419895907 TSecr=58233723"
"8","2.085342668","192.168.105.117","192.168.105.71","MQTT","70","Connect Ack"
"9","2.087597855","192.168.105.71","192.168.105.117","MQTT","78","Subscribe Request (id=1) [topic]"
"10","2.088770581","192.168.105.117","192.168.105.71","MQTT","71","Subscribe Ack (id=1)"
"11","2.090837006","192.168.105.71","192.168.105.117","TCP","66","49487  >  1883 [ACK] Seq=27 Ack=5 Win=32128 Len=0 TSval=58233730 TSecr=3419895909"
"12","2.093946514","192.168.105.71","192.168.105.117","TCP","66","49487  >  1883 [ACK] Seq=27 Ack=10 Win=32128 Len=0 TSval=58233734 TSecr=3419895912"
"13","3.276071819","192.168.105.183","192.168.105.117","TCP","74","33963  >  1883 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=2889162036 TSecr=0 WS=128"
"14","3.276447622","192.168.105.117","192.168.105.183","TCP","74","1883  >  33963 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=853847496 TSecr=2889162036 WS=128"
"15","3.282115928","192.168.105.183","192.168.105.117","TCP","66","33963  >  1883 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=2889162050 TSecr=853847496"
"16","3.282376100","192.168.105.183","192.168.105.117","MQTT","80","Connect Command"
"17","3.282516681","192.168.105.117","192.168.105.183","TCP","66","1883  >  33963 [ACK] Seq=1 Ack=15 Win=31872 Len=0 TSval=853847502 TSecr=2889162050"
"18","3.286563224","192.168.105.117","192.168.105.183","MQTT","70","Connect Ack"
"19","3.289017953","192.168.105.183","192.168.105.117","MQTT","92","Subscribe Request (id=1) [res], Publish Message (id=2) [topic]"
"20","3.291302203","192.168.105.117","192.168.105.183","MQTT","71","Subscribe Ack (id=1)"
"21","3.291941616","192.168.105.117","192.168.105.71","MQTT","80","Publish Message [topic]"
"22","3.292341380","192.168.105.117","192.168.105.183","MQTT","70","Publish Ack (id=2)"
"23","3.292591707","192.168.105.183","192.168.105.117","TCP","66","33963  >  1883 [ACK] Seq=41 Ack=5 Win=32128 Len=0 TSval=2889162061 TSecr=853847506"
"24","3.296895817","192.168.105.183","192.168.105.117","TCP","66","33963  >  1883 [ACK] Seq=41 Ack=14 Win=32128 Len=0 TSval=2889162065 TSecr=853847512"
"25","3.301119558","192.168.105.71","192.168.105.117","TCP","66","49487  >  1883 [ACK] Seq=27 Ack=24 Win=32128 Len=0 TSval=58234940 TSecr=3419897115"
"26","3.351095706","192.168.105.71","192.168.105.117","MQTT","80","Publish Message (id=2) [res]"
"27","3.352481153","192.168.105.117","192.168.105.71","MQTT","70","Publish Ack (id=2)"
"28","3.352553762","192.168.105.117","192.168.105.183","MQTT","78","Publish Message [res]"
"29","3.361353139","192.168.105.71","192.168.105.117","TCP","66","49487  >  1883 [ACK] Seq=41 Ack=28 Win=32128 Len=0 TSval=58234997 TSecr=3419897176"
"30","3.361597112","192.168.105.183","192.168.105.117","TCP","66","33963  >  1883 [ACK] Seq=41 Ack=26 Win=32128 Len=0 TSval=2889162130 TSecr=853847572"
"31","4.295294369","192.168.105.183","192.168.105.117","MQTT","82","Publish Message (id=3) [topic]"
"32","4.296644710","192.168.105.117","192.168.105.71","MQTT","80","Publish Message [topic]"
"33","4.296710964","192.168.105.117","192.168.105.183","MQTT","70","Publish Ack (id=3)"
