"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.105.71","192.168.105.117","TCP","74","38737  >  1883 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=61910092 TSecr=0 WS=128"
"2","0.000412133","192.168.105.117","192.168.105.71","TCP","74","1883  >  38737 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=3423572299 TSecr=61910092 WS=128"
"3","0.007110784","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=61910104 TSecr=3423572299"
"4","0.009161030","192.168.105.71","192.168.105.117","MQTT","80","Connect Command"
"5","0.009436184","192.168.105.117","192.168.105.71","TCP","66","1883  >  38737 [ACK] Seq=1 Ack=15 Win=31872 Len=0 TSval=3423572308 TSecr=61910105"
"6","0.012247883","192.168.105.117","192.168.105.71","MQTT","70","Connect Ack"
"7","0.015414058","192.168.105.71","192.168.105.117","MQTT","78","Subscribe Request (id=1) [topic]"
"8","0.017299670","192.168.105.117","192.168.105.71","MQTT","71","Subscribe Ack (id=1)"
"9","0.018443777","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27 Ack=5 Win=32128 Len=0 TSval=61910116 TSecr=3423572311"
"10","0.022148126","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27 Ack=10 Win=32128 Len=0 TSval=61910121 TSecr=3423572316"
"11","1.816440442","192.168.105.174","224.0.0.251","MDNS","82","Standard query 0x01b9 PTR _quickshare._tcp.local, ""QM"" question"
"12","1.940278321","fe80::a081:24ff:fe63:2646","ff02::fb","MDNS","102","Standard query 0x01b9 PTR _quickshare._tcp.local, ""QM"" question"
"13","2.015467427","192.168.105.183","192.168.105.117","TCP","74","50791  >  1883 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=2892839268 TSecr=0 WS=128"
"14","2.015852320","192.168.105.117","192.168.105.183","TCP","74","1883  >  50791 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=857524711 TSecr=2892839268 WS=128"
"15","2.021478947","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=2892839280 TSecr=857524711"
"16","2.021816028","192.168.105.183","192.168.105.117","MQTT","80","Connect Command"
"17","2.025695532","192.168.105.117","192.168.105.183","MQTT","70","Connect Ack"
"18","2.030490290","192.168.105.183","192.168.105.117","MQTT","92","Subscribe Request (id=1) [res], Publish Message (id=2) [topic]"
"19","2.032884544","192.168.105.117","192.168.105.183","MQTT","71","Subscribe Ack (id=1)"
"20","2.033812454","192.168.105.117","192.168.105.71","MQTT","80","Publish Message [topic]"
"21","2.034610209","192.168.105.117","192.168.105.183","MQTT","70","Publish Received (id=2)"
"22","2.039139864","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=41 Ack=14 Win=32128 Len=0 TSval=2892839298 TSecr=857524728"
"23","2.039647309","192.168.105.183","192.168.105.117","MQTT","70","Publish Release (id=2)"
"24","2.040303867","192.168.105.117","192.168.105.183","MQTT","70","Publish Complete (id=2)"
"25","2.043923789","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27 Ack=24 Win=32128 Len=0 TSval=61912142 TSecr=3423574333"
"26","2.096695865","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=45 Ack=18 Win=32128 Len=0 TSval=2892839347 TSecr=857524735"
"27","2.096991072","192.168.105.71","192.168.105.117","MQTT","80","Publish Message (id=2) [res]"
"28","2.098698456","192.168.105.117","192.168.105.71","MQTT","70","Publish Received (id=2)"
"29","2.099429752","192.168.105.117","192.168.105.183","MQTT","78","Publish Message [res]"
"30","2.104461852","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=41 Ack=28 Win=32128 Len=0 TSval=61912202 TSecr=3423574397"
"31","2.104703986","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=45 Ack=30 Win=32128 Len=0 TSval=2892839364 TSecr=857524794"
"32","2.119909192","192.168.105.71","192.168.105.117","MQTT","70","Publish Release (id=2)"
"33","2.120702103","192.168.105.117","192.168.105.71","MQTT","70","Publish Complete (id=2)"
"34","2.170187692","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=45 Ack=32 Win=32128 Len=0 TSval=61912266 TSecr=3423574420"
"35","3.034466817","192.168.105.183","192.168.105.117","MQTT","82","Publish Message (id=3) [topic]"
"36","3.035734516","192.168.105.117","192.168.105.183","MQTT","70","Publish Received (id=3)"
"37","3.036287533","192.168.105.117","192.168.105.71","MQTT","80","Publish Message [topic]"
"38","3.042919309","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=61 Ack=34 Win=32128 Len=0 TSval=2892840300 TSecr=857525731"
"39","3.047731567","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=45 Ack=46 Win=32128 Len=0 TSval=61913146 TSecr=3423575335"
