delay,send_time,receive_time,data_length
0.127,1716456698.359,1716456698.486,1000
-0.035,1716456699.363,1716456699.328,1000
-0.032,1716456700.367,1716456700.335,1000
-0.031,1716456701.371,1716456701.340,1000
-0.029,1716456702.375,1716456702.346,1000
-0.036,1716456703.379,1716456703.343,1000
-0.035,1716456704.383,1716456704.348,1000
-0.035,1716456705.387,1716456705.352,1000
-0.032,1716456706.391,1716456706.359,1000
-0.030,1716456707.394,1716456707.364,1000
-0.033,1716456708.398,1716456708.365,1000
-0.037,1716456709.402,1716456709.365,1000
-0.036,1716456710.406,1716456710.370,1000
-0.040,1716456711.410,1716456711.370,1000
-0.031,1716456712.413,1716456712.382,1000
-0.035,1716456713.417,1716456713.382,1000
-0.030,1716456714.421,1716456714.391,1000
-0.032,1716456715.425,1716456715.393,1000
-0.035,1716456716.428,1716456716.393,1000
-0.035,1716456717.432,1716456717.397,1000
-0.037,1716456718.436,1716456718.399,1000
-0.031,1716456719.439,1716456719.408,1000
-0.031,1716456720.443,1716456720.412,1000
-0.038,1716456721.447,1716456721.409,1000
-0.034,1716456722.450,1716456722.416,1000
-0.037,1716456723.454,1716456723.417,1000
-0.038,1716456724.458,1716456724.420,1000
-0.030,1716456725.461,1716456725.431,1000
-0.030,1716456726.465,1716456726.435,1000
-0.021,1716456727.469,1716456727.448,1000
-0.026,1716456728.473,1716456728.447,1000
-0.029,1716456729.476,1716456729.447,1000
-0.028,1716456730.480,1716456730.452,1000
-0.023,1716456731.483,1716456731.460,1000
-0.022,1716456732.487,1716456732.465,1000
-0.015,1716456733.491,1716456733.476,1000
-0.028,1716456734.494,1716456734.466,1000
-0.023,1716456735.498,1716456735.475,1000
-0.020,1716456736.502,1716456736.482,1000
-0.015,1716456737.505,1716456737.490,1000
-0.012,1716456738.509,1716456738.497,1000
-0.018,1716456739.513,1716456739.495,1000
-0.017,1716456740.516,1716456740.499,1000
-0.010,1716456741.520,1716456741.510,1000
-0.011,1716456742.524,1716456742.513,1000
-0.010,1716456743.527,1716456743.517,1000
-0.010,1716456744.531,1716456744.521,1000
-0.002,1716456745.535,1716456745.533,1000
-0.013,1716456746.539,1716456746.526,1000
-0.012,1716456747.542,1716456747.530,1000
-0.011,1716456748.546,1716456748.535,1000
-0.002,1716456749.549,1716456749.547,1000
-0.005,1716456750.553,1716456750.548,1000
-0.009,1716456751.557,1716456751.548,1000
-0.004,1716456752.560,1716456752.556,1000
-0.008,1716456753.564,1716456753.556,1000
-0.002,1716456754.568,1716456754.566,1000
-0.002,1716456755.571,1716456755.569,1000
-0.001,1716456756.575,1716456756.574,1000
0.006,1716456757.578,1716456757.584,1000
-0.006,1716456758.582,1716456758.576,1000
-0.004,1716456759.586,1716456759.582,1000
0.006,1716456760.590,1716456760.596,1000
0.026,1716456761.593,1716456761.619,1000
-0.003,1716456762.597,1716456762.594,1000
-0.004,1716456763.600,1716456763.596,1000
0.011,1716456764.604,1716456764.615,1000
-0.003,1716456765.608,1716456765.605,1000
0.003,1716456766.611,1716456766.614,1000
0.004,1716456767.615,1716456767.619,1000
0.003,1716456768.618,1716456768.621,1000
-0.003,1716456769.622,1716456769.619,1000
-0.003,1716456770.626,1716456770.623,1000
-0.000,1716456771.629,1716456771.629,1000
-0.000,1716456772.633,1716456772.633,1000
-0.001,1716456773.636,1716456773.635,1000
0.002,1716456774.640,1716456774.642,1000
0.005,1716456775.644,1716456775.649,1000
-0.002,1716456776.647,1716456776.645,1000
-0.003,1716456777.651,1716456777.648,1000
-0.003,1716456778.655,1716456778.652,1000
-0.005,1716456779.658,1716456779.653,1000
0.004,1716456780.662,1716456780.666,1000
0.004,1716456781.666,1716456781.670,1000
0.031,1716456782.669,1716456782.700,1000
-0.001,1716456783.673,1716456783.672,1000
0.028,1716456784.677,1716456784.705,1000
0.018,1716456785.680,1716456785.698,1000
0.004,1716456786.684,1716456786.688,1000
0.016,1716456787.687,1716456787.703,1000
-0.001,1716456788.691,1716456788.690,1000
0.000,1716456789.695,1716456789.695,1000
0.001,1716456790.698,1716456790.699,1000
