sender_id,sequence,receive_time
1,0,1717676303.043
1,1,1717676303.165
1,2,1717676304.377
1,3,1717676305.167
1,4,1717676306.178
1,5,1717676307.176
1,6,1717676308.176
1,7,1717676309.178
1,8,1717676310.182
1,9,1717676311.185
1,10,1717676312.982
1,11,1717676313.188
1,12,1717676314.188
1,13,1717676315.190
1,14,1717676316.195
1,15,1717676317.194
1,16,1717676318.202
1,17,1717676319.199
1,18,1717676320.201
1,19,1717676321.203
1,20,1717676322.417
1,21,1717676323.204
1,22,1717676324.204
1,23,1717676325.208
1,24,1717676326.212
1,25,1717676327.211
1,26,1717676328.215
1,27,1717676329.224
1,28,1717676330.464
1,29,1717676331.441
1,30,1717676332.226
1,31,1717676333.227
1,32,1717676334.444
1,33,1717676335.233
1,34,1717676336.668
1,35,1717676337.236
1,36,1717676338.241
1,37,1717676339.243
1,38,1717676340.243
1,39,1717676341.246
1,40,1717676342.250
1,41,1717676343.679
1,42,1717676344.251
1,43,1717676345.257
1,44,1717676346.260
1,45,1717676347.492
1,46,1717676348.260
1,47,1717676349.492
1,48,1717676350.516
1,49,1717676351.263
1,50,1717676352.720
1,51,1717676353.265
1,52,1717676354.271
1,53,1717676355.504
1,54,1717676356.737
1,55,1717676357.492
1,56,1717676358.282
1,57,1717676359.288
1,58,1717676360.291
1,59,1717676361.286
1,60,1717676362.325
1,61,1717676363.293
1,62,1717676364.292
1,63,1717676365.305
1,64,1717676366.301
1,65,1717676367.338
1,66,1717676368.296
1,67,1717676369.302
1,68,1717676370.308
1,69,1717676371.315
1,70,1717676372.322
1,71,1717676373.316
1,72,1717676374.336
1,73,1717676375.347
1,74,1717676376.353
1,75,1717676377.338
1,76,1717676378.318
1,77,1717676379.319
1,78,1717676380.323
1,79,1717676381.335
1,80,1717676382.330
1,81,1717676383.330
1,82,1717676384.335
1,83,1717676385.349
1,84,1717676386.342
1,85,1717676387.351
1,86,1717676388.342
1,87,1717676389.581
1,88,1717676390.345
1,89,1717676391.348
1,90,1717676392.593
1,91,1717676393.381
1,92,1717676394.397
1,93,1717676395.597
1,94,1717676396.367
1,95,1717676397.362
1,96,1717676398.380
1,97,1717676399.370
1,98,1717676400.370
1,99,1717676401.604
1,100,1717676402.376
1,101,1717676403.374
1,102,1717676404.376
1,103,1717676405.378
1,104,1717676406.388
1,105,1717676407.390
1,106,1717676408.606
1,107,1717676409.389
1,108,1717676410.390
1,109,1717676411.398
1,110,1717676412.394
1,111,1717676413.407
1,112,1717676414.401
1,113,1717676415.440
1,114,1717676416.635
1,115,1717676417.440
1,116,1717676418.409
1,117,1717676419.417
1,118,1717676420.441
1,119,1717676421.427
1,120,1717676422.420
1,121,1717676423.633
1,122,1717676424.419
1,123,1717676425.433
1,124,1717676426.869
1,125,1717676427.437
1,126,1717676428.433
1,127,1717676429.659
1,128,1717676431.135
1,129,1717676431.435
1,130,1717676432.434
1,131,1717676433.437
1,132,1717676434.438
1,133,1717676435.443
1,134,1717676436.445
1,135,1717676437.452
1,136,1717676438.447
1,137,1717676439.671
1,138,1717676440.451
1,139,1717676441.679
1,140,1717676442.456
1,141,1717676443.459
1,142,1717676444.680
1,143,1717676445.476
1,144,1717676446.484
1,145,1717676447.469
1,146,1717676448.467
1,147,1717676449.472
1,148,1717676450.472
1,149,1717676451.474
1,150,1717676452.476
1,151,1717676453.478
1,152,1717676454.481
1,153,1717676455.483
1,154,1717676456.487
1,155,1717676457.738
1,156,1717676458.490
1,157,1717676459.532
1,158,1717676460.512
1,159,1717676461.499
1,160,1717676462.717
1,161,1717676463.496
1,162,1717676464.536
1,163,1717676465.512
1,164,1717676466.515
1,165,1717676467.512
1,166,1717676468.516
1,167,1717676469.514
1,168,1717676470.519
1,169,1717676471.520
1,170,1717676472.521
1,171,1717676473.525
1,172,1717676474.528
1,173,1717676475.535
1,174,1717676476.532
1,175,1717676477.542
1,176,1717676478.534
1,177,1717676479.537
1,178,1717676480.540
1,179,1717676481.560
1,180,1717676482.777
1,181,1717676483.582
1,182,1717676484.577
1,183,1717676485.581
1,184,1717676486.588
1,185,1717676487.577
1,186,1717676488.555
1,187,1717676489.567
1,188,1717676490.559
1,189,1717676491.563
1,190,1717676492.786
1,191,1717676493.566
1,192,1717676494.568
1,193,1717676495.571
1,194,1717676496.573
1,195,1717676498.017
1,196,1717676498.577
1,197,1717676499.583
1,198,1717676500.580
1,199,1717676501.582
1,200,1717676502.617
1,201,1717676503.623
1,202,1717676504.844
1,203,1717676505.606
1,204,1717676506.600
1,205,1717676507.597
1,206,1717676508.832
1,207,1717676509.846
1,208,1717676510.627
1,209,1717676511.824
1,210,1717676512.607
1,211,1717676513.610
1,212,1717676514.834
1,213,1717676515.842
1,214,1717676516.619
1,215,1717676517.839
1,216,1717676518.624
1,217,1717676519.620
1,218,1717676520.627
1,219,1717676521.635
1,220,1717676522.633
1,221,1717676523.632
1,222,1717676524.872
1,223,1717676525.638
1,224,1717676526.644
1,225,1717676527.640
1,226,1717676528.866
1,227,1717676529.646
1,228,1717676530.649
1,229,1717676531.654
1,230,1717676532.660
1,231,1717676533.654
1,232,1717676534.657
1,233,1717676535.658
1,234,1717676536.661
1,235,1717676537.664
1,236,1717676538.668
1,237,1717676539.666
1,238,1717676540.671
1,239,1717676541.928
1,240,1717676543.059
1,241,1717676543.679
1,242,1717676544.678
1,243,1717676546.405
1,244,1717676546.733
1,245,1717676547.687
1,246,1717676548.688
1,247,1717676549.726
1,248,1717676550.692
1,249,1717676551.911
1,250,1717676552.695
1,251,1717676553.697
1,252,1717676554.698
1,253,1717676555.702
1,254,1717676556.707
1,255,1717676557.712
1,256,1717676558.709
1,257,1717676560.159
1,258,1717676560.712
1,259,1717676561.716
1,260,1717676562.942
1,261,1717676563.940
1,262,1717676564.724
1,263,1717676566.610
1,264,1717676566.739
1,265,1717676567.731
1,266,1717676568.731
1,267,1717676569.737
1,268,1717676570.738
1,269,1717676571.777
1,270,1717676572.974
1,271,1717676574.023
1,272,1717676574.752
1,273,1717676575.989
1,274,1717676576.997
1,275,1717676577.755
1,276,1717676578.756
1,277,1717676579.756
1,278,1717676580.765
1,279,1717676581.996
1,280,1717676582.768
1,281,1717676583.775
1,282,1717676584.768
1,283,1717676585.772
1,284,1717676586.987
1,285,1717676587.775
1,286,1717676588.781
1,287,1717676589.778
1,288,1717676590.781
1,289,1717676592.232
1,290,1717676593.006
1,291,1717676593.794
1,292,1717676594.790
1,293,1717676595.792
1,294,1717676596.801
1,295,1717676598.226
1,296,1717676598.794
1,297,1717676599.800
1,298,1717676600.807
1,299,1717676601.807
1,300,1717676602.811
1,301,1717676603.811
1,302,1717676604.817
1,303,1717676605.811
1,304,1717676606.821
1,305,1717676607.817
1,306,1717676608.819
1,307,1717676609.823
1,308,1717676610.822
1,309,1717676611.834
1,310,1717676612.827
1,311,1717676614.047
1,312,1717676614.840
1,313,1717676615.835
1,314,1717676616.848
1,315,1717676617.840
1,316,1717676618.840
1,317,1717676619.844
1,318,1717676620.846
1,319,1717676621.847
1,320,1717676622.853
1,321,1717676623.854
1,322,1717676624.859
1,323,1717676625.856
1,324,1717676626.862
1,325,1717676628.086
1,326,1717676629.095
1,327,1717676629.866
1,328,1717676631.091
1,329,1717676631.869
1,330,1717676632.877
1,331,1717676633.875
1,332,1717676634.876
1,333,1717676635.878
1,334,1717676636.880
1,335,1717676637.888
1,336,1717676638.887
1,337,1717676639.894
1,338,1717676640.892
1,339,1717676641.896
1,340,1717676642.893
1,341,1717676643.899
1,342,1717676644.898
1,343,1717676646.122
1,344,1717676647.129
1,345,1717676647.900
1,346,1717676648.906
1,347,1717676649.907
1,348,1717676650.911
1,349,1717676651.913
1,350,1717676653.347
1,351,1717676653.920
1,352,1717676654.923
1,353,1717676655.921
1,354,1717676656.926
1,355,1717676657.928
1,356,1717676658.932
1,357,1717676659.931
1,358,1717676660.933
1,359,1717676661.928
1,360,1717676663.274
1,361,1717676663.941
1,362,1717676664.945
1,363,1717676665.947
1,364,1717676666.947
1,365,1717676667.950
1,366,1717676668.952
1,367,1717676670.178
1,368,1717676670.958
1,369,1717676671.954
1,370,1717676672.965
1,371,1717676673.961
1,372,1717676674.965
1,373,1717676675.967
1,374,1717676676.969
1,375,1717676678.190
1,376,1717676678.973
1,377,1717676679.975
1,378,1717676680.984
1,379,1717676681.980
1,380,1717676682.987
1,381,1717676683.985
1,382,1717676684.987
1,383,1717676685.988
1,384,1717676687.211
1,385,1717676687.994
1,386,1717676688.997
1,387,1717676689.999
1,388,1717676691.002
1,389,1717676692.663
1,390,1717676693.005
1,391,1717676694.223
1,392,1717676695.013
1,393,1717676696.011
1,394,1717676697.011
1,395,1717676698.015
1,396,1717676699.239
1,397,1717676700.021
1,398,1717676701.024
1,399,1717676702.030
1,400,1717676703.024
1,401,1717676704.030
1,402,1717676705.029
1,403,1717676706.032
1,404,1717676707.032
1,405,1717676708.034
1,406,1717676709.276
1,407,1717676710.040
1,408,1717676711.043
1,409,1717676712.045
1,410,1717676713.046
1,411,1717676714.049
1,412,1717676715.050
1,413,1717676716.054
1,414,1717676717.053
1,415,1717676718.059
1,416,1717676719.059
1,417,1717676720.062
1,418,1717676721.292
1,419,1717676723.210
1,420,1717676723.494
1,421,1717676724.073
1,422,1717676725.804
1,423,1717676726.075
1,424,1717676727.078
1,425,1717676728.080
1,426,1717676729.304
1,427,1717676730.085
1,428,1717676731.087
1,429,1717676732.090
1,430,1717676733.091
1,431,1717676734.316
1,432,1717676735.097
1,433,1717676736.098
1,434,1717676737.105
1,435,1717676738.106
1,436,1717676739.103
1,437,1717676740.106
1,438,1717676741.110
1,439,1717676742.116
1,440,1717676743.335
1,441,1717676744.119
1,442,1717676745.120
1,443,1717676746.123
1,444,1717676747.123
1,445,1717676748.128
1,446,1717676749.128
1,447,1717676750.130
1,448,1717676751.137
1,449,1717676752.364
1,450,1717676753.138
1,451,1717676754.141
1,452,1717676755.144
1,453,1717676756.150
1,454,1717676757.147
1,455,1717676758.148
1,456,1717676759.146
1,457,1717676760.156
1,458,1717676761.154
1,459,1717676762.158
1,460,1717676763.386
1,461,1717676764.165
1,462,1717676765.164
1,463,1717676766.167
1,464,1717676767.182
1,465,1717676768.395
1,466,1717676769.174
1,467,1717676770.178
1,468,1717676771.181
1,469,1717676772.190
1,470,1717676773.185
1,471,1717676774.405
1,472,1717676775.189
1,473,1717676776.190
1,474,1717676777.193
1,475,1717676778.194
1,476,1717676779.418
1,477,1717676780.199
1,478,1717676781.210
1,479,1717676782.205
1,480,1717676783.211
1,481,1717676784.210
1,482,1717676785.212
1,483,1717676786.216
1,484,1717676787.217
1,485,1717676788.218
1,486,1717676789.223
1,487,1717676790.222
1,488,1717676791.226
1,489,1717676792.228
1,490,1717676793.229
1,491,1717676794.234
1,492,1717676795.235
1,493,1717676796.237
1,494,1717676797.244
1,495,1717676798.245
1,496,1717676799.245
1,497,1717676800.721
1,498,1717676801.250
1,499,1717676802.250
1,500,1717676803.253
1,501,1717676804.292
1,502,1717676805.258
1,503,1717676806.258
1,504,1717676807.256
1,505,1717676808.482
1,506,1717676809.266
1,507,1717676810.491
1,508,1717676811.269
1,509,1717676812.272
1,510,1717676813.271
1,511,1717676815.159
1,512,1717676815.530
1,513,1717676816.498
1,514,1717676817.283
1,515,1717676818.286
1,516,1717676819.308
1,517,1717676820.289
1,518,1717676821.522
1,519,1717676822.296
1,520,1717676823.522
1,521,1717676824.297
1,522,1717676825.303
1,523,1717676826.522
1,524,1717676827.300
1,525,1717676828.308
1,526,1717676829.534
1,527,1717676830.313
1,528,1717676831.313
1,529,1717676832.547
1,530,1717676833.325
1,531,1717676834.322
1,532,1717676835.320
1,533,1717676836.331
1,534,1717676837.329
1,535,1717676838.556
1,536,1717676839.555
1,537,1717676840.372
1,538,1717676841.339
1,539,1717676842.574
1,540,1717676843.379
1,541,1717676844.348
1,542,1717676845.383
1,543,1717676846.352
1,544,1717676847.353
1,545,1717676848.354
1,546,1717676849.359
1,547,1717676850.359
1,548,1717676851.368
1,549,1717676852.369
1,550,1717676853.367
1,551,1717676854.370
1,552,1717676855.808
1,553,1717676856.721
1,554,1717676857.377
1,555,1717676858.377
1,556,1717676859.391
1,557,1717676860.384
1,558,1717676861.386
1,559,1717676862.421
1,560,1717676863.388
1,561,1717676864.387
1,562,1717676865.394
1,563,1717676866.398
1,564,1717676867.399
1,565,1717676868.720
1,566,1717676869.404
1,567,1717676870.627
1,568,1717676871.625
1,569,1717676872.624
1,570,1717676873.408
1,571,1717676874.662
1,572,1717676875.632
1,573,1717676876.419
1,574,1717676877.436
1,575,1717676878.423
1,576,1717676879.703
1,577,1717676880.433
1,578,1717676881.657
1,579,1717676882.433
1,580,1717676883.434
1,581,1717676884.455
1,582,1717676885.665
1,583,1717676886.481
1,584,1717676887.445
1,585,1717676888.448
1,586,1717676889.444
1,587,1717676890.452
1,588,1717676891.452
1,589,1717676892.696
1,590,1717676893.457
1,591,1717676894.461
1,592,1717676895.465
1,593,1717676896.467
1,594,1717676897.470
1,595,1717676898.914
1,596,1717676899.472
1,597,1717676900.475
1,598,1717676901.475
1,599,1717676902.476
1,600,1717676903.480
1,601,1717676904.485
1,602,1717676905.720
1,603,1717676906.718
1,604,1717676907.532
1,605,1717676908.528
1,606,1717676909.508
1,607,1717676910.520
1,608,1717676911.500
1,609,1717676912.504
1,610,1717676913.503
1,611,1717676914.502
1,612,1717676915.736
1,613,1717676916.512
1,614,1717676917.508
1,615,1717676918.512
1,616,1717676919.742
1,617,1717676920.513
1,618,1717676921.516
1,619,1717676922.518
1,620,1717676923.747
1,621,1717676924.521
1,622,1717676925.536
1,623,1717676926.759
1,624,1717676927.528
1,625,1717676928.536
1,626,1717676929.559
1,627,1717676930.568
1,628,1717676931.534
1,629,1717676933.043
1,630,1717676933.538
1,631,1717676934.572
1,632,1717676935.554
1,633,1717676936.545
1,634,1717676937.552
1,635,1717676938.549
1,636,1717676939.564
1,637,1717676940.558
1,638,1717676941.564
1,639,1717676942.554
1,640,1717676943.553
1,641,1717676944.557
1,642,1717676945.578
1,643,1717676946.561
1,644,1717676947.825
1,645,1717676948.568
1,646,1717676949.574
1,647,1717676950.597
1,648,1717676951.829
1,649,1717676952.576
1,650,1717676953.577
1,651,1717676954.602
1,652,1717676955.805
1,653,1717676956.585
1,654,1717676957.644
1,655,1717676958.822
1,656,1717676959.590
1,657,1717676960.594
1,658,1717676961.597
1,659,1717676962.605
1,660,1717676963.602
1,661,1717676964.608
1,662,1717676965.606
1,663,1717676966.609
1,664,1717676967.614
1,665,1717676968.838
1,666,1717676969.846
1,667,1717676970.632
1,668,1717676971.624
1,669,1717676972.659
1,670,1717676973.653
1,671,1717676974.669
1,672,1717676975.630
1,673,1717676976.666
1,674,1717676977.638
1,675,1717676978.650
1,676,1717676979.677
1,677,1717676980.637
1,678,1717676981.885
1,679,1717676982.860
1,680,1717676983.649
1,681,1717676984.650
1,682,1717676986.098
1,683,1717676986.653
1,684,1717676987.658
1,685,1717676988.670
1,686,1717676989.658
1,687,1717676990.664
1,688,1717676991.668
1,689,1717676992.898
1,690,1717676993.669
1,691,1717676994.670
1,692,1717676995.671
1,693,1717676996.903
1,694,1717676997.676
1,695,1717676998.909
1,696,1717676999.677
1,697,1717677000.683
1,698,1717677001.682
1,699,1717677002.688
1,700,1717677003.685
1,701,1717677004.687
1,702,1717677005.691
1,703,1717677006.695
1,704,1717677007.697
1,705,1717677008.696
1,706,1717677009.699
1,707,1717677010.920
1,708,1717677011.707
1,709,1717677012.713
1,710,1717677013.708
1,711,1717677014.711
1,712,1717677015.712
1,713,1717677016.943
1,714,1717677017.937
1,715,1717677018.725
1,716,1717677019.727
1,717,1717677020.950
1,718,1717677021.724
1,719,1717677022.971
1,720,1717677023.733
1,721,1717677024.733
1,722,1717677025.735
1,723,1717677026.737
1,724,1717677027.955
1,725,1717677028.738
1,726,1717677029.742
1,727,1717677030.745
1,728,1717677031.743
1,729,1717677032.749
1,730,1717677033.751
1,731,1717677034.753
1,732,1717677035.759
1,733,1717677036.754
1,734,1717677037.757
1,735,1717677038.774
1,736,1717677039.780
1,737,1717677040.763
1,738,1717677042.437
1,739,1717677042.775
1,740,1717677043.770
1,741,1717677044.775
1,742,1717677046.002
1,743,1717677046.776
1,744,1717677047.779
1,745,1717677049.017
1,746,1717677049.781
1,747,1717677050.796
1,748,1717677051.787
1,749,1717677052.791
1,750,1717677053.794
1,751,1717677054.796
1,752,1717677055.797
1,753,1717677056.804
1,754,1717677057.811
1,755,1717677058.804
1,756,1717677059.807
1,757,1717677061.257
1,758,1717677062.027
1,759,1717677062.812
1,760,1717677063.818
1,761,1717677064.817
1,762,1717677066.035
1,763,1717677066.826
1,764,1717677067.822
1,765,1717677068.825
1,766,1717677069.827
1,767,1717677070.830
1,768,1717677071.835
1,769,1717677073.052
1,770,1717677073.838
1,771,1717677074.844
1,772,1717677075.842
1,773,1717677077.056
1,774,1717677077.849
1,775,1717677078.841
1,776,1717677079.847
1,777,1717677080.854
1,778,1717677082.073
1,779,1717677082.856
1,780,1717677084.078
1,781,1717677084.863
1,782,1717677085.864
1,783,1717677086.867
1,784,1717677087.865
1,785,1717677088.870
1,786,1717677089.874
1,787,1717677091.095
1,788,1717677091.879
1,789,1717677092.882
1,790,1717677093.884
1,791,1717677094.887
1,792,1717677095.890
1,793,1717677096.897
1,794,1717677097.894
1,795,1717677098.897
1,796,1717677099.899
1,797,1717677101.124
1,798,1717677102.136
1,799,1717677102.903
1,800,1717677103.910
1,801,1717677105.366
1,802,1717677105.909
1,803,1717677106.916
1,804,1717677107.920
1,805,1717677108.924
1,806,1717677109.921
1,807,1717677110.922
1,808,1717677111.925
1,809,1717677113.371
1,810,1717677113.930
1,811,1717677114.934
1,812,1717677116.178
1,813,1717677117.705
1,814,1717677117.940
1,815,1717677118.947
1,816,1717677119.947
1,817,1717677120.960
1,818,1717677121.951
1,819,1717677122.961
1,820,1717677123.952
1,821,1717677124.959
1,822,1717677126.917
1,823,1717677127.438
1,824,1717677127.965
1,825,1717677128.965
1,826,1717677130.426
1,827,1717677130.963
1,828,1717677131.972
1,829,1717677132.979
1,830,1717677134.203
1,831,1717677134.979
1,832,1717677135.980
1,833,1717677136.980
1,834,1717677138.340
1,835,1717677138.988
1,836,1717677139.992
1,837,1717677141.311
1,838,1717677141.993
1,839,1717677142.998
1,840,1717677143.994
1,841,1717677144.995
1,842,1717677146.225
1,843,1717677146.999
1,844,1717677148.257
1,845,1717677149.257
1,846,1717677150.005
1,847,1717677151.009
1,848,1717677152.442
1,849,1717677153.013
1,850,1717677154.013
1,851,1717677155.015
1,852,1717677156.020
1,853,1717677157.024
