delay,send_time,receive_time,data_length
0.193,1715857239.814,1715857240.007,1000
0.254,1715857240.819,1715857241.073,1000
0.023,1715857241.823,1715857241.846,1000
0.043,1715857242.826,1715857242.869,1000
0.023,1715857243.830,1715857243.853,1000
0.022,1715857244.834,1715857244.856,1000
0.018,1715857245.838,1715857245.856,1000
0.018,1715857246.842,1715857246.860,1000
0.018,1715857247.846,1715857247.864,1000
0.020,1715857248.849,1715857248.869,1000
0.020,1715857249.853,1715857249.873,1000
0.017,1715857250.857,1715857250.874,1000
0.034,1715857251.860,1715857251.894,1000
0.020,1715857252.864,1715857252.884,1000
0.018,1715857253.868,1715857253.886,1000
0.021,1715857254.871,1715857254.892,1000
0.018,1715857255.875,1715857255.893,1000
0.022,1715857256.879,1715857256.901,1000
0.017,1715857257.882,1715857257.899,1000
0.025,1715857258.886,1715857258.911,1000
0.020,1715857259.890,1715857259.910,1000
0.025,1715857260.893,1715857260.918,1000
0.025,1715857261.897,1715857261.922,1000
0.035,1715857262.901,1715857262.936,1000
0.031,1715857263.904,1715857263.935,1000
0.030,1715857264.908,1715857264.938,1000
0.019,1715857265.912,1715857265.931,1000
0.023,1715857266.915,1715857266.938,1000
0.026,1715857267.919,1715857267.945,1000
0.019,1715857268.922,1715857268.941,1000
0.020,1715857269.926,1715857269.946,1000
0.027,1715857270.930,1715857270.957,1000
0.241,1715857271.933,1715857272.174,1000
0.017,1715857272.937,1715857272.954,1000
0.021,1715857273.941,1715857273.962,1000
0.019,1715857274.944,1715857274.963,1000
0.018,1715857275.948,1715857275.966,1000
0.035,1715857276.952,1715857276.987,1000
0.018,1715857277.955,1715857277.973,1000
0.017,1715857278.959,1715857278.976,1000
0.019,1715857279.963,1715857279.982,1000
0.016,1715857280.966,1715857280.982,1000
0.237,1715857281.970,1715857282.207,1000
0.239,1715857282.973,1715857283.212,1000
0.237,1715857283.977,1715857284.214,1000
0.025,1715857284.981,1715857285.006,1000
0.229,1715857285.985,1715857286.214,1000
0.019,1715857286.988,1715857287.007,1000
0.019,1715857287.992,1715857288.011,1000
0.017,1715857288.996,1715857289.013,1000
0.017,1715857289.999,1715857290.016,1000
0.247,1715857291.003,1715857291.250,1000
0.018,1715857292.006,1715857292.024,1000
0.026,1715857293.010,1715857293.036,1000
0.030,1715857294.014,1715857294.044,1000
0.017,1715857295.017,1715857295.034,1000
0.021,1715857296.021,1715857296.042,1000
0.031,1715857297.025,1715857297.056,1000
0.017,1715857298.029,1715857298.046,1000
0.021,1715857299.032,1715857299.053,1000
0.022,1715857300.036,1715857300.058,1000
0.014,1715857301.040,1715857301.054,1000
0.019,1715857302.043,1715857302.062,1000
0.017,1715857303.047,1715857303.064,1000
0.016,1715857304.051,1715857304.067,1000
0.021,1715857305.054,1715857305.075,1000
0.019,1715857306.058,1715857306.077,1000
0.241,1715857307.062,1715857307.303,1000
0.017,1715857308.065,1715857308.082,1000
0.233,1715857309.069,1715857309.302,1000
0.020,1715857310.072,1715857310.092,1000
0.021,1715857311.076,1715857311.097,1000
0.230,1715857312.080,1715857312.310,1000
0.017,1715857313.083,1715857313.100,1000
0.019,1715857314.087,1715857314.106,1000
0.019,1715857315.091,1715857315.110,1000
0.017,1715857316.094,1715857316.111,1000
0.021,1715857317.098,1715857317.119,1000
0.018,1715857318.101,1715857318.119,1000
0.018,1715857319.105,1715857319.123,1000
0.019,1715857320.109,1715857320.128,1000
0.017,1715857321.112,1715857321.129,1000
0.018,1715857322.116,1715857322.134,1000
0.022,1715857323.120,1715857323.142,1000
0.020,1715857324.123,1715857324.143,1000
0.019,1715857325.127,1715857325.146,1000
0.016,1715857326.131,1715857326.147,1000
0.454,1715857327.134,1715857327.588,1000
0.016,1715857328.138,1715857328.154,1000
0.017,1715857329.142,1715857329.159,1000
0.021,1715857330.145,1715857330.166,1000
0.230,1715857331.149,1715857331.379,1000
0.018,1715857332.153,1715857332.171,1000
0.020,1715857333.156,1715857333.176,1000
0.233,1715857334.160,1715857334.393,1000
0.019,1715857335.163,1715857335.182,1000
0.016,1715857336.167,1715857336.183,1000
0.022,1715857337.171,1715857337.193,1000
0.016,1715857338.174,1715857338.190,1000
0.022,1715857339.178,1715857339.200,1000
0.021,1715857340.182,1715857340.203,1000
0.017,1715857341.185,1715857341.202,1000
0.024,1715857342.189,1715857342.213,1000
0.016,1715857343.193,1715857343.209,1000
0.019,1715857344.196,1715857344.215,1000
0.017,1715857345.200,1715857345.217,1000
0.022,1715857346.203,1715857346.225,1000
0.019,1715857347.207,1715857347.226,1000
0.017,1715857348.211,1715857348.228,1000
0.025,1715857349.214,1715857349.239,1000
0.018,1715857350.218,1715857350.236,1000
0.017,1715857351.222,1715857351.239,1000
0.019,1715857352.225,1715857352.244,1000
0.018,1715857353.229,1715857353.247,1000
0.022,1715857354.233,1715857354.255,1000
0.017,1715857355.236,1715857355.253,1000
0.018,1715857356.240,1715857356.258,1000
0.238,1715857357.244,1715857357.482,1000
0.244,1715857358.247,1715857358.491,1000
0.242,1715857359.251,1715857359.493,1000
0.018,1715857360.254,1715857360.272,1000
0.016,1715857361.258,1715857361.274,1000
0.235,1715857362.262,1715857362.497,1000
0.016,1715857363.266,1715857363.282,1000
0.021,1715857364.269,1715857364.290,1000
0.017,1715857365.273,1715857365.290,1000
0.021,1715857366.277,1715857366.298,1000
0.018,1715857367.281,1715857367.299,1000
0.027,1715857368.284,1715857368.311,1000
0.016,1715857369.288,1715857369.304,1000
0.024,1715857370.291,1715857370.315,1000
0.045,1715857371.295,1715857371.340,1000
0.022,1715857372.299,1715857372.321,1000
0.018,1715857373.302,1715857373.320,1000
0.018,1715857374.306,1715857374.324,1000
0.022,1715857375.310,1715857375.332,1000
0.236,1715857376.313,1715857376.549,1000
0.025,1715857377.317,1715857377.342,1000
0.157,1715857378.321,1715857378.478,1000
0.021,1715857379.324,1715857379.345,1000
0.021,1715857380.328,1715857380.349,1000
0.095,1715857381.332,1715857381.427,1000
0.112,1715857382.335,1715857382.447,1000
0.612,1715857383.339,1715857383.951,1000
0.021,1715857384.343,1715857384.364,1000
0.299,1715857385.346,1715857385.645,1000
0.257,1715857386.350,1715857386.607,1000
0.073,1715857387.354,1715857387.427,1000
0.020,1715857388.357,1715857388.377,1000
0.020,1715857389.361,1715857389.381,1000
0.259,1715857390.365,1715857390.624,1000
0.015,1715857391.368,1715857391.383,1000
0.021,1715857392.372,1715857392.393,1000
0.018,1715857393.376,1715857393.394,1000
0.099,1715857394.379,1715857394.478,1000
0.038,1715857395.383,1715857395.421,1000
0.266,1715857396.387,1715857396.653,1000
0.180,1715857397.390,1715857397.570,1000
0.266,1715857398.394,1715857398.660,1000
0.019,1715857399.398,1715857399.417,1000
0.023,1715857400.402,1715857400.425,1000
0.019,1715857401.405,1715857401.424,1000
0.016,1715857402.409,1715857402.425,1000
0.264,1715857403.413,1715857403.677,1000
0.019,1715857404.416,1715857404.435,1000
0.016,1715857405.420,1715857405.436,1000
0.020,1715857406.423,1715857406.443,1000
0.024,1715857407.427,1715857407.451,1000
0.030,1715857408.431,1715857408.461,1000
0.030,1715857409.434,1715857409.464,1000
0.023,1715857410.438,1715857410.461,1000
0.019,1715857411.442,1715857411.461,1000
0.029,1715857412.445,1715857412.474,1000
0.015,1715857413.449,1715857413.464,1000
0.017,1715857414.453,1715857414.470,1000
0.261,1715857415.456,1715857415.717,1000
0.283,1715857416.460,1715857416.743,1000
0.020,1715857417.463,1715857417.483,1000
0.017,1715857418.467,1715857418.484,1000
0.016,1715857419.471,1715857419.487,1000
0.014,1715857420.474,1715857420.488,1000
0.047,1715857421.478,1715857421.525,1000
0.359,1715857422.482,1715857422.841,1000
0.024,1715857423.485,1715857423.509,1000
0.028,1715857424.489,1715857424.517,1000
0.051,1715857425.493,1715857425.544,1000
0.017,1715857426.496,1715857426.513,1000
0.018,1715857427.500,1715857427.518,1000
0.203,1715857428.503,1715857428.706,1000
0.041,1715857429.507,1715857429.548,1000
0.339,1715857430.511,1715857430.850,1000
0.026,1715857431.514,1715857431.540,1000
0.447,1715857432.519,1715857432.966,1000
0.097,1715857433.523,1715857433.620,1000
0.017,1715857434.526,1715857434.543,1000
0.162,1715857435.530,1715857435.692,1000
0.078,1715857436.534,1715857436.612,1000
0.049,1715857437.537,1715857437.586,1000
1.071,1715857438.541,1715857439.612,1000
0.094,1715857439.545,1715857439.639,1000
0.037,1715857440.548,1715857440.585,1000
0.024,1715857441.552,1715857441.576,1000
0.101,1715857442.556,1715857442.657,1000
0.043,1715857443.559,1715857443.602,1000
0.047,1715857444.563,1715857444.610,1000
0.192,1715857445.566,1715857445.758,1000
0.050,1715857446.570,1715857446.620,1000
0.018,1715857447.574,1715857447.592,1000
0.399,1715857448.577,1715857448.976,1000
0.031,1715857449.581,1715857449.612,1000
0.377,1715857450.585,1715857450.962,1000
0.180,1715857451.588,1715857451.768,1000
0.123,1715857452.592,1715857452.715,1000
0.517,1715857453.596,1715857454.113,1000
0.027,1715857454.599,1715857454.626,1000
0.038,1715857455.603,1715857455.641,1000
