sender_id,sequence,rtt,send_time,ack_time
1,0,0.001,1717669021.608,1717669021.609
1,1,0.001,1717669022.610,1717669022.610
1,2,0.001,1717669023.611,1717669023.612
1,3,0.001,1717669024.613,1717669024.614
1,4,0.001,1717669025.615,1717669025.615
1,5,0.001,1717669026.616,1717669026.617
1,6,0.001,1717669027.618,1717669027.619
1,7,0.001,1717669028.621,1717669028.622
1,8,0.001,1717669029.623,1717669029.624
1,9,0.001,1717669030.625,1717669030.626
1,10,0.001,1717669031.627,1717669031.628
1,11,0.001,1717669032.630,1717669032.630
1,12,0.001,1717669033.632,1717669033.633
1,13,0.001,1717669034.634,1717669034.635
1,14,0.001,1717669035.636,1717669035.637
1,15,0.001,1717669036.638,1717669036.639
1,16,0.001,1717669037.641,1717669037.641
1,17,0.001,1717669038.643,1717669038.644
1,18,0.001,1717669039.645,1717669039.646
1,19,0.001,1717669040.648,1717669040.648
1,20,0.001,1717669041.650,1717669041.651
1,21,0.001,1717669042.652,1717669042.653
1,22,0.001,1717669043.654,1717669043.654
1,23,0.001,1717669044.655,1717669044.656
1,24,0.001,1717669045.657,1717669045.657
1,25,0.001,1717669046.658,1717669046.659
1,26,0.001,1717669047.660,1717669047.660
1,27,0.001,1717669048.662,1717669048.663
1,28,0.001,1717669049.664,1717669049.665
1,29,0.001,1717669050.667,1717669050.667
1,30,0.001,1717669051.669,1717669051.670
1,31,0.001,1717669052.671,1717669052.672
1,32,0.001,1717669053.673,1717669053.674
1,33,0.001,1717669054.676,1717669054.677
1,34,0.001,1717669055.678,1717669055.679
1,35,0.001,1717669056.680,1717669056.681
1,36,0.001,1717669057.682,1717669057.683
1,37,0.001,1717669058.684,1717669058.685
1,38,0.001,1717669059.686,1717669059.687
1,39,0.001,1717669060.688,1717669060.689
1,40,0.001,1717669061.690,1717669061.691
1,41,0.001,1717669062.692,1717669062.693
1,42,0.001,1717669063.694,1717669063.695
1,43,0.001,1717669064.696,1717669064.697
1,44,0.001,1717669065.698,1717669065.699
1,45,0.001,1717669066.700,1717669066.701
1,46,0.001,1717669067.702,1717669067.703
1,47,0.001,1717669068.704,1717669068.705
1,48,0.001,1717669069.707,1717669069.707
1,49,0.001,1717669070.708,1717669070.709
1,50,0.001,1717669071.710,1717669071.711
1,51,0.001,1717669072.712,1717669072.713
1,52,0.001,1717669073.715,1717669073.715
1,53,0.001,1717669074.717,1717669074.717
1,54,0.001,1717669075.719,1717669075.720
1,55,0.001,1717669076.722,1717669076.722
1,56,0.001,1717669077.724,1717669077.725
1,57,0.001,1717669078.726,1717669078.727
1,58,0.001,1717669079.728,1717669079.729
1,59,0.001,1717669080.730,1717669080.731
1,60,0.001,1717669081.732,1717669081.733
1,61,0.001,1717669082.734,1717669082.735
1,62,0.001,1717669083.736,1717669083.737
1,63,0.001,1717669084.738,1717669084.739
1,64,0.001,1717669085.740,1717669085.741
1,65,0.001,1717669086.742,1717669086.743
1,66,0.001,1717669087.745,1717669087.745
1,67,0.001,1717669088.747,1717669088.747
1,68,0.001,1717669089.749,1717669089.749
1,69,0.001,1717669090.751,1717669090.751
1,70,0.001,1717669091.753,1717669091.753
1,71,0.001,1717669092.755,1717669092.755
1,72,0.001,1717669093.757,1717669093.758
1,73,0.001,1717669094.759,1717669094.760
1,74,0.001,1717669095.761,1717669095.762
1,75,0.001,1717669096.763,1717669096.764
1,76,0.001,1717669097.765,1717669097.766
1,77,0.001,1717669098.768,1717669098.768
1,78,0.001,1717669099.770,1717669099.771
1,79,0.001,1717669100.772,1717669100.773
1,80,0.001,1717669101.774,1717669101.775
1,81,0.001,1717669102.777,1717669102.778
1,82,0.001,1717669103.779,1717669103.780
1,83,0.001,1717669104.782,1717669104.782
1,84,0.001,1717669105.784,1717669105.785
1,85,0.001,1717669106.787,1717669106.788
1,86,0.001,1717669107.789,1717669107.790
1,87,0.001,1717669108.791,1717669108.792
1,88,0.001,1717669109.794,1717669109.794
1,89,0.001,1717669110.796,1717669110.797
1,90,0.001,1717669111.798,1717669111.799
1,91,0.001,1717669112.800,1717669112.801
1,92,0.001,1717669113.803,1717669113.803
1,93,0.001,1717669114.805,1717669114.806
1,94,0.001,1717669115.807,1717669115.808
1,95,0.001,1717669116.810,1717669116.810
1,96,0.001,1717669117.812,1717669117.813
1,97,0.001,1717669118.814,1717669118.815
1,98,0.001,1717669119.817,1717669119.817
1,99,0.001,1717669120.819,1717669120.820
1,100,0.001,1717669121.821,1717669121.822
1,101,0.001,1717669122.823,1717669122.824
1,102,0.001,1717669123.826,1717669123.826
1,103,0.001,1717669124.828,1717669124.829
1,104,0.001,1717669125.830,1717669125.831
1,105,0.001,1717669126.833,1717669126.833
1,106,0.001,1717669127.835,1717669127.836
1,107,0.001,1717669128.838,1717669128.839
1,108,0.001,1717669129.840,1717669129.841
1,109,0.001,1717669130.842,1717669130.843
1,110,0.001,1717669131.845,1717669131.845
1,111,0.001,1717669132.847,1717669132.848
1,112,0.001,1717669133.849,1717669133.850
1,113,0.001,1717669134.852,1717669134.852
1,114,0.001,1717669135.854,1717669135.855
1,115,0.001,1717669136.856,1717669136.857
1,116,0.001,1717669137.859,1717669137.859
1,117,0.001,1717669138.861,1717669138.862
1,118,0.001,1717669139.863,1717669139.864
1,119,0.001,1717669140.865,1717669140.866
1,120,0.001,1717669141.867,1717669141.868
1,121,0.001,1717669142.869,1717669142.870
1,122,0.001,1717669143.872,1717669143.872
1,123,0.001,1717669144.873,1717669144.874
1,124,0.001,1717669145.876,1717669145.876
1,125,0.001,1717669146.878,1717669146.878
1,126,0.001,1717669147.880,1717669147.880
1,127,0.001,1717669148.882,1717669148.883
1,128,0.001,1717669149.884,1717669149.884
1,129,0.001,1717669150.886,1717669150.887
1,130,0.001,1717669151.888,1717669151.889
1,131,0.001,1717669152.890,1717669152.891
1,132,0.001,1717669153.892,1717669153.893
1,133,0.001,1717669154.894,1717669154.895
1,134,0.001,1717669155.896,1717669155.897
1,135,0.001,1717669156.898,1717669156.899
1,136,0.001,1717669157.900,1717669157.901
1,137,0.001,1717669158.902,1717669158.903
1,138,0.001,1717669159.904,1717669159.905
1,139,0.001,1717669160.906,1717669160.907
1,140,0.001,1717669161.908,1717669161.909
1,141,0.001,1717669162.910,1717669162.911
1,142,0.001,1717669163.912,1717669163.913
1,143,0.001,1717669164.915,1717669164.916
1,144,0.001,1717669165.917,1717669165.918
1,145,0.001,1717669166.919,1717669166.920
1,146,0.001,1717669167.921,1717669167.922
1,147,0.001,1717669168.923,1717669168.924
1,148,0.001,1717669169.925,1717669169.926
1,149,0.001,1717669170.928,1717669170.929
1,150,0.001,1717669171.930,1717669171.931
1,151,0.001,1717669172.932,1717669172.933
1,152,0.001,1717669173.934,1717669173.935
1,153,0.001,1717669174.936,1717669174.937
1,154,0.001,1717669175.939,1717669175.940
1,155,0.001,1717669176.941,1717669176.942
1,156,0.001,1717669177.943,1717669177.944
1,157,0.001,1717669178.946,1717669178.946
1,158,0.001,1717669179.947,1717669179.948
1,159,0.001,1717669180.950,1717669180.951
1,160,0.001,1717669181.952,1717669181.953
1,161,0.001,1717669182.954,1717669182.955
1,162,0.001,1717669183.957,1717669183.957
1,163,0.001,1717669184.959,1717669184.960
1,164,0.001,1717669185.961,1717669185.962
