sender_id,sequence,rtt,send_time,ack_time
1,0,0.000,1717676302.132,1717676302.133
1,1,0.000,1717676303.134,1717676303.134
1,2,0.000,1717676304.135,1717676304.136
1,3,0.001,1717676305.137,1717676305.138
1,4,0.001,1717676306.139,1717676306.139
1,5,0.001,1717676307.141,1717676307.142
1,6,0.001,1717676308.144,1717676308.144
1,7,0.001,1717676309.146,1717676309.147
1,8,0.001,1717676310.148,1717676310.149
1,9,0.001,1717676311.150,1717676311.151
1,10,0.001,1717676312.153,1717676312.153
1,11,0.001,1717676313.155,1717676313.155
1,12,0.001,1717676314.156,1717676314.157
1,13,0.001,1717676315.158,1717676315.159
1,14,0.001,1717676316.160,1717676316.161
1,15,0.001,1717676317.162,1717676317.163
1,16,0.001,1717676318.164,1717676318.165
1,17,0.001,1717676319.166,1717676319.167
1,18,0.001,1717676320.168,1717676320.169
1,19,0.001,1717676321.170,1717676321.171
1,20,0.001,1717676322.172,1717676322.173
1,21,0.001,1717676323.174,1717676323.175
1,22,0.001,1717676324.176,1717676324.176
1,23,0.001,1717676325.178,1717676325.178
1,24,0.001,1717676326.180,1717676326.181
1,25,0.001,1717676327.182,1717676327.183
1,26,0.001,1717676328.185,1717676328.185
1,27,0.001,1717676329.187,1717676329.187
1,28,0.001,1717676330.189,1717676330.190
1,29,0.001,1717676331.191,1717676331.192
1,30,0.001,1717676332.194,1717676332.194
1,31,0.001,1717676333.196,1717676333.197
1,32,0.001,1717676334.198,1717676334.199
1,33,0.001,1717676335.201,1717676335.201
1,34,0.001,1717676336.203,1717676336.204
1,35,0.001,1717676337.205,1717676337.206
1,36,0.001,1717676338.208,1717676338.208
1,37,0.001,1717676339.210,1717676339.211
1,38,0.001,1717676340.212,1717676340.213
1,39,0.001,1717676341.215,1717676341.215
1,40,0.001,1717676342.217,1717676342.218
1,41,0.001,1717676343.220,1717676343.220
1,42,0.001,1717676344.221,1717676344.222
1,43,0.001,1717676345.223,1717676345.224
1,44,0.001,1717676346.225,1717676346.226
1,45,0.001,1717676347.228,1717676347.228
1,46,0.001,1717676348.230,1717676348.230
1,47,0.001,1717676349.232,1717676349.232
1,48,0.001,1717676350.234,1717676350.234
1,49,0.001,1717676351.235,1717676351.236
1,50,0.001,1717676352.237,1717676352.238
1,51,0.001,1717676353.239,1717676353.240
1,52,0.001,1717676354.241,1717676354.242
1,53,0.001,1717676355.243,1717676355.244
1,54,0.001,1717676356.245,1717676356.246
1,55,0.001,1717676357.247,1717676357.247
1,56,0.001,1717676358.249,1717676358.249
1,57,0.001,1717676359.251,1717676359.251
1,58,0.001,1717676360.253,1717676360.253
1,59,0.001,1717676361.255,1717676361.255
1,60,0.001,1717676362.257,1717676362.258
1,61,0.001,1717676363.259,1717676363.259
1,62,0.001,1717676364.261,1717676364.262
1,63,0.001,1717676365.263,1717676365.263
1,64,0.001,1717676366.265,1717676366.265
1,65,0.001,1717676367.267,1717676367.267
1,66,0.001,1717676368.269,1717676368.269
1,67,0.001,1717676369.271,1717676369.271
1,68,0.001,1717676370.273,1717676370.273
1,69,0.001,1717676371.274,1717676371.275
1,70,0.001,1717676372.276,1717676372.277
1,71,0.001,1717676373.278,1717676373.279
1,72,0.001,1717676374.280,1717676374.281
1,73,0.001,1717676375.282,1717676375.283
1,74,0.001,1717676376.284,1717676376.285
1,75,0.001,1717676377.286,1717676377.287
1,76,0.001,1717676378.288,1717676378.289
1,77,0.001,1717676379.290,1717676379.291
1,78,0.001,1717676380.293,1717676380.294
1,79,0.001,1717676381.295,1717676381.296
1,80,0.001,1717676382.298,1717676382.298
1,81,0.001,1717676383.300,1717676383.301
1,82,0.001,1717676384.302,1717676384.303
1,83,0.001,1717676385.305,1717676385.305
1,84,0.001,1717676386.307,1717676386.308
1,85,0.001,1717676387.309,1717676387.310
1,86,0.001,1717676388.311,1717676388.312
1,87,0.001,1717676389.314,1717676389.314
1,88,0.001,1717676390.316,1717676390.316
1,89,0.001,1717676391.318,1717676391.319
1,90,0.001,1717676392.320,1717676392.321
1,91,0.001,1717676393.323,1717676393.323
1,92,0.001,1717676394.324,1717676394.325
1,93,0.001,1717676395.326,1717676395.327
1,94,0.001,1717676396.329,1717676396.329
1,95,0.001,1717676397.331,1717676397.332
1,96,0.001,1717676398.333,1717676398.334
1,97,0.001,1717676399.336,1717676399.336
1,98,0.001,1717676400.338,1717676400.338
1,99,0.001,1717676401.340,1717676401.340
1,100,0.001,1717676402.342,1717676402.342
1,101,0.001,1717676403.343,1717676403.344
1,102,0.001,1717676404.345,1717676404.346
1,103,0.001,1717676405.348,1717676405.348
1,104,0.001,1717676406.350,1717676406.350
1,105,0.001,1717676407.352,1717676407.352
1,106,0.001,1717676408.354,1717676408.355
1,107,0.001,1717676409.356,1717676409.357
1,108,0.001,1717676410.358,1717676410.359
1,109,0.001,1717676411.360,1717676411.361
1,110,0.001,1717676412.362,1717676412.363
1,111,0.001,1717676413.365,1717676413.365
1,112,0.001,1717676414.367,1717676414.367
1,113,0.001,1717676415.369,1717676415.369
1,114,0.001,1717676416.371,1717676416.371
1,115,0.001,1717676417.373,1717676417.374
1,116,0.001,1717676418.375,1717676418.375
1,117,0.001,1717676419.377,1717676419.378
1,118,0.001,1717676420.379,1717676420.379
1,119,0.001,1717676421.381,1717676421.381
1,120,0.001,1717676422.383,1717676422.384
1,121,0.001,1717676423.385,1717676423.386
1,122,0.001,1717676424.387,1717676424.388
1,123,0.001,1717676425.389,1717676425.390
1,124,0.001,1717676426.391,1717676426.391
1,125,0.001,1717676427.393,1717676427.393
1,126,0.001,1717676428.395,1717676428.395
1,127,0.001,1717676429.396,1717676429.397
1,128,0.001,1717676430.398,1717676430.399
1,129,0.001,1717676431.400,1717676431.401
1,130,0.001,1717676432.402,1717676432.403
1,131,0.001,1717676433.404,1717676433.405
1,132,0.001,1717676434.406,1717676434.407
1,133,0.001,1717676435.408,1717676435.409
1,134,0.001,1717676436.410,1717676436.411
1,135,0.001,1717676437.412,1717676437.413
1,136,0.001,1717676438.414,1717676438.415
1,137,0.001,1717676439.416,1717676439.417
1,138,0.001,1717676440.418,1717676440.418
1,139,0.001,1717676441.420,1717676441.420
1,140,0.001,1717676442.422,1717676442.422
1,141,0.001,1717676443.424,1717676443.424
1,142,0.001,1717676444.425,1717676444.426
1,143,0.001,1717676445.428,1717676445.428
1,144,0.001,1717676446.430,1717676446.430
1,145,0.001,1717676447.432,1717676447.433
1,146,0.001,1717676448.434,1717676448.435
1,147,0.001,1717676449.436,1717676449.437
1,148,0.001,1717676450.439,1717676450.439
1,149,0.001,1717676451.441,1717676451.441
1,150,0.001,1717676452.443,1717676452.443
1,151,0.001,1717676453.445,1717676453.446
1,152,0.001,1717676454.447,1717676454.448
1,153,0.001,1717676455.450,1717676455.450
1,154,0.001,1717676456.452,1717676456.452
1,155,0.001,1717676457.454,1717676457.455
1,156,0.001,1717676458.456,1717676458.457
1,157,0.001,1717676459.459,1717676459.459
1,158,0.001,1717676460.461,1717676460.462
1,159,0.001,1717676461.463,1717676461.464
1,160,0.001,1717676462.466,1717676462.466
1,161,0.001,1717676463.468,1717676463.468
1,162,0.001,1717676464.470,1717676464.470
1,163,0.001,1717676465.472,1717676465.473
1,164,0.001,1717676466.474,1717676466.475
1,165,0.001,1717676467.477,1717676467.477
1,166,0.001,1717676468.479,1717676468.480
1,167,0.001,1717676469.481,1717676469.482
1,168,0.001,1717676470.483,1717676470.484
1,169,0.001,1717676471.486,1717676471.486
1,170,0.001,1717676472.488,1717676472.489
1,171,0.001,1717676473.490,1717676473.491
1,172,0.001,1717676474.493,1717676474.493
1,173,0.001,1717676475.495,1717676475.495
1,174,0.001,1717676476.496,1717676476.497
1,175,0.001,1717676477.498,1717676477.499
1,176,0.001,1717676478.500,1717676478.501
1,177,0.001,1717676479.502,1717676479.503
1,178,0.001,1717676480.504,1717676480.505
