sender_id,sequence,ack_time
1,0,1717669021.686
1,1,1717669022.683
1,2,1717669023.700
1,3,1717669024.701
1,4,1717669025.699
1,5,1717669026.695
1,6,1717669027.701
1,7,1717669028.705
1,8,1717669029.705
1,9,1717669030.708
1,10,1717669031.708
1,11,1717669032.715
1,12,1717669033.715
1,13,1717669034.721
1,14,1717669035.734
1,15,1717669036.718
1,16,1717669037.725
1,17,1717669038.727
1,18,1717669039.734
1,19,1717669040.725
1,20,1717669041.737
1,21,1717669042.909
1,22,1717669044.038
1,23,1717669044.785
1,24,1717669045.777
1,25,1717669046.745
1,26,1717669047.737
1,27,1717669048.855
1,28,1717669050.100
1,29,1717669050.748
1,30,1717669051.757
1,31,1717669052.761
1,32,1717669053.753
1,33,1717669054.757
1,34,1717669055.759
1,35,1717669056.772
1,36,1717669057.761
1,37,1717669058.755
1,38,1717669059.771
1,39,1717669060.769
1,40,1717669061.772
1,41,1717669062.779
1,42,1717669063.777
1,43,1717669064.778
1,44,1717669065.779
1,45,1717669066.787
1,46,1717669067.789
1,47,1717669068.792
1,48,1717669069.793
1,49,1717669070.789
1,50,1717669071.797
1,51,1717669072.797
1,52,1717669073.797
1,53,1717669074.793
1,54,1717669075.800
1,55,1717669076.814
1,56,1717669077.807
1,57,1717669078.811
1,58,1717669079.807
1,59,1717669080.816
1,60,1717669081.813
1,61,1717669082.814
1,62,1717669083.815
1,63,1717669084.832
1,64,1717669085.822
1,65,1717669086.835
1,66,1717669087.825
1,67,1717669088.832
1,68,1717669089.833
1,69,1717669090.835
1,70,1717669091.834
1,71,1717669092.833
1,72,1717669093.837
1,73,1717669094.846
1,74,1717669095.842
1,75,1717669096.855
1,76,1717669097.851
1,77,1717669098.859
1,78,1717669099.848
1,79,1717669100.856
1,80,1717669101.854
1,81,1717669102.857
1,82,1717669103.867
1,83,1717669104.863
1,84,1717669105.862
1,85,1717669106.871
1,86,1717669107.872
1,87,1717669108.870
1,88,1717669109.878
1,89,1717669110.879
1,90,1717669111.875
1,91,1717669112.889
1,92,1717669113.890
1,93,1717669114.893
1,94,1717669115.891
1,95,1717669116.896
1,96,1717669117.887
1,97,1717669118.893
1,98,1717669119.898
1,99,1717669120.899
1,100,1717669121.905
1,101,1717669122.901
1,102,1717669123.910
1,103,1717669124.932
1,104,1717669125.911
1,105,1717669126.911
1,106,1717669127.920
1,107,1717669128.920
1,108,1717669129.920
1,109,1717669130.925
1,110,1717669131.920
1,111,1717669132.937
1,112,1717669133.932
1,113,1717669134.922
1,114,1717669135.958
1,115,1717669136.965
1,116,1717669137.935
1,117,1717669138.962
1,118,1717669139.943
1,119,1717669140.965
1,120,1717669141.946
1,121,1717669142.953
1,122,1717669143.953
1,123,1717669144.953
1,124,1717669145.962
1,125,1717669146.965
1,126,1717669147.962
1,127,1717669148.974
1,128,1717669149.978
1,129,1717669150.966
1,130,1717669151.968
1,131,1717669152.975
1,132,1717669154.031
1,133,1717669154.998
1,134,1717669155.983
1,135,1717669157.033
1,136,1717669158.027
1,137,1717669158.980
1,138,1717669159.994
1,139,1717669160.983
1,140,1717669161.983
1,141,1717669162.993
1,142,1717669164.003
1,143,1717669164.992
1,144,1717669166.004
1,145,1717669167.000
1,146,1717669168.012
1,147,1717669169.009
1,148,1717669170.009
1,149,1717669171.017
1,150,1717669172.021
1,151,1717669173.018
1,152,1717669174.018
1,153,1717669175.041
1,154,1717669176.034
1,155,1717669177.043
1,156,1717669178.052
1,157,1717669179.089
1,158,1717669180.072
1,159,1717669181.066
1,160,1717669182.054
1,161,1717669183.036
1,162,1717669184.032
1,163,1717669185.042
1,164,1717669186.028
1,165,1717669187.048
1,166,1717669188.054
1,167,1717669189.045
1,168,1717669190.053
1,169,1717669191.048
1,170,1717669192.059
1,171,1717669193.060
1,172,1717669194.063
1,173,1717669195.070
1,174,1717669196.069
1,175,1717669197.061
1,176,1717669198.066
1,177,1717669199.075
1,178,1717669200.067
1,179,1717669201.089
1,180,1717669202.074
1,181,1717669203.080
1,182,1717669204.083
1,183,1717669205.068
1,184,1717669206.081
1,185,1717669207.091
1,186,1717669208.094
1,187,1717669209.082
1,188,1717669210.096
1,189,1717669211.097
1,190,1717669212.096
1,191,1717669213.106
1,192,1717669214.123
1,193,1717669215.104
1,194,1717669216.109
1,195,1717669217.107
1,196,1717669218.108
1,197,1717669219.111
1,198,1717669220.115
1,199,1717669221.113
1,200,1717669222.124
1,201,1717669223.114
1,202,1717669224.121
1,203,1717669225.125
1,204,1717669226.122
1,205,1717669227.121
1,206,1717669228.132
1,207,1717669229.136
1,208,1717669230.143
1,209,1717669231.140
1,210,1717669232.147
1,211,1717669233.144
1,212,1717669234.150
1,213,1717669235.142
1,214,1717669236.143
1,215,1717669237.151
1,216,1717669238.148
1,217,1717669239.160
1,218,1717669240.158
1,219,1717669241.155
1,220,1717669242.162
1,221,1717669243.171
1,222,1717669244.169
1,223,1717669245.161
1,224,1717669246.176
1,225,1717669247.171
1,226,1717669248.195
1,227,1717669249.183
1,228,1717669250.177
1,229,1717669251.179
1,230,1717669252.191
1,231,1717669253.195
1,232,1717669254.186
1,233,1717669255.197
1,234,1717669256.202
1,235,1717669257.198
1,236,1717669258.204
1,237,1717669259.197
1,238,1717669260.203
1,239,1717669261.216
1,240,1717669262.214
1,241,1717669263.218
1,242,1717669264.220
1,243,1717669265.216
1,244,1717669266.239
1,245,1717669267.225
1,246,1717669268.220
1,247,1717669269.228
1,248,1717669270.229
1,249,1717669271.227
1,250,1717669272.233
1,251,1717669273.231
1,252,1717669274.236
1,253,1717669275.249
1,254,1717669276.240
1,255,1717669277.250
1,256,1717669278.247
1,257,1717669279.248
1,258,1717669280.257
1,259,1717669281.256
1,260,1717669282.249
1,261,1717669283.253
1,262,1717669284.258
1,263,1717669285.270
1,264,1717669286.265
1,265,1717669287.270
1,266,1717669288.263
1,267,1717669289.275
1,268,1717669290.264
1,269,1717669291.287
1,270,1717669292.272
1,271,1717669293.277
1,272,1717669294.279
