"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.110.183","192.168.110.71","TCP","74","36338  >  502 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=561522151 TSecr=0 WS=128"
"2","0.117220535","192.168.110.71","192.168.110.183","TCP","74","502  >  36338 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=4164225256 TSecr=561522151 WS=128"
"3","0.117349028","192.168.110.183","192.168.110.71","TCP","66","36338  >  502 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=561522268 TSecr=4164225256"
"4","0.117698778","192.168.110.183","192.168.110.71","Modbus/TCP","95","   Query: Trans: 16626; Unit:   1, Func:  16: Write Multiple Registers"
"5","0.122528137","192.168.110.71","192.168.110.183","TCP","66","502  >  36338 [ACK] Seq=1 Ack=30 Win=31872 Len=0 TSval=4164225264 TSecr=561522269"
"6","0.190505525","192.168.110.71","192.168.110.183","Modbus/TCP","78","Response: Trans: 16626; Unit:   1, Func:  16: Write Multiple Registers"
"7","0.190556151","192.168.110.183","192.168.110.71","TCP","66","36338  >  502 [ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=561522342 TSecr=4164225329"
"8","1.192184114","192.168.110.183","192.168.110.71","TCP","66","36338  >  502 [FIN, ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=561523343 TSecr=4164225329"
"9","1.192956896","192.168.110.183","192.168.110.71","TCP","74","36350  >  502 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=561523344 TSecr=0 WS=128"
"10","1.205463770","192.168.110.71","192.168.110.183","TCP","74","502  >  36350 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=4164226347 TSecr=561523344 WS=128"
"11","1.205595597","192.168.110.183","192.168.110.71","TCP","66","36350  >  502 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=561523357 TSecr=4164226347"
"12","1.205811332","192.168.110.183","192.168.110.71","Modbus/TCP","95","   Query: Trans: 14826; Unit:   1, Func:  16: Write Multiple Registers"
"13","1.212998988","192.168.110.71","192.168.110.183","TCP","66","502  >  36350 [ACK] Seq=1 Ack=30 Win=31872 Len=0 TSval=4164226355 TSecr=561523357"
"14","1.215365255","192.168.110.71","192.168.110.183","TCP","66","502  >  36338 [FIN, ACK] Seq=13 Ack=31 Win=31872 Len=0 TSval=4164226357 TSecr=561523343"
"15","1.215413381","192.168.110.183","192.168.110.71","TCP","66","36338  >  502 [ACK] Seq=31 Ack=14 Win=32128 Len=0 TSval=561523366 TSecr=4164226357"
"16","1.275341840","192.168.110.71","192.168.110.183","Modbus/TCP","78","Response: Trans: 14826; Unit:   1, Func:  16: Write Multiple Registers"
"17","1.275390747","192.168.110.183","192.168.110.71","TCP","66","36350  >  502 [ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=561523426 TSecr=4164226417"
"18","2.276810861","192.168.110.183","192.168.110.71","TCP","66","36350  >  502 [FIN, ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=561524428 TSecr=4164226417"
"19","2.277669584","192.168.110.183","192.168.110.71","TCP","74","36356  >  502 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=561524429 TSecr=0 WS=128"
"20","2.289753633","192.168.110.71","192.168.110.183","TCP","74","502  >  36356 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=4164227431 TSecr=561524429 WS=128"
"21","2.289867282","192.168.110.183","192.168.110.71","TCP","66","36356  >  502 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=561524441 TSecr=4164227431"
"22","2.290077757","192.168.110.183","192.168.110.71","Modbus/TCP","95","   Query: Trans: 21107; Unit:   1, Func:  16: Write Multiple Registers"
"23","2.300798432","192.168.110.71","192.168.110.183","TCP","66","502  >  36350 [FIN, ACK] Seq=13 Ack=31 Win=31872 Len=0 TSval=4164227442 TSecr=561524428"
"24","2.300857705","192.168.110.183","192.168.110.71","TCP","66","36350  >  502 [ACK] Seq=31 Ack=14 Win=32128 Len=0 TSval=561524452 TSecr=4164227442"
"25","2.301005157","192.168.110.71","192.168.110.183","TCP","66","502  >  36356 [ACK] Seq=1 Ack=30 Win=31872 Len=0 TSval=4164227443 TSecr=561524441"
"26","2.361681711","192.168.110.71","192.168.110.183","Modbus/TCP","78","Response: Trans: 21107; Unit:   1, Func:  16: Write Multiple Registers"
"27","2.361731921","192.168.110.183","192.168.110.71","TCP","66","36356  >  502 [ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=561524513 TSecr=4164227496"
"28","3.363097576","192.168.110.183","192.168.110.71","TCP","66","36356  >  502 [FIN, ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=561525514 TSecr=4164227496"
"29","3.363849993","192.168.110.183","192.168.110.71","TCP","74","59192  >  502 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=561525515 TSecr=0 WS=128"
"30","3.376517601","192.168.110.71","192.168.110.183","TCP","74","502  >  59192 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=4164228518 TSecr=561525515 WS=128"
"31","3.376624948","192.168.110.183","192.168.110.71","TCP","66","59192  >  502 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=561525528 TSecr=4164228518"
"32","3.376849486","192.168.110.183","192.168.110.71","Modbus/TCP","95","   Query: Trans: 45796; Unit:   1, Func:  16: Write Multiple Registers"
"33","3.384978524","192.168.110.71","192.168.110.183","TCP","66","502  >  59192 [ACK] Seq=1 Ack=30 Win=31872 Len=0 TSval=4164228523 TSecr=561525528"
"34","3.386603051","192.168.110.71","192.168.110.183","TCP","66","502  >  36356 [FIN, ACK] Seq=13 Ack=31 Win=31872 Len=0 TSval=4164228529 TSecr=561525514"
"35","3.386658417","192.168.110.183","192.168.110.71","TCP","66","36356  >  502 [ACK] Seq=31 Ack=14 Win=32128 Len=0 TSval=561525538 TSecr=4164228529"
"36","3.474905930","192.168.110.71","192.168.110.183","Modbus/TCP","78","Response: Trans: 45796; Unit:   1, Func:  16: Write Multiple Registers"
"37","3.474968379","192.168.110.183","192.168.110.71","TCP","66","59192  >  502 [ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=561525626 TSecr=4164228613"
"38","4.476494374","192.168.110.183","192.168.110.71","TCP","66","59192  >  502 [FIN, ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=561526627 TSecr=4164228613"
"39","4.477347523","192.168.110.183","192.168.110.71","TCP","74","59198  >  502 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=561526628 TSecr=0 WS=128"
"40","4.492321344","192.168.110.71","192.168.110.183","TCP","74","502  >  59198 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=4164229634 TSecr=561526628 WS=128"
"41","4.492438692","192.168.110.183","192.168.110.71","TCP","66","59198  >  502 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=561526643 TSecr=4164229634"
"42","4.492700574","192.168.110.183","192.168.110.71","Modbus/TCP","95","   Query: Trans: 45191; Unit:   1, Func:  16: Write Multiple Registers"
"43","4.500667420","192.168.110.71","192.168.110.183","TCP","66","502  >  59198 [ACK] Seq=1 Ack=30 Win=31872 Len=0 TSval=4164229642 TSecr=561526644"
"44","4.503123117","192.168.110.71","192.168.110.183","TCP","66","502  >  59192 [FIN, ACK] Seq=13 Ack=31 Win=31872 Len=0 TSval=4164229644 TSecr=561526627"
"45","4.503171243","192.168.110.183","192.168.110.71","TCP","66","59192  >  502 [ACK] Seq=31 Ack=14 Win=32128 Len=0 TSval=561526654 TSecr=4164229644"
"46","4.530659803","192.168.110.71","192.168.110.183","Modbus/TCP","78","Response: Trans: 45191; Unit:   1, Func:  16: Write Multiple Registers"
"47","4.530704857","192.168.110.183","192.168.110.71","TCP","66","59198  >  502 [ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=561526682 TSecr=4164229673"
"48","5.532166235","192.168.110.183","192.168.110.71","TCP","66","59198  >  502 [FIN, ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=561527683 TSecr=4164229673"
"49","5.532993082","192.168.110.183","192.168.110.71","TCP","74","59208  >  502 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=561527684 TSecr=0 WS=128"
"50","5.545650273","192.168.110.71","192.168.110.183","TCP","74","502  >  59208 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=4164230687 TSecr=561527684 WS=128"
"51","5.545769287","192.168.110.183","192.168.110.71","TCP","66","59208  >  502 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=561527697 TSecr=4164230687"
"52","5.546028565","192.168.110.183","192.168.110.71","Modbus/TCP","95","   Query: Trans: 47369; Unit:   1, Func:  16: Write Multiple Registers"
"53","5.551625760","192.168.110.71","192.168.110.183","TCP","66","502  >  59208 [ACK] Seq=1 Ack=30 Win=31872 Len=0 TSval=4164230693 TSecr=561527697"
"54","5.556822161","192.168.110.71","192.168.110.183","TCP","66","502  >  59198 [FIN, ACK] Seq=13 Ack=31 Win=31872 Len=0 TSval=4164230697 TSecr=561527683"
