delay,send_time,receive_time
0.135,1716217140.078,1716217140.213
0.018,1716217141.284,1716217141.302
0.007,1716217142.368,1716217142.376
0.044,1716217143.455,1716217143.498
0.004,1716217144.568,1716217144.572
0.008,1716217145.624,1716217145.631
0.011,1716217146.698,1716217146.709
0.016,1716217147.781,1716217147.797
0.016,1716217148.862,1716217148.878
-0.001,1716217149.948,1716217149.947
0.000,1716217151.012,1716217151.012
0.026,1716217152.079,1716217152.105
0.022,1716217153.167,1716217153.189
0.001,1716217154.264,1716217154.265
-0.009,1716217155.335,1716217155.326
0.026,1716217156.401,1716217156.427
0.016,1716217157.499,1716217157.515
0.035,1716217158.591,1716217158.626
0.013,1716217159.698,1716217159.712
0.010,1716217160.779,1716217160.789
-0.009,1716217161.851,1716217161.842
0.011,1716217162.913,1716217162.924
0.007,1716217164.003,1716217164.009
0.012,1716217165.075,1716217165.086
-0.008,1716217166.163,1716217166.156
0.027,1716217167.218,1716217167.245
0.012,1716217168.317,1716217168.329
0.030,1716217169.406,1716217169.436
0.021,1716217170.508,1716217170.529
0.025,1716217171.597,1716217171.622
0.036,1716217172.688,1716217172.724
0.021,1716217173.795,1716217173.816
-0.005,1716217174.885,1716217174.880
0.007,1716217175.984,1716217175.991
0.000,1716217177.062,1716217177.062
-0.009,1716217178.315,1716217178.306
-0.004,1716217179.368,1716217179.364
0.005,1716217180.428,1716217180.433
0.005,1716217181.500,1716217181.505
0.010,1716217182.573,1716217182.583
-0.002,1716217183.649,1716217183.647
-0.005,1716217184.713,1716217184.708
-0.010,1716217185.779,1716217185.769
0.002,1716217186.838,1716217186.840
0.002,1716217187.917,1716217187.919
0.027,1716217188.983,1716217189.010
-0.006,1716217190.078,1716217190.072
0.010,1716217191.146,1716217191.156
0.009,1716217192.228,1716217192.237
0.005,1716217193.306,1716217193.311
0.022,1716217194.379,1716217194.401
0.009,1716217195.468,1716217195.477
-0.005,1716217196.549,1716217196.544
0.005,1716217197.627,1716217197.632
0.037,1716217198.701,1716217198.738
0.024,1716217199.806,1716217199.830
0.025,1716217200.903,1716217200.928
0.112,1716217202.002,1716217202.114
0.030,1716217203.182,1716217203.211
-0.011,1716217204.284,1716217204.274
-0.006,1716217205.337,1716217205.331
-0.009,1716217206.411,1716217206.402
-0.001,1716217207.475,1716217207.473
0.007,1716217208.545,1716217208.552
0.004,1716217209.635,1716217209.639
0.001,1716217210.703,1716217210.704
0.004,1716217211.769,1716217211.772
0.013,1716217212.848,1716217212.860
0.024,1716217213.933,1716217213.957
0.016,1716217215.025,1716217215.041
0.032,1716217216.111,1716217216.143
0.006,1716217217.216,1716217217.223
0.003,1716217218.295,1716217218.298
0.008,1716217219.371,1716217219.379
-0.015,1716217220.452,1716217220.437
-0.007,1716217221.497,1716217221.490
0.003,1716217222.558,1716217222.561
0.013,1716217223.656,1716217223.669
-0.000,1716217224.742,1716217224.742
0.008,1716217225.814,1716217225.822
0.025,1716217226.895,1716217226.921
0.004,1716217228.004,1716217228.008
0.008,1716217229.081,1716217229.089
0.004,1716217230.154,1716217230.158
0.002,1716217231.226,1716217231.228
-0.008,1716217232.310,1716217232.302
-0.007,1716217233.376,1716217233.368
-0.015,1716217234.450,1716217234.435
0.018,1716217235.517,1716217235.534
0.008,1716217236.610,1716217236.618
0.003,1716217237.687,1716217237.690
0.014,1716217238.763,1716217238.777
-0.012,1716217239.859,1716217239.847
0.023,1716217240.919,1716217240.942
-0.003,1716217242.010,1716217242.007
-0.003,1716217243.089,1716217243.085
-0.013,1716217244.164,1716217244.151
0.042,1716217245.234,1716217245.276
0.018,1716217246.347,1716217246.365
0.013,1716217247.437,1716217247.450
0.002,1716217248.530,1716217248.533
0.084,1716217249.602,1716217249.686
0.015,1716217250.763,1716217250.777
0.000,1716217251.848,1716217251.849
0.018,1716217252.921,1716217252.939
0.010,1716217254.010,1716217254.020
-0.003,1716217255.094,1716217255.091
0.005,1716217256.172,1716217256.178
-0.020,1716217257.244,1716217257.224
0.015,1716217258.290,1716217258.305
0.005,1716217259.376,1716217259.381
-0.005,1716217260.457,1716217260.452
0.001,1716217261.528,1716217261.528
0.004,1716217262.606,1716217262.609
-0.020,1716217263.688,1716217263.668
-0.005,1716217264.739,1716217264.734
0.005,1716217265.806,1716217265.810
0.005,1716217266.892,1716217266.897
-0.006,1716217267.969,1716217267.962
-0.006,1716217269.044,1716217269.038
0.015,1716217270.115,1716217270.130
0.005,1716217271.201,1716217271.206
0.005,1716217272.279,1716217272.285
0.014,1716217273.351,1716217273.366
0.005,1716217274.432,1716217274.437
-0.010,1716217275.513,1716217275.503
-0.011,1716217276.580,1716217276.569
-0.006,1716217277.641,1716217277.634
0.014,1716217278.716,1716217278.731
-0.006,1716217279.802,1716217279.796
0.010,1716217280.868,1716217280.878
0.001,1716217281.953,1716217281.954
-0.003,1716217283.028,1716217283.025
-0.022,1716217284.092,1716217284.070
0.010,1716217285.152,1716217285.162
0.003,1716217286.239,1716217286.242
-0.012,1716217287.310,1716217287.298
-0.004,1716217288.374,1716217288.369
0.001,1716217289.442,1716217289.443
-0.014,1716217290.521,1716217290.508
0.004,1716217291.580,1716217291.584
-0.002,1716217292.661,1716217292.659
-0.009,1716217293.743,1716217293.734
0.014,1716217294.822,1716217294.836
-0.012,1716217295.904,1716217295.892
-0.023,1716217296.973,1716217296.949
0.017,1716217298.029,1716217298.046
-0.006,1716217299.119,1716217299.113
0.001,1716217300.193,1716217300.195
-0.004,1716217301.273,1716217301.270
-0.018,1716217302.348,1716217302.330
0.013,1716217303.414,1716217303.427
-0.008,1716217304.505,1716217304.498
0.003,1716217305.566,1716217305.569
-0.012,1716217306.642,1716217306.630
-0.009,1716217307.709,1716217307.700
-0.017,1716217308.784,1716217308.766
0.045,1716217309.845,1716217309.890
-0.012,1716217310.968,1716217310.956
-0.012,1716217312.026,1716217312.015
0.002,1716217313.130,1716217313.132
-0.024,1716217314.212,1716217314.188
-0.018,1716217315.262,1716217315.244
-0.008,1716217316.317,1716217316.310
0.028,1716217317.374,1716217317.402
-0.006,1716217318.486,1716217318.480
-0.003,1716217319.554,1716217319.551
-0.004,1716217320.639,1716217320.635
0.012,1716217321.714,1716217321.726
0.009,1716217322.804,1716217322.813
0.011,1716217323.888,1716217323.899
-0.013,1716217324.983,1716217324.970
-0.013,1716217326.044,1716217326.031
-0.013,1716217327.105,1716217327.092
-0.008,1716217328.167,1716217328.158
-0.019,1716217329.233,1716217329.215
0.002,1716217330.283,1716217330.285
0.007,1716217331.354,1716217331.361
-0.009,1716217332.441,1716217332.432
0.003,1716217333.514,1716217333.517
-0.008,1716217334.600,1716217334.592
-0.018,1716217335.666,1716217335.648
-0.004,1716217336.732,1716217336.728
0.002,1716217337.802,1716217337.804
-0.007,1716217338.884,1716217338.877
-0.023,1716217339.961,1716217339.938
0.002,1716217341.007,1716217341.009
-0.019,1716217342.084,1716217342.065
0.009,1716217343.146,1716217343.155
0.002,1716217344.234,1716217344.236
-0.011,1716217345.310,1716217345.300
-0.020,1716217346.370,1716217346.350
0.016,1716217347.430,1716217347.446
-0.014,1716217348.524,1716217348.511
-0.010,1716217349.597,1716217349.587
-0.004,1716217350.667,1716217350.663
-0.008,1716217351.732,1716217351.724
-0.012,1716217352.807,1716217352.796
-0.004,1716217353.875,1716217353.872
0.016,1716217354.941,1716217354.957
-0.009,1716217356.032,1716217356.023
-0.004,1716217357.108,1716217357.104
0.020,1716217358.181,1716217358.201
-0.015,1716217359.277,1716217359.262
0.021,1716217360.344,1716217360.364
-0.003,1716217361.445,1716217361.442
-0.009,1716217362.522,1716217362.513
-0.019,1716217363.575,1716217363.556
-0.004,1716217364.641,1716217364.637
0.005,1716217365.718,1716217365.723
-0.015,1716217366.799,1716217366.784
-0.015,1716217367.866,1716217367.852
0.020,1716217368.941,1716217368.960
-0.010,1716217370.036,1716217370.026
-0.024,1716217371.113,1716217371.088
-0.026,1716217372.160,1716217372.134
-0.010,1716217373.215,1716217373.205
0.002,1716217374.286,1716217374.288
-0.000,1716217375.359,1716217375.359
0.006,1716217376.434,1716217376.440
-0.015,1716217377.521,1716217377.506
-0.014,1716217378.582,1716217378.569
-0.003,1716217379.654,1716217379.650
-0.013,1716217380.741,1716217380.727
-0.005,1716217381.804,1716217381.798
-0.012,1716217382.876,1716217382.864
-0.007,1716217383.942,1716217383.935
-0.011,1716217385.025,1716217385.014
-0.015,1716217386.090,1716217386.075
-0.002,1716217387.163,1716217387.161
-0.007,1716217388.239,1716217388.232
-0.010,1716217389.313,1716217389.303
0.005,1716217390.390,1716217390.395
0.002,1716217391.471,1716217391.473
0.004,1716217392.555,1716217392.559
-0.009,1716217393.618,1716217393.609
0.010,1716217394.688,1716217394.698
0.009,1716217395.781,1716217395.790
-0.007,1716217396.873,1716217396.866
-0.006,1716217397.942,1716217397.937
-0.019,1716217399.027,1716217399.008
0.005,1716217400.102,1716217400.107
-0.011,1716217401.189,1716217401.178
-0.012,1716217402.260,1716217402.248
-0.001,1716217403.330,1716217403.329
-0.013,1716217404.406,1716217404.392
0.006,1716217405.475,1716217405.481
0.000,1716217406.559,1716217406.559
-0.012,1716217407.642,1716217407.630
0.021,1716217408.707,1716217408.728
-0.006,1716217409.800,1716217409.794
-0.013,1716217410.871,1716217410.858
-0.012,1716217411.941,1716217411.929
0.004,1716217413.006,1716217413.010
-0.011,1716217414.097,1716217414.086
0.001,1716217415.163,1716217415.163
-0.021,1716217416.240,1716217416.219
-0.019,1716217417.301,1716217417.282
-0.003,1716217418.371,1716217418.368
-0.009,1716217419.449,1716217419.440
0.007,1716217420.517,1716217420.524
-0.004,1716217421.604,1716217421.600
-0.002,1716217422.677,1716217422.676
-0.008,1716217423.757,1716217423.749
-0.012,1716217424.833,1716217424.821
-0.027,1716217425.909,1716217425.882
-0.017,1716217426.965,1716217426.948
0.011,1716217428.033,1716217428.044
-0.013,1716217429.127,1716217429.114
0.012,1716217430.198,1716217430.210
-0.009,1716217431.291,1716217431.281
-0.002,1716217432.369,1716217432.367
-0.010,1716217433.445,1716217433.435
-0.026,1716217434.516,1716217434.490
0.006,1716217435.579,1716217435.586
0.003,1716217436.663,1716217436.665
0.001,1716217437.746,1716217437.747
-0.013,1716217438.833,1716217438.821
-0.016,1716217439.902,1716217439.886
0.004,1716217440.977,1716217440.981
0.043,1716217442.081,1716217442.124
0.020,1716217443.205,1716217443.225
-0.010,1716217444.321,1716217444.310
0.001,1716217445.402,1716217445.404
0.046,1716217446.484,1716217446.529
0.010,1716217447.608,1716217447.619
-0.004,1716217448.702,1716217448.698
-0.006,1716217449.787,1716217449.781
