delay,send_time,receive_time
0.258,1715862281.181,1715862281.439
0.042,1715862282.470,1715862282.512
0.042,1715862283.545,1715862283.586
0.041,1715862284.614,1715862284.655
0.056,1715862285.687,1715862285.743
0.048,1715862286.768,1715862286.816
0.056,1715862288.064,1715862288.121
0.037,1715862289.154,1715862289.191
1.071,1715862290.231,1715862291.302
0.041,1715862292.332,1715862292.372
0.061,1715862293.399,1715862293.461
0.042,1715862294.488,1715862294.530
0.066,1715862295.564,1715862295.630
0.259,1715862297.116,1715862297.375
0.262,1715862298.406,1715862298.668
0.042,1715862299.698,1715862299.741
0.301,1715862300.774,1715862301.075
0.071,1715862302.102,1715862302.173
0.051,1715862303.208,1715862303.259
0.049,1715862304.512,1715862304.561
0.046,1715862305.592,1715862305.638
0.052,1715862306.668,1715862306.720
0.072,1715862307.747,1715862307.818
0.061,1715862308.843,1715862308.905
0.070,1715862309.935,1715862310.005
0.036,1715862311.042,1715862311.078
0.032,1715862312.105,1715862312.137
0.050,1715862313.173,1715862313.222
0.037,1715862314.254,1715862314.291
0.265,1715862315.323,1715862315.587
0.269,1715862316.620,1715862316.889
0.047,1715862317.919,1715862317.966
0.050,1715862318.998,1715862319.048
0.066,1715862320.079,1715862320.145
3.654,1715862321.170,1715862324.824
3.687,1715862325.854,1715862329.540
0.037,1715862330.570,1715862330.607
1.037,1715862331.629,1715862332.666
0.045,1715862333.699,1715862333.744
0.058,1715862334.782,1715862334.840
0.038,1715862336.092,1715862336.129
0.059,1715862337.160,1715862337.219
0.045,1715862338.249,1715862338.294
0.271,1715862339.324,1715862339.595
0.051,1715862341.075,1715862341.127
0.059,1715862342.158,1715862342.217
0.037,1715862343.241,1715862343.279
0.031,1715862344.309,1715862344.340
0.045,1715862345.367,1715862345.412
0.270,1715862346.443,1715862346.713
1.062,1715862347.748,1715862348.810
0.041,1715862349.845,1715862349.886
0.269,1715862351.136,1715862351.405
0.608,1715862352.435,1715862353.043
0.048,1715862354.069,1715862354.117
0.044,1715862355.147,1715862355.191
0.053,1715862356.217,1715862356.270
0.062,1715862357.312,1715862357.374
0.052,1715862358.403,1715862358.455
1.072,1715862359.481,1715862360.553
0.285,1715862361.577,1715862361.862
1.048,1715862363.624,1715862364.672
3.569,1715862365.696,1715862369.266
0.036,1715862370.301,1715862370.337
0.046,1715862371.376,1715862371.422
0.042,1715862372.680,1715862372.721
0.271,1715862373.761,1715862374.032
1.038,1715862375.053,1715862376.091
0.050,1715862377.127,1715862377.176
0.048,1715862378.205,1715862378.252
0.285,1715862379.279,1715862379.563
0.264,1715862380.588,1715862380.851
1.070,1715862382.099,1715862383.169
0.036,1715862384.202,1715862384.238
0.037,1715862385.262,1715862385.299
0.047,1715862386.325,1715862386.372
1.051,1715862387.407,1715862388.458
0.062,1715862389.494,1715862389.556
0.042,1715862390.811,1715862390.853
0.037,1715862391.888,1715862391.924
1.057,1715862392.968,1715862394.026
1.059,1715862395.058,1715862396.117
0.046,1715862397.141,1715862397.187
0.036,1715862398.214,1715862398.250
0.039,1715862399.271,1715862399.310
0.288,1715862400.347,1715862400.635
0.053,1715862401.671,1715862401.724
0.045,1715862402.755,1715862402.800
0.073,1715862403.824,1715862403.897
0.032,1715862404.926,1715862404.958
0.053,1715862406.208,1715862406.261
0.037,1715862407.504,1715862407.541
0.026,1715862408.575,1715862408.601
1.060,1715862409.632,1715862410.692
0.047,1715862411.945,1715862411.992
0.265,1715862413.239,1715862413.504
0.043,1715862414.532,1715862414.575
0.043,1715862415.609,1715862415.652
0.263,1715862416.684,1715862416.947
0.067,1715862417.984,1715862418.051
0.042,1715862419.075,1715862419.117
0.048,1715862420.149,1715862420.196
0.068,1715862421.443,1715862421.511
2.074,1715862422.545,1715862424.619
0.044,1715862425.653,1715862425.697
0.057,1715862426.734,1715862426.791
0.036,1715862427.820,1715862427.856
0.047,1715862428.896,1715862428.942
0.037,1715862429.966,1715862430.003
0.037,1715862431.033,1715862431.070
1.068,1715862432.109,1715862433.177
1.042,1715862434.208,1715862435.250
0.033,1715862436.281,1715862436.313
0.067,1715862437.575,1715862437.642
0.053,1715862438.672,1715862438.725
0.053,1715862439.975,1715862440.028
1.042,1715862441.057,1715862442.099
2.091,1715862443.127,1715862445.218
0.050,1715862446.249,1715862446.300
0.057,1715862447.329,1715862447.386
1.076,1715862448.411,1715862449.488
3.537,1715862450.518,1715862454.055
0.279,1715862455.089,1715862455.368
0.038,1715862456.397,1715862456.435
0.038,1715862457.464,1715862457.502
0.055,1715862458.530,1715862458.584
2.075,1715862459.622,1715862461.697
0.048,1715862462.726,1715862462.773
0.043,1715862463.802,1715862463.845
0.274,1715862465.106,1715862465.379
2.807,1715862466.408,1715862469.215
0.052,1715862470.249,1715862470.301
0.062,1715862471.547,1715862471.609
0.053,1715862472.848,1715862472.901
0.257,1715862473.930,1715862474.187
0.044,1715862475.216,1715862475.260
0.053,1715862476.302,1715862476.355
0.044,1715862477.388,1715862477.432
0.052,1715862478.466,1715862478.518
1.102,1715862479.543,1715862480.646
0.047,1715862481.900,1715862481.947
2.074,1715862482.984,1715862485.057
0.058,1715862486.086,1715862486.144
0.037,1715862487.173,1715862487.210
0.044,1715862488.240,1715862488.284
0.058,1715862489.312,1715862489.370
0.049,1715862490.393,1715862490.443
0.037,1715862491.469,1715862491.506
0.057,1715862492.540,1715862492.597
1.058,1715862493.630,1715862494.688
0.048,1715862495.725,1715862495.773
0.028,1715862496.807,1715862496.835
0.066,1715862498.080,1715862498.145
1.053,1715862499.394,1715862500.447
1.055,1715862501.484,1715862502.540
0.076,1715862503.561,1715862503.636
1.049,1715862504.665,1715862505.714
0.055,1715862506.981,1715862507.035
0.070,1715862508.059,1715862508.128
0.057,1715862509.382,1715862509.438
1.049,1715862510.467,1715862511.516
0.063,1715862512.545,1715862512.608
0.040,1715862513.636,1715862513.676
0.033,1715862514.705,1715862514.738
0.038,1715862515.759,1715862515.797
0.040,1715862517.262,1715862517.302
0.048,1715862518.330,1715862518.378
0.269,1715862519.417,1715862519.686
0.260,1715862520.720,1715862520.980
0.041,1715862522.009,1715862522.050
0.056,1715862523.078,1715862523.134
2.068,1715862524.174,1715862526.242
0.053,1715862527.281,1715862527.334
0.060,1715862528.363,1715862528.423
0.052,1715862529.439,1715862529.491
0.048,1715862530.526,1715862530.573
3.550,1715862531.605,1715862535.156
0.063,1715862536.190,1715862536.252
0.046,1715862537.278,1715862537.324
0.044,1715862538.362,1715862538.406
0.050,1715862539.427,1715862539.477
0.058,1715862540.505,1715862540.563
0.300,1715862541.589,1715862541.888
0.061,1715862542.922,1715862542.982
0.048,1715862544.012,1715862544.061
0.044,1715862545.086,1715862545.130
1.080,1715862546.163,1715862547.243
0.053,1715862548.266,1715862548.319
1.056,1715862549.353,1715862550.409
0.047,1715862551.436,1715862551.483
2.068,1715862552.740,1715862554.808
0.054,1715862555.833,1715862555.887
0.054,1715862556.915,1715862556.969
0.048,1715862558.002,1715862558.051
0.060,1715862559.089,1715862559.149
1.071,1715862560.179,1715862561.250
0.272,1715862562.273,1715862562.545
0.073,1715862563.573,1715862563.646
0.039,1715862564.669,1715862564.708
0.054,1715862565.746,1715862565.800
0.058,1715862566.825,1715862566.884
0.033,1715862568.130,1715862568.163
0.060,1715862569.197,1715862569.257
0.042,1715862570.285,1715862570.328
0.055,1715862571.356,1715862571.411
1.064,1715862572.436,1715862573.500
0.040,1715862574.533,1715862574.573
0.039,1715862575.601,1715862575.639
0.067,1715862576.668,1715862576.735
0.053,1715862577.767,1715862577.820
0.054,1715862578.857,1715862578.911
0.055,1715862579.948,1715862580.003
1.115,1715862581.027,1715862582.142
0.045,1715862583.175,1715862583.220
0.068,1715862584.251,1715862584.320
0.053,1715862585.340,1715862585.393
4.033,1715862586.421,1715862590.454
0.263,1715862591.497,1715862591.760
1.041,1715862592.783,1715862593.824
0.264,1715862594.866,1715862595.129
0.056,1715862596.158,1715862596.214
