sender_id,sequence,rtt,send_time,ack_time
1,0,0.256,1717960045.698, 1717960045.954
1,1,0.145,1717960046.955, 1717960047.100
1,2,0.137,1717960048.101, 1717960048.239
1,3,0.148,1717960049.240, 1717960049.388
1,4,0.121,1717960050.390, 1717960050.511
1,5,0.130,1717960051.512, 1717960051.642
1,6,0.155,1717960052.643, 1717960052.799
1,7,0.165,1717960053.800, 1717960053.965
1,8,0.148,1717960054.966, 1717960055.114
1,9,0.119,1717960056.116, 1717960056.235
1,10,0.119,1717960057.236, 1717960057.355
1,11,0.113,1717960058.356, 1717960058.469
1,12,0.124,1717960059.470, 1717960059.595
1,13,0.126,1717960060.596, 1717960060.722
1,14,0.140,1717960061.723, 1717960061.863
1,15,0.129,1717960062.864, 1717960062.993
1,16,0.132,1717960063.994, 1717960064.126
1,17,0.140,1717960065.127, 1717960065.267
1,18,0.153,1717960066.268, 1717960066.421
1,19,0.139,1717960067.423, 1717960067.562
1,20,0.123,1717960068.563, 1717960068.686
1,21,0.151,1717960069.687, 1717960069.838
1,22,0.155,1717960070.839, 1717960070.994
1,23,0.148,1717960071.996, 1717960072.143
1,24,0.136,1717960073.144, 1717960073.280
1,25,0.124,1717960074.281, 1717960074.405
1,26,0.144,1717960075.406, 1717960075.550
1,27,0.137,1717960076.552, 1717960076.689
1,28,0.168,1717960077.690, 1717960077.858
1,29,0.202,1717960078.859, 1717960079.061
1,30,0.143,1717960080.063, 1717960080.206
1,31,0.138,1717960081.208, 1717960081.346
1,32,0.147,1717960082.347, 1717960082.494
1,33,0.147,1717960083.496, 1717960083.643
1,34,0.144,1717960084.644, 1717960084.788
1,35,0.164,1717960085.789, 1717960085.953
1,36,0.152,1717960086.955, 1717960087.107
1,37,0.153,1717960088.108, 1717960088.261
1,38,0.156,1717960089.262, 1717960089.417
1,39,0.145,1717960090.419, 1717960090.564
1,40,0.137,1717960091.565, 1717960091.701
1,41,0.154,1717960092.703, 1717960092.857
1,42,0.115,1717960093.858, 1717960093.974
1,43,0.137,1717960094.975, 1717960095.111
1,44,0.143,1717960096.112, 1717960096.256
1,45,0.150,1717960097.257, 1717960097.406
1,46,0.157,1717960098.407, 1717960098.564
1,47,0.162,1717960099.566, 1717960099.728
1,48,0.138,1717960100.729, 1717960100.866
1,49,0.124,1717960101.867, 1717960101.992
1,50,0.070,1717960102.993, 1717960103.063
1,51,0.118,1717960104.064, 1717960104.182
1,52,0.144,1717960105.184, 1717960105.327
1,53,0.130,1717960106.329, 1717960106.459
1,54,0.162,1717960107.460, 1717960107.622
1,55,0.107,1717960108.624, 1717960108.731
1,56,0.104,1717960109.732, 1717960109.836
1,57,0.121,1717960110.837, 1717960110.958
1,58,0.126,1717960111.960, 1717960112.086
1,59,0.130,1717960113.087, 1717960113.217
1,60,0.129,1717960114.218, 1717960114.347
1,61,0.155,1717960115.349, 1717960115.504
1,62,0.147,1717960116.505, 1717960116.652
1,63,0.121,1717960117.654, 1717960117.774
1,64,0.146,1717960118.775, 1717960118.922
1,65,0.114,1717960119.923, 1717960120.038
1,66,0.136,1717960121.039, 1717960121.174
1,67,0.137,1717960122.176, 1717960122.313
1,68,0.152,1717960123.314, 1717960123.465
1,69,0.144,1717960124.467, 1717960124.610
1,70,0.160,1717960125.612, 1717960125.771
1,71,0.125,1717960126.772, 1717960126.897
1,72,0.120,1717960127.898, 1717960128.018
1,73,0.139,1717960129.019, 1717960129.158
1,74,0.145,1717960130.160, 1717960130.305
1,75,0.098,1717960131.306, 1717960131.404
1,76,0.113,1717960132.405, 1717960132.519
1,77,0.138,1717960133.520, 1717960133.658
1,78,0.149,1717960134.659, 1717960134.808
1,79,0.140,1717960135.809, 1717960135.949
1,80,0.134,1717960136.950, 1717960137.085
1,81,0.137,1717960138.086, 1717960138.223
1,82,0.105,1717960139.225, 1717960139.329
1,83,0.122,1717960140.330, 1717960140.452
1,84,0.135,1717960141.454, 1717960141.588
1,85,0.138,1717960142.590, 1717960142.727
1,86,0.132,1717960143.729, 1717960143.861
1,87,0.128,1717960144.862, 1717960144.991
1,88,0.139,1717960145.992, 1717960146.131
1,89,0.200,1717960147.132, 1717960147.332
1,90,0.233,1717960148.334, 1717960148.566
1,91,0.138,1717960149.567, 1717960149.706
1,92,0.346,1717960150.707, 1717960151.053
1,93,0.381,1717960152.054, 1717960152.435
1,94,0.164,1717960153.437, 1717960153.601
1,95,0.154,1717960154.602, 1717960154.756
1,96,0.148,1717960155.757, 1717960155.905
1,97,0.152,1717960156.906, 1717960157.059
1,98,0.157,1717960158.060, 1717960158.217
1,99,0.142,1717960159.218, 1717960159.360
1,100,0.124,1717960160.361, 1717960160.485
1,101,0.115,1717960161.486, 1717960161.601
1,102,0.128,1717960162.602, 1717960162.730
1,103,0.129,1717960163.731, 1717960163.860
1,104,0.129,1717960164.861, 1717960164.990
1,105,0.148,1717960165.991, 1717960166.140
1,106,0.138,1717960167.141, 1717960167.279
1,107,0.141,1717960168.280, 1717960168.421
1,108,0.113,1717960169.422, 1717960169.535
1,109,0.141,1717960170.536, 1717960170.677
1,110,0.132,1717960171.678, 1717960171.810
1,111,0.124,1717960172.811, 1717960172.935
1,112,0.122,1717960173.936, 1717960174.059
1,113,0.106,1717960175.060, 1717960175.166
1,114,0.158,1717960176.168, 1717960176.326
1,115,0.156,1717960177.327, 1717960177.482
1,116,0.152,1717960178.484, 1717960178.636
1,117,0.132,1717960179.638, 1717960179.770
1,118,0.125,1717960180.771, 1717960180.897
1,119,0.131,1717960181.898, 1717960182.029
1,120,0.123,1717960183.030, 1717960183.154
1,121,0.149,1717960184.155, 1717960184.304
1,122,0.134,1717960185.305, 1717960185.439
1,123,0.138,1717960186.440, 1717960186.578
1,124,0.138,1717960187.579, 1717960187.718
1,125,0.129,1717960188.719, 1717960188.848
1,126,0.140,1717960189.850, 1717960189.990
1,127,0.157,1717960190.991, 1717960191.148
