sender_id,sequence,rtt,send_time,ack_time
1,0,0.315,1717961963.229, 1717961963.544
1,1,1.227,1717961964.545, 1717961965.772
1,2,0.366,1717961966.773, 1717961967.139
1,3,0.121,1717961968.141, 1717961968.262
1,4,0.350,1717961969.263, 1717961969.613
1,5,0.161,1717961970.615, 1717961970.776
1,6,0.365,1717961971.777, 1717961972.142
1,7,2.164,1717961973.143, 1717961975.307
1,8,0.589,1717961976.308, 1717961976.897
1,9,0.147,1717961977.898, 1717961978.045
1,10,0.154,1717961979.046, 1717961979.200
1,11,0.128,1717961980.201, 1717961980.329
1,12,0.144,1717961981.330, 1717961981.475
1,13,0.385,1717961982.476, 1717961982.861
1,14,0.146,1717961983.862, 1717961984.008
1,15,0.127,1717961985.009, 1717961985.136
1,16,0.130,1717961986.137, 1717961986.267
1,17,0.124,1717961987.268, 1717961987.393
1,18,1.371,1717961988.394, 1717961989.765
1,19,1.139,1717961990.766, 1717961991.905
1,20,1.391,1717961992.906, 1717961994.298
1,21,0.133,1717961995.299, 1717961995.432
1,22,0.134,1717961996.433, 1717961996.567
1,23,3.195,1717961997.568, 1717962000.763
1,24,0.353,1717962001.764, 1717962002.118
1,25,0.139,1717962003.119, 1717962003.258
1,26,0.561,1717962004.259, 1717962004.820
1,27,1.384,1717962005.821, 1717962007.205
1,28,0.127,1717962008.206, 1717962008.333
1,29,0.092,1717962009.334, 1717962009.426
1,30,0.143,1717962010.428, 1717962010.571
1,31,1.136,1717962011.572, 1717962012.708
1,32,0.131,1717962013.710, 1717962013.840
1,33,0.363,1717962014.842, 1717962015.204
1,34,2.386,1717962016.206, 1717962018.592
1,35,0.104,1717962019.593, 1717962019.697
1,36,0.365,1717962020.698, 1717962021.063
1,37,2.169,1717962022.064, 1717962024.234
1,38,1.124,1717962025.235, 1717962026.359
1,39,1.119,1717962027.360, 1717962028.479
1,40,0.153,1717962029.480, 1717962029.633
1,41,0.136,1717962030.634, 1717962030.771
1,42,0.143,1717962031.772, 1717962031.914
1,43,0.136,1717962032.915, 1717962033.051
1,44,0.150,1717962034.052, 1717962034.202
1,45,0.134,1717962035.203, 1717962035.337
1,46,0.135,1717962036.338, 1717962036.473
1,47,1.144,1717962037.474, 1717962038.618
1,48,0.140,1717962039.619, 1717962039.759
1,49,1.156,1717962040.761, 1717962041.917
1,50,2.421,1717962042.918, 1717962045.339
1,51,1.362,1717962046.340, 1717962047.702
1,52,0.613,1717962048.704, 1717962049.317
1,53,1.611,1717962050.319, 1717962051.930
1,54,0.150,1717962052.932, 1717962053.081
1,55,0.138,1717962054.083, 1717962054.221
1,56,0.143,1717962055.222, 1717962055.366
1,57,1.395,1717962056.367, 1717962057.762
1,58,0.373,1717962058.764, 1717962059.137
1,59,0.159,1717962060.138, 1717962060.298
1,60,0.161,1717962061.299, 1717962061.460
1,61,0.157,1717962062.461, 1717962062.618
1,62,1.170,1717962063.619, 1717962064.789
1,63,1.162,1717962065.790, 1717962066.953
1,64,0.160,1717962067.954, 1717962068.114
1,65,0.146,1717962069.115, 1717962069.261
1,66,0.565,1717962070.262, 1717962070.827
1,67,0.140,1717962071.828, 1717962071.969
1,68,0.147,1717962072.970, 1717962073.117
1,69,0.366,1717962074.118, 1717962074.484
1,70,1.371,1717962075.485, 1717962076.856
1,71,0.393,1717962077.857, 1717962078.250
1,72,1.134,1717962079.252, 1717962080.386
1,73,1.171,1717962081.387, 1717962082.558
1,74,0.120,1717962083.559, 1717962083.679
1,75,0.130,1717962084.680, 1717962084.810
1,76,1.145,1717962085.811, 1717962086.956
1,77,0.364,1717962087.957, 1717962088.321
1,78,1.382,1717962089.322, 1717962090.704
1,79,0.155,1717962091.706, 1717962091.861
1,80,1.155,1717962092.863, 1717962094.018
1,81,0.122,1717962095.019, 1717962095.142
1,82,1.154,1717962096.143, 1717962097.296
1,83,2.142,1717962098.297, 1717962100.440
1,84,2.198,1717962101.441, 1717962103.639
1,85,0.350,1717962104.640, 1717962104.990
1,86,1.167,1717962105.991, 1717962107.158
1,87,1.155,1717962108.159, 1717962109.314
1,88,0.366,1717962110.315, 1717962110.681
1,89,0.134,1717962111.682, 1717962111.816
1,90,1.184,1717962112.817, 1717962114.002
1,91,0.117,1717962115.003, 1717962115.120
1,92,0.135,1717962116.121, 1717962116.256
1,93,0.130,1717962117.257, 1717962117.387
1,94,1.157,1717962118.388, 1717962119.545
1,95,0.135,1717962120.547, 1717962120.681
1,96,0.628,1717962121.683, 1717962122.310
1,97,0.371,1717962123.311, 1717962123.682
1,98,0.353,1717962124.683, 1717962125.036
1,99,1.141,1717962126.037, 1717962127.178
1,100,0.135,1717962128.179, 1717962128.314
1,101,0.350,1717962129.315, 1717962129.665
1,102,1.378,1717962130.666, 1717962132.044
1,103,1.373,1717962133.045, 1717962134.418
1,104,0.125,1717962135.419, 1717962135.544
1,105,6.878,1717962136.545, 1717962143.422
1,106,0.142,1717962144.424, 1717962144.565
1,107,0.138,1717962145.566, 1717962145.704
1,108,0.146,1717962146.705, 1717962146.851
1,109,1.140,1717962147.852, 1717962148.993
1,110,1.135,1717962149.994, 1717962151.129
1,111,0.122,1717962152.131, 1717962152.253
1,112,0.354,1717962153.254, 1717962153.608
1,113,0.131,1717962154.610, 1717962154.740
1,114,0.132,1717962155.741, 1717962155.873
1,115,0.131,1717962156.875, 1717962157.006
1,116,0.127,1717962158.007, 1717962158.134
1,117,3.586,1717962159.135, 1717962162.721
1,118,1.129,1717962163.722, 1717962164.851
1,119,0.112,1717962165.853, 1717962165.965
1,120,4.357,1717962166.966, 1717962171.323
1,121,0.573,1717962172.324, 1717962172.897
1,122,0.134,1717962173.898, 1717962174.032
1,123,0.119,1717962175.033, 1717962175.153
1,124,0.351,1717962176.154, 1717962176.505
1,125,0.158,1717962177.506, 1717962177.664
1,126,3.393,1717962178.665, 1717962182.058
1,127,2.137,1717962183.060, 1717962185.198
1,128,3.892,1717962186.199, 1717962190.091
1,129,0.121,1717962191.092, 1717962191.213
1,130,0.122,1717962192.214, 1717962192.336
1,131,0.571,1717962193.337, 1717962193.908
1,132,0.146,1717962194.910, 1717962195.055
1,133,1.594,1717962196.057, 1717962197.650
1,134,0.130,1717962198.652, 1717962198.782
1,135,0.147,1717962199.783, 1717962199.930
1,136,0.132,1717962200.931, 1717962201.062
1,137,2.397,1717962202.064, 1717962204.461
1,138,2.146,1717962205.462, 1717962207.608
1,139,0.126,1717962208.610, 1717962208.736
1,140,0.572,1717962209.737, 1717962210.310
1,141,0.138,1717962211.311, 1717962211.449
1,142,0.344,1717962212.450, 1717962212.794
1,143,0.122,1717962213.796, 1717962213.918
1,144,0.137,1717962214.919, 1717962215.056
1,145,0.377,1717962216.057, 1717962216.433
1,146,0.139,1717962217.435, 1717962217.574
1,147,0.141,1717962218.575, 1717962218.716
1,148,1.138,1717962219.717, 1717962220.856
1,149,0.137,1717962221.857, 1717962221.994
1,150,2.154,1717962222.995, 1717962225.150
1,151,1.121,1717962226.151, 1717962227.272
1,152,0.116,1717962228.274, 1717962228.389
1,153,2.151,1717962229.390, 1717962231.541
1,154,0.121,1717962232.542, 1717962232.663
1,155,0.136,1717962233.695, 1717962233.831
1,156,0.138,1717962234.832, 1717962234.971
1,157,0.141,1717962235.972, 1717962236.113
1,158,1.823,1717962237.114, 1717962238.937
1,159,0.338,1717962239.938, 1717962240.277
1,160,1.134,1717962241.278, 1717962242.412
1,161,0.133,1717962243.413, 1717962243.546
1,162,2.216,1717962244.547, 1717962246.763
1,163,1.168,1717962247.764, 1717962248.932
