sender_id,sequence,ack_time
1,0,1717960045.916
1,1,1717960047.057
1,2,1717960048.183
1,3,1717960049.345
1,4,1717960050.456
1,5,1717960051.598
1,6,1717960052.758
1,7,1717960053.918
1,8,1717960055.073
1,9,1717960056.188
1,10,1717960057.312
1,11,1717960058.431
1,12,1717960059.548
1,13,1717960060.681
1,14,1717960061.821
1,15,1717960062.947
1,16,1717960064.076
1,17,1717960065.214
1,18,1717960066.383
1,19,1717960067.509
1,20,1717960068.648
1,21,1717960069.794
1,22,1717960070.943
1,23,1717960072.098
1,24,1717960073.237
1,25,1717960074.361
1,26,1717960075.503
1,27,1717960076.645
1,28,1717960077.797
1,29,1717960078.954
1,30,1717960080.156
1,31,1717960081.306
1,32,1717960082.444
1,33,1717960083.602
1,34,1717960084.738
1,35,1717960085.900
1,36,1717960087.058
1,37,1717960088.217
1,38,1717960089.362
1,39,1717960090.522
1,40,1717960091.653
1,41,1717960092.798
1,42,1717960093.935
1,43,1717960095.074
1,44,1717960096.210
1,45,1717960097.363
1,46,1717960098.514
1,47,1717960099.682
1,48,1717960100.826
1,49,1717960101.949
1,50,1717960103.050
1,51,1717960104.149
1,52,1717960105.276
1,53,1717960106.411
1,54,1717960107.565
1,55,1717960108.692
1,56,1717960109.792
1,57,1717960110.914
1,58,1717960112.038
1,59,1717960113.174
1,60,1717960114.300
1,61,1717960115.455
1,62,1717960116.600
1,63,1717960117.736
1,64,1717960118.872
1,65,1717960120.000
1,66,1717960121.126
1,67,1717960122.264
1,68,1717960123.420
1,69,1717960124.565
1,70,1717960125.718
1,71,1717960126.859
1,72,1717960127.976
1,73,1717960129.110
1,74,1717960130.262
1,75,1717960131.360
1,76,1717960132.481
1,77,1717960133.608
1,78,1717960134.760
1,79,1717960135.898
1,80,1717960137.037
1,81,1717960138.175
1,82,1717960139.286
1,83,1717960140.411
1,84,1717960141.541
1,85,1717960142.683
1,86,1717960143.815
1,87,1717960144.944
1,88,1717960146.088
1,89,1717960147.295
1,90,1717960148.525
1,91,1717960149.657
1,92,1717960150.973
1,93,1717960152.372
1,94,1717960153.551
1,95,1717960154.684
1,96,1717960155.861
1,97,1717960157.004
1,98,1717960158.175
1,99,1717960159.323
1,100,1717960160.440
1,101,1717960161.562
1,102,1717960162.680
1,103,1717960163.816
1,104,1717960164.947
1,105,1717960166.079
1,106,1717960167.240
1,107,1717960168.375
1,108,1717960169.498
1,109,1717960170.623
1,110,1717960171.772
1,111,1717960172.898
1,112,1717960174.014
1,113,1717960175.127
1,114,1717960176.280
1,115,1717960177.438
1,116,1717960178.594
1,117,1717960179.726
1,118,1717960180.858
1,119,1717960181.990
1,120,1717960183.116
1,121,1717960184.259
1,122,1717960185.392
1,123,1717960186.523
1,124,1717960187.680
1,125,1717960188.806
