rtt,send_time,ack_time
1.535,1715867789.372,1715867790.907
1.662,1715867791.908,1715867793.570
1.458,1715867794.571,1715867796.029
1.454,1715867797.030,1715867798.484
1.457,1715867799.485,1715867800.942
1.867,1715867801.943,1715867803.810
1.866,1715867804.810,1715867806.676
1.468,1715867807.677,1715867809.145
1.445,1715867810.146,1715867811.591
1.863,1715867812.592,1715867814.455
1.665,1715867815.456,1715867817.121
1.361,1715867818.122,1715867819.483
1.758,1715867820.484,1715867822.242
1.383,1715867823.248,1715867824.631
1.524,1715867825.632,1715867827.155
1.458,1715867828.156,1715867829.614
1.663,1715867830.615,1715867832.277
1.454,1715867833.278,1715867834.732
1.459,1715867835.733,1715867837.192
1.661,1715867838.193,1715867839.854
1.456,1715867840.855,1715867842.311
1.456,1715867843.312,1715867844.768
1.454,1715867845.769,1715867847.223
2.282,1715867848.224,1715867850.506
1.455,1715867851.507,1715867852.961
1.866,1715867853.962,1715867855.828
1.456,1715867856.829,1715867858.285
1.867,1715867859.286,1715867861.153
1.454,1715867862.154,1715867863.607
1.461,1715867864.608,1715867866.069
1.658,1715867867.070,1715867868.728
1.664,1715867869.729,1715867871.393
1.456,1715867872.394,1715867873.850
1.463,1715867874.850,1715867876.313
2.068,1715867877.314,1715867879.382
1.454,1715867880.383,1715867881.837
1.458,1715867882.838,1715867884.296
1.599,1715867885.296,1715867886.895
2.134,1715867887.896,1715867890.031
1.456,1715867891.032,1715867892.488
1.665,1715867893.489,1715867895.153
1.866,1715867896.154,1715867898.020
1.449,1715867899.027,1715867900.476
1.456,1715867901.477,1715867902.933
1.458,1715867903.934,1715867905.391
1.866,1715867906.392,1715867908.258
1.455,1715867909.259,1715867910.715
1.457,1715867911.716,1715867913.173
1.457,1715867914.174,1715867915.630
1.867,1715867916.631,1715867918.498
1.456,1715867919.499,1715867920.955
1.457,1715867921.956,1715867923.412
1.671,1715867924.413,1715867926.084
1.449,1715867927.085,1715867928.534
1.458,1715867929.534,1715867930.993
1.455,1715867931.993,1715867933.448
1.669,1715867934.449,1715867936.118
1.450,1715867937.119,1715867938.569
1.456,1715867939.570,1715867941.026
1.867,1715867942.027,1715867943.893
1.462,1715867944.894,1715867946.356
1.450,1715867947.357,1715867948.807
1.457,1715867949.808,1715867951.265
1.869,1715867952.266,1715867954.135
1.458,1715867955.136,1715867956.594
1.450,1715867957.595,1715867959.045
1.669,1715867960.045,1715867961.714
1.864,1715867962.715,1715867964.579
1.456,1715867965.580,1715867967.036
1.457,1715867968.037,1715867969.494
1.663,1715867970.495,1715867972.158
1.455,1715867973.158,1715867974.614
1.456,1715867975.614,1715867977.071
1.454,1715867978.072,1715867979.525
1.872,1715867980.526,1715867982.398
1.454,1715867983.398,1715867984.852
1.458,1715867985.853,1715867987.311
1.661,1715867988.312,1715867989.973
1.856,1715867990.981,1715867992.836
1.461,1715867993.837,1715867995.298
1.450,1715867996.305,1715867997.755
1.664,1715867998.756,1715868000.420
1.456,1715868001.420,1715868002.876
1.456,1715868003.877,1715868005.333
1.457,1715868006.334,1715868007.790
1.777,1715868008.791,1715868010.568
1.548,1715868011.568,1715868013.116
1.457,1715868014.117,1715868015.573
1.457,1715868016.574,1715868018.031
1.866,1715868019.032,1715868020.898
1.456,1715868021.899,1715868023.356
1.456,1715868024.356,1715868025.812
1.662,1715868026.813,1715868028.475
1.458,1715868029.476,1715868030.933
1.457,1715868031.934,1715868033.391
1.453,1715868034.392,1715868035.845
1.672,1715868036.846,1715868038.518
2.064,1715868039.519,1715868041.583
1.454,1715868042.584,1715868044.038
1.666,1715868045.039,1715868046.704
1.454,1715868047.705,1715868049.159
1.460,1715868050.159,1715868051.619
1.456,1715868052.620,1715868054.076
2.275,1715868055.077,1715868057.351
1.387,1715868058.352,1715868059.739
1.730,1715868060.740,1715868062.470
1.460,1715868063.471,1715868064.931
1.865,1715868065.932,1715868067.797
1.864,1715868068.798,1715868070.662
1.460,1715868071.663,1715868073.123
1.868,1715868074.124,1715868075.992
1.660,1715868076.993,1715868078.653
1.457,1715868079.653,1715868081.110
1.449,1715868082.118,1715868083.567
2.277,1715868084.568,1715868086.846
1.658,1715868087.846,1715868089.505
1.461,1715868090.505,1715868091.966
1.455,1715868092.967,1715868094.422
2.691,1715868095.423,1715868098.114
1.449,1715868099.114,1715868100.563
1.461,1715868101.564,1715868103.025
1.670,1715868104.026,1715868105.695
1.407,1715868106.696,1715868108.103
1.494,1715868109.104,1715868110.597
1.460,1715868111.598,1715868113.059
1.912,1715868114.059,1715868115.971
1.459,1715868116.972,1715868118.431
1.513,1715868119.431,1715868120.945
1.362,1715868121.945,1715868123.307
1.756,1715868124.308,1715868126.063
1.454,1715868127.064,1715868128.518
1.460,1715868129.519,1715868130.979
1.667,1715868131.980,1715868133.647
1.861,1715868134.648,1715868136.509
1.459,1715868137.510,1715868138.969
1.455,1715868139.970,1715868141.424
1.867,1715868142.425,1715868144.292
1.456,1715868145.293,1715868146.748
1.457,1715868147.749,1715868149.206
1.661,1715868150.207,1715868151.868
