rtt,send_time,ack_time
1.618,1715869584.635,1715869586.253
1.518,1715869587.254,1715869588.772
3.377,1715869589.773,1715869593.150
1.375,1715869594.151,1715869595.525
1.461,1715869596.526,1715869597.987
1.661,1715869598.988,1715869600.649
2.360,1715869601.650,1715869604.009
1.371,1715869605.010,1715869606.381
1.461,1715869607.382,1715869608.843
1.657,1715869609.844,1715869611.501
2.485,1715869612.502,1715869614.986
1.454,1715869615.987,1715869617.442
1.623,1715869618.442,1715869620.066
2.522,1715869621.066,1715869623.588
1.456,1715869624.589,1715869626.045
1.457,1715869627.046,1715869628.503
3.669,1715869629.504,1715869633.172
1.497,1715869634.173,1715869635.670
1.666,1715869636.671,1715869638.337
1.657,1715869639.338,1715869640.994
1.458,1715869641.995,1715869643.454
1.457,1715869644.454,1715869645.911
1.361,1715869646.912,1715869648.273
2.688,1715869649.274,1715869651.962
1.554,1715869652.962,1715869654.517
2.371,1715869655.518,1715869657.889
2.369,1715869658.889,1715869661.259
1.879,1715869662.260,1715869664.138
1.379,1715869665.139,1715869666.518
2.363,1715869667.518,1715869669.881
1.861,1715869670.882,1715869672.743
2.682,1715869673.744,1715869676.426
2.478,1715869677.427,1715869679.905
1.667,1715869680.906,1715869682.573
1.867,1715869683.573,1715869685.440
1.455,1715869686.441,1715869687.896
1.668,1715869688.896,1715869690.564
1.891,1715869691.565,1715869693.456
2.041,1715869694.457,1715869696.498
1.458,1715869697.499,1715869698.956
1.453,1715869699.957,1715869701.410
1.636,1715869702.411,1715869704.047
1.373,1715869705.048,1715869706.421
1.777,1715869707.422,1715869709.198
1.450,1715869710.199,1715869711.649
1.874,1715869712.650,1715869714.524
1.453,1715869715.525,1715869716.978
3.507,1715869717.979,1715869721.486
2.476,1715869722.487,1715869724.963
4.670,1715869725.964,1715869730.634
1.520,1715869731.634,1715869733.154
2.486,1715869734.155,1715869736.641
2.077,1715869737.642,1715869739.719
1.449,1715869740.720,1715869742.169
1.457,1715869743.170,1715869744.627
1.456,1715869745.628,1715869747.084
2.667,1715869748.085,1715869750.752
1.476,1715869751.753,1715869753.228
1.454,1715869754.229,1715869755.683
1.666,1715869756.684,1715869758.349
1.453,1715869759.350,1715869760.803
1.868,1715869761.804,1715869763.672
2.368,1715869764.673,1715869767.041
1.982,1715869768.042,1715869770.025
1.467,1715869771.025,1715869772.493
1.444,1715869773.493,1715869774.937
1.457,1715869775.938,1715869777.395
2.111,1715869778.396,1715869780.506
1.372,1715869781.507,1715869782.880
1.500,1715869783.881,1715869785.380
1.666,1715869786.381,1715869788.047
1.452,1715869789.048,1715869790.500
1.462,1715869791.501,1715869792.962
1.455,1715869793.963,1715869795.418
1.868,1715869796.419,1715869798.287
2.381,1715869799.288,1715869801.669
1.554,1715869802.670,1715869804.224
1.457,1715869805.225,1715869806.682
1.662,1715869807.683,1715869809.344
1.457,1715869810.345,1715869811.802
1.456,1715869812.803,1715869814.259
1.679,1715869815.260,1715869816.939
1.440,1715869817.940,1715869819.380
1.457,1715869820.381,1715869821.838
1.454,1715869822.838,1715869824.292
2.678,1715869825.293,1715869827.971
1.464,1715869828.972,1715869830.436
2.369,1715869831.437,1715869833.805
1.362,1715869834.806,1715869836.168
1.876,1715869837.169,1715869839.045
1.453,1715869840.046,1715869841.499
1.462,1715869842.499,1715869843.961
1.657,1715869844.962,1715869846.619
1.456,1715869847.620,1715869849.076
2.478,1715869850.077,1715869852.555
1.460,1715869853.556,1715869855.016
1.866,1715869856.017,1715869857.882
1.381,1715869858.883,1715869860.264
1.535,1715869861.265,1715869862.801
1.660,1715869863.802,1715869865.462
1.373,1715869866.463,1715869867.836
1.536,1715869868.837,1715869870.373
1.360,1715869871.373,1715869872.734
1.764,1715869873.735,1715869875.499
2.606,1715869876.499,1715869879.105
1.534,1715869880.106,1715869881.640
1.456,1715869882.641,1715869884.097
2.676,1715869885.098,1715869887.774
1.468,1715869888.775,1715869890.243
1.369,1715869891.244,1715869892.613
1.750,1715869893.614,1715869895.364
1.455,1715869896.364,1715869897.819
1.460,1715869898.820,1715869900.280
1.359,1715869901.281,1715869902.640
1.759,1715869903.641,1715869905.400
1.454,1715869906.400,1715869907.855
1.457,1715869908.856,1715869910.313
1.456,1715869911.314,1715869912.769
1.866,1715869913.770,1715869915.636
1.456,1715869916.637,1715869918.093
1.459,1715869919.093,1715869920.553
1.631,1715869921.553,1715869923.184
1.488,1715869924.185,1715869925.673
1.456,1715869926.674,1715869928.130
1.456,1715869929.131,1715869930.587
1.867,1715869931.588,1715869933.455
1.457,1715869934.456,1715869935.913
1.454,1715869936.914,1715869938.368
1.460,1715869939.368,1715869940.828
3.661,1715869941.829,1715869945.490
2.939,1715869946.491,1715869949.430
1.454,1715869950.430,1715869951.884
2.635,1715869952.885,1715869955.520
2.373,1715869956.521,1715869958.893
1.415,1715869959.894,1715869961.309
1.456,1715869962.309,1715869963.765
3.677,1715869964.766,1715869968.443
2.107,1715869969.444,1715869971.550
2.886,1715869972.551,1715869975.437
1.665,1715869976.438,1715869978.103
1.455,1715869979.104,1715869980.559
1.457,1715869981.560,1715869983.017
1.457,1715869984.018,1715869985.475
1.870,1715869986.476,1715869988.346
1.863,1715869989.347,1715869991.210
1.456,1715869992.211,1715869993.667
2.372,1715869994.668,1715869997.040
1.771,1715869998.040,1715869999.811
3.390,1715870000.812,1715870004.202
1.573,1715870005.202,1715870006.775
1.664,1715870007.776,1715870009.440
1.454,1715870010.441,1715870011.895
2.374,1715870012.896,1715870015.269
1.363,1715870016.270,1715870017.633
1.688,1715870018.634,1715870020.322
1.426,1715870021.323,1715870022.749
1.458,1715870023.750,1715870025.208
1.452,1715870026.208,1715870027.660
2.694,1715870028.661,1715870031.356
1.450,1715870032.356,1715870033.806
1.460,1715870034.807,1715870036.267
1.659,1715870037.268,1715870038.927
1.458,1715870039.928,1715870041.386
1.457,1715870042.387,1715870043.844
1.458,1715870044.845,1715870046.302
1.675,1715870047.303,1715870048.978
1.375,1715870049.979,1715870051.354
1.525,1715870052.355,1715870053.880
2.357,1715870054.881,1715870057.238
1.989,1715870058.239,1715870060.228
1.456,1715870061.229,1715870062.685
1.458,1715870063.686,1715870065.143
1.665,1715870066.144,1715870067.809
1.454,1715870068.810,1715870070.264
1.471,1715870071.265,1715870072.735
1.443,1715870073.736,1715870075.179
2.684,1715870076.180,1715870078.864
3.391,1715870079.865,1715870083.256
1.571,1715870084.256,1715870085.827
1.664,1715870086.828,1715870088.492
2.480,1715870089.493,1715870091.973
1.369,1715870092.974,1715870094.343
1.545,1715870095.344,1715870096.888
1.867,1715870097.889,1715870099.756
2.386,1715870100.757,1715870103.143
2.574,1715870104.144,1715870106.718
1.458,1715870107.718,1715870109.176
1.669,1715870110.177,1715870111.846
2.474,1715870112.847,1715870115.321
2.366,1715870116.322,1715870118.688
3.639,1715870119.689,1715870123.327
1.433,1715870124.328,1715870125.761
1.461,1715870126.762,1715870128.223
1.457,1715870129.224,1715870130.681
1.683,1715870131.682,1715870133.364
1.432,1715870134.365,1715870135.797
1.460,1715870136.798,1715870138.259
1.456,1715870139.259,1715870140.715
2.666,1715870141.716,1715870144.382
1.477,1715870145.382,1715870146.859
3.373,1715870147.860,1715870151.233
1.796,1715870152.234,1715870154.030
1.455,1715870155.031,1715870156.485
1.458,1715870157.486,1715870158.944
1.456,1715870159.944,1715870161.401
1.869,1715870162.401,1715870164.270
1.454,1715870165.271,1715870166.725
2.362,1715870167.726,1715870170.088
1.577,1715870171.089,1715870172.666
3.709,1715870173.667,1715870177.376
1.662,1715870178.377,1715870180.039
1.453,1715870181.040,1715870182.493
2.697,1715870183.496,1715870186.193
2.468,1715870187.193,1715870189.661
2.484,1715870190.662,1715870193.146
1.661,1715870194.147,1715870195.808
1.865,1715870196.809,1715870198.674
1.382,1715870199.675,1715870201.057
1.532,1715870202.058,1715870203.590
2.627,1715870204.591,1715870207.218
1.926,1715870208.219,1715870210.145
1.866,1715870211.145,1715870213.012
1.457,1715870214.012,1715870215.470
2.656,1715870216.471,1715870219.127
1.485,1715870220.127,1715870221.612
1.458,1715870222.613,1715870224.071
1.660,1715870225.072,1715870226.732
1.868,1715870227.733,1715870229.600
1.380,1715870230.601,1715870231.982
1.531,1715870232.983,1715870234.513
3.097,1715870235.514,1715870238.611
2.482,1715870239.611,1715870242.093
1.368,1715870243.094,1715870244.463
1.750,1715870245.463,1715870247.213
1.870,1715870248.214,1715870250.084
2.478,1715870251.085,1715870253.563
2.373,1715870254.564,1715870256.937
1.361,1715870257.938,1715870259.299
1.864,1715870260.300,1715870262.164
1.456,1715870263.165,1715870264.621
1.455,1715870265.621,1715870267.076
2.690,1715870268.077,1715870270.767
2.477,1715870271.768,1715870274.244
2.369,1715870275.245,1715870277.614
2.391,1715870278.615,1715870281.006
1.868,1715870282.006,1715870283.875
2.381,1715870284.876,1715870287.257
1.555,1715870288.258,1715870289.813
1.457,1715870290.813,1715870292.270
1.867,1715870293.271,1715870295.138
1.455,1715870296.138,1715870297.594
1.458,1715870298.594,1715870300.053
1.660,1715870301.054,1715870302.713
1.663,1715870303.714,1715870305.377
1.457,1715870306.378,1715870307.835
1.457,1715870308.836,1715870310.294
1.675,1715870311.294,1715870312.969
1.443,1715870313.969,1715870315.413
2.481,1715870316.414,1715870318.895
1.660,1715870319.896,1715870321.556
2.381,1715870322.556,1715870324.938
2.581,1715870325.938,1715870328.519
1.458,1715870329.520,1715870330.978
2.076,1715870331.979,1715870334.055
1.453,1715870335.056,1715870336.509
1.458,1715870337.509,1715870338.967
1.452,1715870339.968,1715870341.420
1.673,1715870342.421,1715870344.094
1.448,1715870345.095,1715870346.543
1.457,1715870347.544,1715870349.001
1.662,1715870350.001,1715870351.664
1.461,1715870352.664,1715870354.126
1.464,1715870355.126,1715870356.591
2.469,1715870357.591,1715870360.060
1.868,1715870361.061,1715870362.929
1.456,1715870363.929,1715870365.385
1.454,1715870366.386,1715870367.840
1.459,1715870368.841,1715870370.300
2.682,1715870371.301,1715870373.983
1.461,1715870374.983,1715870376.444
1.460,1715870377.445,1715870378.905
1.660,1715870379.906,1715870381.565
1.457,1715870382.566,1715870384.023
1.456,1715870385.024,1715870386.480
1.864,1715870387.480,1715870389.345
2.280,1715870390.345,1715870392.625
1.455,1715870393.626,1715870395.081
3.501,1715870396.082,1715870399.583
1.461,1715870400.584,1715870402.045
1.656,1715870403.045,1715870404.702
1.668,1715870405.702,1715870407.370
2.368,1715870408.371,1715870410.739
2.188,1715870411.740,1715870413.928
2.378,1715870414.929,1715870417.307
1.756,1715870418.308,1715870420.064
1.363,1715870421.065,1715870422.428
1.755,1715870423.429,1715870425.184
2.280,1715870426.185,1715870428.465
1.662,1715870429.465,1715870431.127
2.638,1715870432.128,1715870434.766
1.505,1715870435.767,1715870437.271
1.456,1715870438.272,1715870439.728
1.457,1715870440.729,1715870442.186
2.278,1715870443.187,1715870445.465
1.456,1715870446.465,1715870447.921
1.456,1715870448.922,1715870450.378
1.454,1715870451.379,1715870452.833
2.071,1715870453.834,1715870455.905
1.376,1715870456.905,1715870458.282
1.541,1715870459.283,1715870460.824
2.892,1715870461.825,1715870464.716
1.373,1715870465.717,1715870467.090
1.538,1715870468.091,1715870469.629
1.368,1715870470.629,1715870471.998
1.752,1715870472.998,1715870474.750
1.456,1715870475.751,1715870477.207
1.456,1715870478.208,1715870479.664
1.606,1715870480.664,1715870482.271
1.718,1715870483.272,1715870484.989
1.458,1715870485.990,1715870487.448
1.457,1715870488.449,1715870489.905
1.620,1715870490.906,1715870492.526
1.498,1715870493.527,1715870495.025
1.457,1715870496.026,1715870497.483
3.369,1715870498.484,1715870501.853
1.801,1715870502.854,1715870504.655
1.448,1715870505.656,1715870507.104
2.370,1715870508.105,1715870510.475
1.773,1715870511.476,1715870513.249
1.870,1715870514.250,1715870516.120
1.463,1715870517.121,1715870518.583
1.451,1715870519.584,1715870521.035
2.074,1715870522.036,1715870524.110
1.377,1715870525.110,1715870526.487
1.534,1715870527.488,1715870529.023
1.456,1715870530.024,1715870531.479
2.693,1715870532.480,1715870535.173
1.449,1715870536.174,1715870537.623
1.459,1715870538.624,1715870540.083
1.863,1715870541.084,1715870542.947
2.378,1715870543.948,1715870546.326
1.560,1715870547.327,1715870548.888
1.460,1715870549.888,1715870551.349
1.863,1715870552.350,1715870554.212
1.458,1715870555.213,1715870556.671
1.458,1715870557.672,1715870559.130
1.455,1715870560.130,1715870561.585
2.676,1715870562.586,1715870565.262
1.467,1715870566.263,1715870567.730
1.457,1715870568.731,1715870570.188
1.664,1715870571.188,1715870572.853
1.454,1715870573.853,1715870575.308
1.455,1715870576.309,1715870577.764
1.459,1715870578.765,1715870580.224
1.867,1715870581.224,1715870583.091
1.453,1715870584.092,1715870585.545
1.458,1715870586.545,1715870588.003
2.483,1715870589.004,1715870591.487
1.657,1715870592.488,1715870594.145
2.377,1715870595.146,1715870597.522
1.565,1715870598.523,1715870600.089
2.688,1715870601.089,1715870603.777
1.456,1715870604.778,1715870606.234
1.455,1715870607.235,1715870608.689
1.458,1715870609.690,1715870611.148
1.870,1715870612.149,1715870614.019
1.454,1715870615.020,1715870616.474
1.457,1715870617.474,1715870618.931
1.457,1715870619.932,1715870621.389
2.669,1715870622.389,1715870625.058
1.377,1715870626.059,1715870627.436
1.362,1715870628.437,1715870629.799
1.653,1715870630.800,1715870632.453
1.452,1715870633.454,1715870634.906
1.456,1715870635.907,1715870637.363
1.457,1715870638.364,1715870639.820
2.683,1715870640.821,1715870643.505
2.385,1715870644.505,1715870646.890
1.371,1715870647.891,1715870649.262
1.847,1715870650.263,1715870652.110
1.458,1715870653.111,1715870654.569
1.454,1715870655.570,1715870657.024
1.457,1715870658.024,1715870659.482
1.660,1715870660.482,1715870662.142
1.458,1715870663.143,1715870664.601
1.457,1715870665.602,1715870667.059
1.458,1715870668.060,1715870669.517
1.866,1715870670.518,1715870672.384
2.481,1715870673.385,1715870675.866
1.467,1715870676.866,1715870678.333
1.652,1715870679.334,1715870680.986
1.457,1715870681.986,1715870683.444
1.458,1715870684.444,1715870685.902
1.456,1715870686.903,1715870688.359
1.867,1715870689.360,1715870691.227
1.455,1715870692.228,1715870693.683
1.457,1715870694.683,1715870696.141
1.456,1715870697.141,1715870698.598
3.708,1715870699.599,1715870703.307
1.460,1715870704.308,1715870705.768
1.456,1715870706.769,1715870708.225
1.664,1715870709.226,1715870710.890
1.455,1715870711.891,1715870713.345
1.457,1715870714.346,1715870715.803
2.485,1715870716.804,1715870719.289
3.092,1715870720.290,1715870723.382
